,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,256.7503745133889,85.58345817112964,8.69638365287285,2.8987945509576165,20,20,0,0.1,0.75,0.08272245598591549,0.15,0,2.07,0,266.76,5,1,0.75,1,0
2 Oil condensing,256.7503745133889,85.58345817112964,8.69638365287285,2.8987945509576165,20,20,-0.0840642647884745,0.1,0.92,0.08272245598591549,0.15,0,2.07,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,224.8044753803866,74.93482512679553,11.24022376901933,3.7467412563397766,20,20,0,0.1,0.75,0.05670124,0.15,0,2.07,0,201.96,5,1,0.75,1,0
4 Gas condensing,224.8044753803866,74.93482512679553,11.24022376901933,3.7467412563397766,20,20,-0.0840642647884745,0.1,0.97,0.05670124,0.15,0,2.07,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,579.7589101915233,193.2529700638411,24.846810436779574,8.282270145593191,20,20,0,0.1,0.7,0.046,0.3,0,2.07,0,0,5,1,0.7,1,0
6 Wood boiler,697.0910705874269,232.36369019580897,12.2853673826299,4.095122460876634,20,20,-0.0976107966264223,0.1,0.82,0.046,0.3,0,2.07,0,0,5,1,0.85,1,0
7 Coal,214.9179909734535,71.6393303244845,5.3729497743363375,1.7909832581121126,20,20,0,0.1,0.75,0.00912639724849527,0.15,0,2.07,0,353.88,5,1,0.75,1,0
8 District heating,170.57040776885242,56.85680258961747,3.5380319681464316,1.1793439893821438,20,20,0,0.1,0.98,0.0724679999420256,0.15,0.02,2.07,0,0,5,1,0.98,1,0
9 Electric,801.4580515955885,267.15268386519614,7.150554841352654,2.3835182804508848,20,20,0,0.1,1,0.15206082,0.1,0,2.07,0,0,5,1,1,0,0
10 Heatpump Ground,2011.4084639297748,670.4694879765916,24.84681043677957,8.28227014559319,20,20,-0.22650852980867975,0.1,3.9,0.15206082,0.1,-0.015,2.07,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,1301.4995943075014,433.8331981025005,22.48044753803866,7.493482512679553,20,20,-0.22650852980867975,0.1,3.2,0.15206082,0.1,-0.012,2.07,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,1019.3563256114697,339.78544187048993,22.2984196227509,7.432806540916967,20,20,-0.22650852980867975,0.1,5.3,0.15206082,0.1,0,2.07,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,1202.9011401932967,400.9670467310989,7.887876329136371,2.629292109712124,20,20,-0.2630344058337938,0.1,1,0,0,0,0.605714,0,0,5,1,1,1,0
