,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,190.53498278781115,63.511660929270384,6.453604255716183,2.151201418572061,20,20,0,0.1,0.75,0.06887078638297903,0.15,0,1.34,0,266.76,5,1,0.75,1,0
2 Oil condensing,190.53498278781115,63.511660929270384,6.453604255716183,2.151201418572061,20,20,-0.0840642647884745,0.1,0.92,0.06887078638297903,0.15,-0.02,1.34,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,166.8278651137517,55.609288371250564,8.341393255687585,2.7804644185625285,20,20,0,0.1,0.75,0.01766633555555556,0.15,0.015,1.34,0,201.96,5,1,0.75,1,0
4 Gas condensing,166.8278651137517,55.609288371250564,8.341393255687585,2.7804644185625285,20,20,-0.0840642647884745,0.1,0.97,0.01766633555555556,0.15,0,1.34,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,430.2402837144122,143.41342790480408,18.43886930204624,6.146289767348747,20,20,0,0.1,0.7,0.00331986242476354,0.3,0.01,1.34,0,0,5,1,0.7,1,0
6 Wood boiler,517.3127220851861,172.43757402839537,9.116996488233974,3.038998829411325,20,20,-0.0976107966264223,0.1,0.82,0.00331986242476354,0.3,0,1.34,0,0,5,1,0.85,1,0
7 Coal,159.49108463241015,53.16369487747005,3.9872771158102536,1.3290923719367511,20,20,0,0.1,0.75,0.00331986242476354,0.15,0.005,1.34,0,353.88,5,1,0.75,1,0
8 District heating,126.58065161518759,42.19355053839586,2.6255808250762733,0.8751936083587578,20,20,0,0.1,0.98,0.00568357695614789,0.15,0.01,1.34,0,0,5,1,0.98,1,0
9 Electric,594.7636740757894,198.25455802526312,5.306441504525946,1.768813834841982,20,20,0,0.1,1,0.06537071529411763,0.1,-0.015,1.34,0,0,5,1,1,0,0
10 Heatpump Ground,1492.6703720704097,497.55679069013655,18.43886930204624,6.146289767348747,20,20,-0.22650852980867975,0.1,3.9,0.06537071529411763,0.1,-0.015,1.34,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,965.8455348690887,321.94851162302956,16.68278651137517,5.560928837125057,20,20,-0.22650852980867975,0.1,3.2,0.06537071529411763,0.1,-0.015,1.34,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,756.4664329044612,252.1554776348204,16.547703219785088,5.515901073261696,20,20,-0.22650852980867975,0.1,5.3,0.06537071529411763,0.1,-0.007,1.34,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,892.6754185911274,297.55847286370914,5.8536093022369,1.9512031007456334,20,20,-0.2630344058337938,0.1,1,0,0,-0.007,0.7,0,0,5,1,1,1,0
