,1 Investment cost mean,2 Investment cost SD,3 O&M cost mean,4 O&M cost SD,5 Lifetime,6 Leadtime,7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Empty,16 Empty,17 Empty,18 Empty,19 Empty,20 Empty
1 Oil,571.8341485714286,190.61138285714287,22.873365942857145,7.624455314285715,20,20,0.0,0.1,0.75,0.0880902837489251,0.15,0.02,2.47,0,266.76,3,1,0.75,1.0,0
2 Oil condensing,621.5588571428572,207.1862857142857,24.86235428571429,8.287451428571428,20,20,-0.0840642647884745,0.1,0.86,0.0880902837489251,0.15,0.0,2.47,0,266.76,3,1,0.86,1.0,0
3 Gas,484.71879000000007,161.57293,9.6943758,3.2314586000000003,20,20,0.0,0.1,0.75,0.0900283748925193,0.15,0.0,2.47,0,201.96,3,1,0.75,1.0,0
4 Gas condensing,526.86825,175.62275,10.537365,3.512455,20,20,-0.0840642647884745,0.1,0.9,0.0900283748925193,0.15,0.0,2.47,0,201.96,3,1,0.9,1.0,0
5 Wood stove,534.1521428571428,178.05071428571426,0.1335380357142857,0.0445126785714285,20,20,0.0,0.1,0.7,0.046,0.3,-0.03,2.47,0,0.0,3,1,0.7,1.0,0
6 Wood boiler,634.9126607142857,211.63755357142853,2.539650642857143,0.8465502142857143,20,20,-0.0976107966264223,0.1,0.85,0.046,0.3,0.03,2.47,0,0.0,3,1,0.85,1.0,0
7 Coal,299.8535892857143,99.95119642857142,5.997071785714286,22.343500249548217,20,20,0.0,0.1,0.75,0.0579999999999999,0.15,0.0699999999999999,2.47,0,353.88,3,1,0.75,1.0,0
8 District heating,321.70526785714287,107.23508928571428,19.30231607142857,0.911369193838967,20,20,0.0,0.1,0.98,0.0816479999346815,0.15,0.0,2.47,0,0.0,3,1,0.98,1.0,0
9 Electric,653.1223928571429,217.7074642857143,0.6531223928571429,0.2177074642857143,20,20,0.0,0.1,1.0,0.2060834049871023,0.1,-0.0399999999999999,2.47,0,0.0,3,1,1.0,0.0,0
10 Heatpump Ground,1699.575,566.525,16.99575,5.66525,20,20,-0.4329594072761062,0.1,3.5,0.2060834049871023,0.1,0.0,2.47,0,0.0,3,1,1.0,0.7142857142857143,0
11 Heatpump AirWater,910.4866071428572,303.4955357142857,18.209732142857145,6.069910714285715,20,20,-0.4329594072761062,0.1,2.5,0.2060834049871023,0.1,-0.02,1.71,0,0.0,3,1,1.0,0.6,0
12 Heatpump AirAir,619.1308928571428,206.37696428571428,61.913089285714285,20.637696428571427,20,20,-0.4329594072761062,0.1,2.5,0.2060834049871023,0.1,0.0,1.97,0,0.0,3,1,1.0,0.6,0
13 Solar Thermal,938.4081964285716,312.8027321428572,9.384081964285716,3.128027321428571,20,20,-0.2630344058337938,0.1,1.0,0.0,0.0,0.0,0.578,0,0.0,3,1,1.0,1.0,0
