,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,269.2299062228842,89.74330207429473,9.119077468839626,3.0396924896132087,20,20,0,0.1,0.75,0.05966758191610045,0.15,0.04,2.07,0,266.76,5,1,0.75,1,0
2 Oil condensing,269.2299062228842,89.74330207429473,9.119077468839626,3.0396924896132087,20,20,-0.0840642647884745,0.1,0.92,0.05966758191610045,0.15,0.02,2.07,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,235.73125429653456,78.57708476551151,11.78656271482673,3.9288542382755764,20,20,0,0.1,0.75,0.08076721999999999,0.15,0,2.07,0,201.96,5,1,0.75,1,0
4 Gas condensing,235.73125429653456,78.57708476551151,11.78656271482673,3.9288542382755764,20,20,-0.0840642647884745,0.1,0.97,0.08076721999999999,0.15,0,2.07,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,607.9384979226418,202.64616597421391,26.054507053827507,8.684835684609169,20,20,0,0.1,0.7,0.0137162510748065,0.3,0,2.07,0,0,5,1,0.7,1,0
6 Wood boiler,730.9736701212717,243.6578900404239,12.882506265503599,4.294168755167866,20,20,-0.0976107966264223,0.1,0.82,0.0137162510748065,0.3,0.07,2.07,0,0,5,1,0.85,1,0
7 Coal,225.3642303932693,75.12141013108977,5.634105759831733,1.8780352532772442,20,20,0,0.1,0.75,0.0137162510748065,0.15,0.01,2.07,0,353.88,5,1,0.75,1,0
8 District heating,178.86110185834414,59.620367286114714,3.710000489007884,1.2366668296692946,20,20,0,0.1,0.98,0.147593293207222,0.15,0,2.07,0,0,5,1,0.98,1,0
9 Electric,840.4134813108269,280.13782710360897,7.49811256566862,2.4993708552228733,20,20,0,0.1,1,0.1669078,0.1,0,2.07,0,0,5,1,1,0,0
10 Heatpump Ground,2109.1743805479405,703.0581268493135,26.054507053827503,8.684835684609167,20,20,-0.22650852980867975,0.1,3.9,0.1669078,0.1,-0.015,2.07,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,1364.7598932957264,454.9199644319088,23.57312542965346,7.857708476551153,20,20,-0.22650852980867975,0.1,3.2,0.1669078,0.1,-0.007,2.07,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,1068.9028534903591,356.300951163453,23.382249920101607,7.794083306700536,20,20,-0.22650852980867975,0.1,5.3,0.1669078,0.1,0,2.07,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,1261.3689922884744,420.4563307628248,8.27127208058016,2.75709069352672,20,20,-0.2630344058337938,0.1,1,0,0,0,0.924286,0,0,5,1,1,1,0
