RTI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Belgium (BE),69910.28125,68344.5625,69075.4375,69455.78125,68826.7734375,68745.046875,65468.03515625,64919.625,63587.3359375,63923.1484375,52184.52734375,55356.6484375,61636.10546875,49591.1796875,56260.1875,57244.7578125,56629.1484375,56826.75,56210.3046875,55990.20703125,55554.12109375,55104.0234375,54644.984375,54183.4453125,53721.6875,53252.73046875,52759.4140625,52224.109375,51647.30859375,51047.796875,50442.984375,49842.8671875,49251.1953125,48669.4765625,48097.91015625,47536.60546875,46985.17578125,46443.28515625,45910.609375,45386.796875,44871.55078125,44364.62890625,43865.76171875,43374.69140625,42891.2109375,42415.09765625,41946.09375,41483.91015625,41028.140625,40578.515625,40101.765625,39630.25,39162.26953125,38696.4296875,38231.58984375,37766.87890625,37301.67578125,36835.69140625,36368.98828125,35902.06640625,35435.95703125,34970.13671875,34504.3203125,34038.38671875,33572.32421875,33106.1796875,32640.02734375,32173.919921875,31707.87109375,31241.8515625,30775.814453125,30309.75390625,29843.677734375,29377.599609375,28911.529296875,28445.466796875,27979.40625,27513.34765625,27047.28515625,26581.220703125,26115.154296875,25649.087890625,25183.0234375,24716.9609375,24250.896484375,23784.833984375,23318.76953125,22852.705078125,22386.640625,21920.576171875,21454.51171875,20988.44921875,20522.384765625,20056.3203125,19590.255859375,19124.19140625,18658.12890625,18192.064453125,17726.0,17259.935546875
2 Denmark (DK),36490.578125,36088.73046875,36216.97265625,36772.16796875,36674.1328125,36871.140625,36744.52734375,37036.12109375,37284.6796875,30578.828125,27309.89453125,27551.875,27979.98046875,25836.05078125,28573.98828125,29978.9921875,29841.490234375,29910.2265625,29676.494140625,30530.8515625,30287.419921875,30049.529296875,29816.314453125,29586.138671875,29356.693359375,29124.39453125,28883.17578125,28626.0859375,28353.251953125,28071.662109375,27787.494140625,27504.1796875,27223.126953125,26944.98046875,26669.9609375,26398.1328125,26129.541015625,25864.232421875,25602.322265625,25343.8984375,25089.0390625,24837.75,24590.24609375,24346.8125,24107.6328125,23872.80078125,23642.26953125,23415.982421875,23193.798828125,22975.67578125,22740.83984375,22509.0546875,22279.3828125,22051.02734375,21823.3125,21595.69921875,21367.806640625,21139.435546875,20910.61328125,20681.640625,20453.1640625,20224.8671875,19996.578125,19768.220703125,19539.783203125,19311.294921875,19082.80078125,18854.33203125,18625.900390625,18397.486328125,18169.064453125,17940.625,17712.177734375,17483.728515625,17255.28515625,17026.84375,16798.40625,16569.96875,16341.5302734375,16113.0888671875,15884.6474609375,15656.2060546875,15427.765625,15199.3251953125,14970.8857421875,14742.4453125,14514.0048828125,14285.564453125,14057.1240234375,13828.68359375,13600.2431640625,13371.802734375,13143.3623046875,12914.921875,12686.4814453125,12458.041015625,12229.6005859375,12001.16015625,11772.7197265625,11544.279296875
3 Germany (DE),509732.71875,505800.4375,515203.875,517514.03125,504697.96875,497923.25,473009.3125,466454.78125,459296.6875,414884.15625,359750.78125,377450.59375,403442.625,336004.3125,370823.625,393915.1875,384712.875,379197.09375,395797.65625,396855.3125,393342.65625,389690.5625,385935.46875,382115.84375,378241.46875,374260.875,370054.1875,365496.84375,360596.34375,355492.53125,350313.84375,345134.625,339986.4375,334884.53125,329834.28125,324840.1875,319902.9375,315022.625,310198.6875,305430.875,300719.59375,296065.375,291468.125,286927.53125,282443.5625,278016.8125,273647.96875,269336.9375,265083.625,260888.328125,256462.421875,252078.21875,247722.75,243385.140625,239056.34375,234729.09375,230398.140625,226060.6875,221717.0,217371.171875,213032.078125,208695.515625,204359.046875,200021.65625,195683.1875,191344.03125,187004.765625,182665.84375,178327.421875,173989.265625,169650.984375,165312.484375,160973.859375,156635.234375,152296.640625,147958.125,143619.640625,139281.15625,134942.640625,130604.1015625,126265.5625,121927.0234375,117588.4921875,113249.9765625,108911.453125,104572.9296875,100234.40625,95895.875,91557.3515625,87218.828125,82880.296875,78541.7734375,74203.25,69864.7265625,65526.19921875,61187.671875,56849.1484375,52510.62109375,48172.09375,43833.5703125
4 Greece (EL),31649.0859375,32691.01171875,35010.6875,36714.15625,37988.81640625,38130.0390625,38237.05859375,37767.23046875,36322.87890625,21911.68359375,27090.623046875,24192.576171875,17150.923828125,17483.1953125,24695.0234375,24160.392578125,24705.83984375,22268.5546875,24919.078125,26808.341796875,26605.591796875,26392.900390625,26172.71875,25948.701171875,25722.716796875,25492.392578125,25251.775390625,24995.501953125,24723.94921875,24443.232421875,24158.919921875,23874.080078125,23589.849609375,23306.54296875,23024.037109375,22742.36328125,22461.36328125,22180.640625,21899.75,21618.259765625,21336.037109375,21053.015625,20768.841796875,20483.171875,20195.80859375,19906.728515625,19616.05859375,19324.0,19030.787109375,18736.673828125,18447.796875,18157.857421875,17867.177734375,17576.052734375,17284.728515625,16993.396484375,16702.1796875,16411.126953125,16120.2119140625,15829.3271484375,15538.279296875,15247.173828125,14956.0703125,14664.9921875,14373.9423828125,14082.90625,13791.8720703125,13500.8271484375,13209.771484375,12918.7099609375,12627.6513671875,12336.5986328125,12045.548828125,11754.4990234375,11463.4482421875,11172.3955078125,10881.341796875,10590.2880859375,10299.2353515625,10008.1826171875,9717.130859375,9426.0791015625,9135.0263671875,8843.9736328125,8552.9208984375,8261.8681640625,7970.81591796875,7679.76318359375,7388.7109375,7097.658203125,6806.60595703125,6515.55322265625,6224.5009765625,5933.4482421875,5642.39599609375,5351.34326171875,5060.29052734375,4769.23828125,4478.185546875,4187.13330078125
5 Spain (ES),79346.65625,82675.3125,87082.8984375,92393.65625,96958.296875,100861.203125,102857.171875,103426.2890625,103254.875,77900.2578125,69885.265625,70583.4296875,68573.4375,68582.7265625,73136.5625,69536.3359375,70779.3046875,76550.34375,74608.9765625,77098.6484375,76327.0,75559.6953125,74801.0859375,74057.953125,73332.5,72616.265625,71891.0234375,71139.984375,70363.140625,69576.9921875,68796.2578125,68029.0234375,67278.1015625,66544.6328125,65828.2578125,65128.203125,64442.9609375,63770.9765625,63110.51953125,62460.01171875,61818.29296875,61184.19140625,60555.98828125,59931.84375,59310.19921875,58690.19921875,58071.10546875,57451.69921875,56830.734375,56207.3359375,55584.9296875,54963.51171875,54342.46484375,53721.4375,53100.2578125,52478.87890625,51857.34765625,51235.77734375,50614.2890625,49992.9296875,49371.59765625,48750.23828125,48128.83984375,47507.4140625,46885.98828125,46264.57421875,45643.171875,45021.77734375,44400.37890625,43778.98046875,43157.57421875,42536.1640625,41914.7578125,41293.35546875,40671.953125,40050.55078125,39429.14453125,38807.7421875,38186.3359375,37564.93359375,36943.53125,36322.125,35700.72265625,35079.3203125,34457.9140625,33836.51171875,33215.10546875,32593.703125,31972.298828125,31350.89453125,30729.490234375,30108.087890625,29486.68359375,28865.279296875,28243.875,27622.47265625,27001.068359375,26379.6640625,25758.259765625,25136.85546875
6 France (FR),327927.4375,321263.71875,321790.75,326960.46875,328652.34375,332594.5625,327585.59375,323261.53125,320133.875,301341.40625,256913.953125,290478.90625,308309.28125,245969.015625,263826.5625,282209.0,277651.65625,268666.9375,271694.4375,263768.25,261146.4375,258590.71875,256097.828125,253658.96875,251255.015625,248842.65625,246347.515625,243693.265625,240887.96875,238017.125,235154.015625,232335.71875,229573.859375,226869.78125,224220.21875,221623.953125,219078.640625,216580.828125,214127.09375,211714.78125,209341.875,207007.53125,204711.75,202455.25,200238.515625,198061.0,195922.1875,193822.96875,191764.65625,189748.09375,187570.734375,185422.15625,183293.4375,181177.0625,179066.765625,176957.578125,174845.90625,172729.78125,170609.3125,168487.28125,166369.9375,164254.328125,162138.8125,160022.65625,157905.765625,155788.40625,153670.953125,151553.734375,149436.859375,147320.171875,145203.390625,143086.484375,140969.46875,138852.453125,136735.46875,134618.53125,132501.625,130384.7109375,128267.78125,126150.828125,124033.875,121916.9296875,119799.984375,117683.046875,115566.109375,113449.171875,111332.234375,109215.2890625,107098.3515625,104981.40625,102864.46875,100747.5234375,98630.5859375,96513.6484375,94396.703125,92279.765625,90162.8203125,88045.8828125,85928.9375,83812.0
7 Ireland (IE),19479.3359375,19797.8046875,20307.95703125,20915.41796875,21493.486328125,22134.865234375,22427.84375,22965.623046875,23272.515625,21814.111328125,19030.275390625,18447.998046875,18208.353515625,16514.25390625,16032.9970703125,16686.4453125,16204.73828125,17559.951171875,17199.318359375,18684.345703125,18370.6953125,18056.421875,17742.8046875,17431.83203125,17124.806640625,16820.830078125,16517.451171875,16213.1416015625,15909.736328125,15611.701171875,15322.28125,15043.0439453125,14774.83984375,14518.10546875,14273.0244140625,14039.7861328125,13818.5166015625,13608.58203125,13416.5302734375,13249.5947265625,13103.7607421875,12975.705078125,12862.3271484375,12760.9541015625,12669.2275390625,12585.263671875,12507.4619140625,12434.25,12364.25390625,12296.2998046875,12208.2265625,12125.5859375,12046.1875,11968.4482421875,11891.2607421875,11813.90625,11735.9970703125,11657.4482421875,11578.4443359375,11499.4248046875,11421.076171875,11342.91015625,11264.697265625,11186.36328125,11107.92578125,11029.44140625,10950.9658203125,10872.5341796875,10794.1474609375,10715.7763671875,10637.3857421875,10558.974609375,10480.5537109375,10402.1337890625,10323.7216796875,10245.314453125,10166.91015625,10088.5048828125,10010.0966796875,9931.685546875,9853.275390625,9774.865234375,9696.45703125,9618.048828125,9539.640625,9461.2314453125,9382.822265625,9304.4130859375,9226.00390625,9147.5947265625,9069.1865234375,8990.77734375,8912.3681640625,8833.9599609375,8755.55078125,8677.1416015625,8598.732421875,8520.32421875,8441.9150390625,8363.505859375
8 Italy (IT),174441.640625,173456.578125,176906.125,183758.65625,193366.09375,202357.78125,203599.375,211439.9375,215913.15625,229593.5625,213936.109375,226628.984375,229576.46875,197115.296875,221413.078125,224272.296875,230177.984375,225571.171875,223415.65625,218171.296875,215531.9375,212935.3125,210383.78125,207878.546875,205412.015625,202957.265625,200462.4375,197872.046875,195185.5,192456.265625,189732.421875,187040.203125,184388.890625,181781.84375,179218.265625,176696.671875,174213.609375,171765.578125,169348.796875,166959.984375,164596.84375,162257.4375,159939.25,157639.828125,155357.125,153090.3125,150838.34375,148599.4375,146371.53125,144153.609375,141883.546875,139624.5625,137372.8125,135125.265625,132879.546875,130633.890625,128387.1484375,126138.8359375,123889.203125,121639.25,119390.90625,117143.109375,114895.28125,112647.1953125,110398.8671875,108150.3828125,105901.8984375,103653.5,101405.21875,99157.0,96908.734375,94660.421875,92412.078125,90163.734375,87915.40625,85667.09375,83418.7890625,81170.484375,78922.171875,76673.8515625,74425.53125,72177.2109375,69928.8984375,67680.578125,65432.265625,63183.94921875,60935.6328125,58687.31640625,56439.0,54190.68359375,51942.37109375,49694.0546875,47445.73828125,45197.421875,42949.10546875,40700.7890625,38452.47265625,36204.15625,33955.84375,31707.52734375
9 Luxembourg (LX),2014.888916015625,1918.1546630859375,1858.998779296875,1976.8289794921875,2054.7861328125,2090.82568359375,2093.502685546875,2011.34033203125,1973.2611083984375,3525.66748046875,3279.8232421875,3232.034423828125,3387.642578125,3168.7265625,3574.43359375,3765.99951171875,3982.5283203125,3715.029052734375,3532.146728515625,4118.1611328125,4071.1630859375,4025.8203125,3981.849365234375,3938.64794921875,3895.677001953125,3852.375732421875,3808.025146484375,3761.807861328125,3714.016357421875,3665.8291015625,3618.1845703125,3571.521728515625,3525.9755859375,3481.54443359375,3438.190185546875,3395.90234375,3354.694580078125,3314.516845703125,3275.376953125,3237.212158203125,3200.014404296875,3163.7431640625,3128.414794921875,3094.0166015625,3060.538818359375,3027.9697265625,2996.28369140625,2965.423828125,2935.3583984375,2906.019287109375,2873.380859375,2841.378662109375,2809.80859375,2778.500732421875,2747.31591796875,2716.146240234375,2684.916259765625,2653.59033203125,2622.176513671875,2590.736572265625,2559.395751953125,2528.09033203125,2496.785400390625,2465.4658203125,2434.13037109375,2402.78564453125,2371.439453125,2340.0986328125,2308.76513671875,2277.435302734375,2246.103515625,2214.768310546875,2183.431640625,2152.0947265625,2120.758544921875,2089.42333984375,2058.088623046875,2026.7537841796875,1995.418701171875,1964.0831298828125,1932.74755859375,1901.412109375,1870.0767822265625,1838.7415771484375,1807.40625,1776.071044921875,1744.735595703125,1713.4002685546875,1682.06494140625,1650.7296142578125,1619.394287109375,1588.0589599609375,1556.7236328125,1525.3883056640625,1494.052978515625,1462.7176513671875,1431.38232421875,1400.0469970703125,1368.711669921875,1337.3763427734375
10 Netherlands (NL),96115.3125,96089.3671875,96412.1015625,95822.140625,93868.5,92614.71875,88816.34375,88629.328125,89264.859375,103138.28125,82550.28125,89666.296875,97084.4453125,75151.0078125,81804.1640625,85722.6640625,84182.390625,84485.484375,82161.453125,83403.640625,82071.578125,80774.0625,79508.53125,78270.1640625,77050.96875,75835.5390625,74598.1015625,73311.8984375,71980.3359375,70634.234375,69299.6171875,67989.8046875,66709.4765625,65459.953125,64240.66015625,63051.21484375,61890.8203125,60758.76171875,59654.45703125,58577.3515625,57526.7109375,56501.94140625,55502.76171875,54528.9921875,53580.40625,52656.50390625,51756.71484375,50880.51171875,50027.32421875,49196.64453125,48271.52734375,47364.10546875,46468.75390625,45580.7890625,44696.35546875,43812.4375,42926.9140625,42038.69921875,41147.95703125,40256.3984375,39367.640625,38479.8984375,37592.18359375,36704.06640625,35815.5078125,34926.67578125,34037.80078125,33149.07421875,32260.548828125,31372.13671875,30483.662109375,29595.103515625,28706.494140625,27817.87890625,26929.28515625,26040.716796875,25152.1640625,24263.611328125,23375.048828125,22486.474609375,21597.896484375,20709.322265625,19820.751953125,18932.185546875,18043.619140625,17155.05078125,16266.4794921875,15377.9091796875,14489.3388671875,13600.7685546875,12712.19921875,11823.630859375,10935.0615234375,10046.4912109375,9157.921875,8269.3515625,7380.7822265625,6492.212890625,5603.64306640625,4715.07373046875
