,1 Investment cost mean,2 Investment cost SD,3 O&M cost mean,4 O&M cost SD,5 Lifetime,6 Leadtime,7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Empty,16 Empty,17 Empty,18 Empty,19 Empty,20 Empty
1 Oil,854.2352994756122,284.7450998252041,34.16941197902449,11.389803993008162,20,20,0.0,0.1,0.75,0.0802105588993981,0.15,0.0,2.47,0,266.76,3,1,0.75,1.0,0
2 Oil condensing,928.5166298647958,309.50554328826524,37.14066519459183,12.380221731530613,20,20,-0.0840642647884745,0.1,0.86,0.0802105588993981,0.15,-0.02,2.47,0,266.76,3,1,0.86,1.0,0
3 Gas,724.0978905711245,241.36596352370816,14.48195781142249,4.827319270474163,20,20,0.0,0.1,0.75,0.0943764230438521,0.15,-0.02,2.47,0,201.96,3,1,0.75,1.0,0
4 Gas condensing,787.0629245338308,262.3543081779436,15.741258490676616,5.247086163558872,20,20,-0.0840642647884745,0.1,0.9,0.0943764230438521,0.15,-0.04,2.47,0,201.96,3,1,0.9,1.0,0
5 Wood stove,797.943978790059,265.98132626335297,0.1994859946975147,0.0664953315658382,20,20,0.0,0.1,0.7,0.046,0.3,0.0,2.47,0,0.0,3,1,0.7,1.0,0
6 Wood boiler,948.4652293345472,316.1550764448491,3.793860917338189,1.2646203057793963,20,20,-0.0976107966264223,0.1,0.85,0.046,0.3,0.02,2.47,0,0.0,3,1,0.85,1.0,0
7 Coal,447.9367335480558,149.3122445160186,8.958734670961118,38.52484291898616,20,20,0.0,0.1,0.75,0.022,0.15,0.0,2.47,0,353.88,3,1,0.75,1.0,0
8 District heating,480.57989631674,160.19329877224666,28.8347937790044,1.5713900974203523,20,20,0.0,0.1,0.98,0.041039999967168,0.15,0.02,2.47,0,0.0,3,1,0.98,1.0,0
9 Electric,975.6678649751176,325.2226216583725,0.9756678649751176,0.3252226216583724,20,20,0.0,0.1,1.0,0.1578122,0.1,0.0,2.47,0,0.0,3,1,1.0,0.0,0
10 Heatpump Ground,2538.912659786551,846.3042199288503,25.389126597865516,8.463042199288504,20,20,-0.4329594072761062,0.1,3.5,0.1578122,0.1,0.0,2.47,0,0.0,3,1,1.0,0.7142857142857143,0
11 Heatpump AirWater,1360.1317820285096,453.3772606761698,27.202635640570197,9.067545213523395,20,20,-0.4329594072761062,0.1,2.5,0.1578122,0.1,0.0,1.71,0,0.0,3,1,1.0,0.6,0
12 Heatpump AirAir,924.8896117793864,308.2965372597955,92.48896117793866,30.829653725979554,20,20,-0.4329594072761062,0.1,2.5,0.1578122,0.1,0.0,1.97,0,0.0,3,1,1.0,0.6,0
13 Solar Thermal,1401.8424900107173,467.2808300035724,14.018424900107172,4.672808300035724,20,20,-0.2630344058337938,0.1,1.0,0.0,0.0,0.0,0.564,0,0.0,3,1,1.0,1.0,0
