,1 Nuclear,2 Oil,3 Coal,4 Coal + CCS,5 Waste,6 Waste + CCS,7 CCGT,8 CCGT + CCS,9 OCGT,10 OCGT + CCS,11 Biomass,12 Biomass + CCS,13 Large Hydro,14 Pumped Hydro,15 Geothermal,16 Marine,17 Onshore,18 Offshore,19 Solar PV,20 CSP,21 Fuel cells / Turbine,22 Lithium-ion
1 Nuclear,0,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.4444444444444444,0.3703703703703704,0.4938271604938272,0.411522633744856,0.4444444444444444,0.4444444444444444,0.1851851851851852,0.24154589371980675,0.2777777777777778,0.4444444444444444,0.4273504273504274,0.4273504273504274,0.2777777777777778,0.4444444444444444,0.411522633744856,0.5387205387205387
2 Oil,0.4166666666666667,0,0.625,0.625,0.625,0.625,1,0.8333333333333334,1.1111111111111112,0.9259259259259259,1,1,0.4166666666666667,0.5434782608695652,0.625,1,0.9615384615384616,0.9615384615384616,0.625,1,0.9259259259259259,1.2121212121212122
3 Coal,0.4166666666666667,0.625,0,0.625,0.625,0.625,1,0.8333333333333334,1.1111111111111112,0.9259259259259259,1,1,0.4166666666666667,0.5434782608695652,0.625,1,0.9615384615384616,0.9615384615384616,0.625,1,0.9259259259259259,1.2121212121212122
4 Coal + CCS,0.5555555555555556,0.8333333333333334,0.8333333333333334,0,0.8333333333333334,0.8333333333333334,1.3333333333333333,1.1111111111111112,1.4814814814814816,1.2345679012345678,1.3333333333333333,1.3333333333333333,0.5555555555555556,0.7246376811594203,0.8333333333333334,1.3333333333333333,1.2820512820512822,1.2820512820512822,0.8333333333333334,1.3333333333333333,1.2345679012345678,1.6161616161616161
5 Waste,0.4166666666666667,0.625,0.625,0.625,0,0.625,1,0.8333333333333334,1.1111111111111112,0.9259259259259259,1,1,0.4166666666666667,0.5434782608695652,0.625,1,0.9615384615384616,0.9615384615384616,0.625,1,0.9259259259259259,1.2121212121212122
6 Waste + CCS,0.4166666666666667,0.625,0.625,0.625,0.625,0,1,0.8333333333333334,1.1111111111111112,0.9259259259259259,1,1,0.4166666666666667,0.5434782608695652,0.625,1,0.9615384615384616,0.9615384615384616,0.625,1,0.9259259259259259,1.2121212121212122
7 CCGT,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,0,1.6666666666666667,2.2222222222222223,1.8518518518518519,2,2,0.8333333333333334,1.0869565217391304,1.25,2,1.9230769230769231,1.9230769230769231,1.25,2,1.8518518518518519,2.4242424242424243
8 CCGT + CCS,0.5555555555555556,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.3333333333333333,0,1.4814814814814816,1.2345679012345678,1.3333333333333333,1.3333333333333333,0.5555555555555556,0.7246376811594203,0.8333333333333334,1.3333333333333333,1.2820512820512822,1.2820512820512822,0.8333333333333334,1.3333333333333333,1.2345679012345678,1.6161616161616161
9 OCGT,1.6666666666666667,2.5,2.5,2.5,2.5,2.5,4,3.3333333333333335,0,3.7037037037037037,4,4,1.6666666666666667,2.1739130434782608,2.5,4,3.8461538461538463,3.8461538461538463,2.5,4,3.7037037037037037,4.848484848484849
10 OCGT + CCS,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,2,1.6666666666666667,2.2222222222222223,0,2,2,0.8333333333333334,1.0869565217391304,1.25,2,1.9230769230769231,1.9230769230769231,1.25,2,1.8518518518518519,2.4242424242424243
11 Biomass,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,2,1.6666666666666667,2.2222222222222223,1.8518518518518519,0,2,0.8333333333333334,1.0869565217391304,1.25,2,1.9230769230769231,1.9230769230769231,1.25,2,1.8518518518518519,2.4242424242424243
12 Biomass + CCS,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,2,1.6666666666666667,2.2222222222222223,1.8518518518518519,2,0,0.8333333333333334,1.0869565217391304,1.25,2,1.9230769230769231,1.9230769230769231,1.25,2,1.8518518518518519,2.4242424242424243
13 Large Hydro,0.33333333333333337,0.5,0.5,0.5,0.5,0.5,0.8,0.6666666666666667,0.888888888888889,0.7407407407407407,0.8,0.8,0,0.43478260869565216,0.5,0.8,0.7692307692307693,0.7692307692307693,0.5,0.8,0.7407407407407407,0.9696969696969697
