,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
12 BIGCC + CCS,0.0,0.0,0.0,0.0,0.0,0.5663,1.03,1.6275,1.7908,1.9405,2.0932,2.0637,2.1207,2.1806,2.2442,2.2777,2.0632,2.0751,2.1491,2.3188,2.5719,2.8468,3.0912,3.3706,3.7037,4.0267,4.3781,4.7293,4.7663,4.7057,7.217,7.8686,8.6136,9.1409,9.7457,10.3152,10.9095,11.4374,11.923,12.4028,12.8771,13.3393,13.8205,14.3083,14.8155,15.3401,15.9063,16.4815,17.0344,17.6369,18.2822
13 Biogas,3.0,12.0,9.0,11.0,26.0,21.0,13.0,21.0,17.024,18.9125,21.1489,21.5956,22.9963,24.5771,26.379,28.3461,30.4411,33.2908,36.5061,40.6526,45.2939,50.8092,57.2288,64.9643,74.3424,85.4141,98.6615,114.3846,133.0006,154.2329,180.1106,207.7149,238.7123,267.8867,302.8699,339.3871,381.6508,425.9529,470.1055,519.8506,574.6088,631.756,700.1328,777.2955,866.34,963.4554,1084.3007,1215.1769,1356.0674,1517.7488,1704.0844
14 Biogas + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15 Tidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16 Large Hydro,116739.0,120279.0,141724.0,128138.0,135470.0,137302.0,142807.0,142366.0,138796.0312,143168.0469,150330.4531,143707.1406,142557.6406,141366.6094,139873.6875,138090.4219,136211.375,134276.7969,131407.0938,129209.5938,125665.3047,121461.9297,116682.7734,111541.5859,105672.5234,99451.4922,92771.0938,85590.4922,78234.5938,70809.0469,64026.8945,57439.3672,51352.8359,44304.9492,39248.7578,34980.8516,31576.4766,28371.0469,25753.6523,23400.7988,21554.9902,20221.3359,19034.4434,18170.6875,17529.8047,16958.8789,16286.7256,15671.5215,14940.7783,14286.1963,13455.4092
17 Onshore,753.4286,1099.7142,1326.8572,1612.2858,1900.2858,2155.7144,1813.7142,2446.2856,3322.1836,4377.7612,5483.6284,6247.249,7506.6045,8815.4092,10349.9512,12191.2412,14246.2773,16622.8359,19364.7422,22580.5684,25979.6445,29826.502,34163.2461,38845.3555,44133.9531,49746.4141,55808.1133,62280.9023,68863.7812,75537.9688,81862.6094,87752.9141,92463.8828,94673.0547,97198.8281,98328.5078,98616.7109,97413.4297,95199.9609,91870.8125,87325.1406,81986.5078,75989.4766,69582.8516,63059.3711,56708.8516,50586.3125,44964.4844,39881.2305,35687.3164,32046.6816
18 Offshore,107.6327,157.102,189.551,230.3265,271.4694,307.9592,259.1021,349.4694,474.5977,564.636,654.1447,695.4982,770.9756,858.5559,959.0065,1074.7531,1209.809,1368.7025,1546.0928,1765.3772,2005.4705,2278.3328,2590.1462,2948.884,3357.7297,3826.8264,4361.6387,4964.4766,5637.5747,6370.4561,7162.1436,7973.5493,9476.6777,14498.8486,16771.4512,18680.8887,19484.127,20702.5117,21531.8945,21925.4121,21898.502,21533.7148,20864.2891,20001.6621,19080.5254,18153.7891,17473.0312,16862.1328,16966.8848,16401.3457,15869.5957
19 Solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.317,3.0138,3.7912,4.387,5.3276,6.5478,8.1398,10.2491,13.1002,17.0281,22.3941,30.2072,41.1972,57.1801,80.9118,116.9257,172.3899,259.4774,398.061,620.4606,979.4699,1515.0992,1874.9071,2857.4841,4279.2441,6167.5615,8747.4062,12055.8105,16251.3516,21311.4395,27349.5078,34360.7461,42433.3984,51337.168,60723.4531,70330.9062,79917.8672,89243.625,97898.0,105962.0469,112923.7969,119359.5312,124985.8906
20 CSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21 Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22 Wave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23 Fuel Cells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24 CHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
