RTI,T2TI,1 Carbon Costs ($/MWh),2 std ($/MWh),3 Investment ($/kW),4 std ($/MWh),5 Fuel ($/MWh),6 std ($/MWh),7 O&M ($/MWh),8 std ($/MWh),9 Lifetime (years),10 Lead Time (years),11 Decision Load Factor,12 Type (0;1;2;3),13 Efficiency (%),14 Resource (%),15 Emissions (tCO2/GWh),16 Learning exp,17 Discount Rate (%),18 Variable (0 or 1),19 Flexible (0 or 1),20 Baseload (0 or 1),21 Storage,22 Gamma,23 Value factor
1 Belgium (BE),1 Nuclear,0.0,0.0,6580.0,2632.0,6.789000034332275,2.7149999141693115,30.320999145507812,12.128000259399414,60.0,9.0,0.949999988079071,1.0,1.0,1.0,0.0,-0.08620103448629379,0.05000000074505806,0.0,0.0,1.0,0.0,-0.1599999964237213,1.0
1 Belgium (BE),2 Oil,0.0,0.0,2084.0,833.5999755859375,51.4370002746582,20.575000762939453,17.15999984741211,6.863999843597412,40.0,4.0,0.8500000238418579,1.0,0.44999998807907104,0.27261656522750854,751.8496704101562,-0.014499569311738014,0.05000000074505806,0.0,1.0,0.0,0.0,0.029999999329447746,1.0
1 Belgium (BE),3 Coal,0.0,0.0,2294.51806640625,917.8070068359375,9.126999855041504,3.6510000228881836,33.7400016784668,13.496000289916992,40.0,4.0,0.8500000238418579,1.0,0.4000000059604645,0.41682004928588867,760.0,-0.04394334927201271,0.05000000074505806,0.0,0.0,1.0,0.0,0.05999999865889549,1.0
1 Belgium (BE),4 Coal + CCS,0.0,0.0,4015.64794921875,1606.259033203125,26.770999908447266,10.708000183105469,31.261999130249023,6.900000095367432,40.0,3.0,0.8500000238418579,1.0,0.3499999940395355,0.3671986162662506,76.0,-0.07400058209896088,0.05000000074505806,0.0,0.0,1.0,0.0,0.0,1.0
1 Belgium (BE),5 Waste,0.0,0.0,2190.72412109375,876.2899780273438,76.2760009765625,30.510000228881836,20.54199981689453,7.083000183105469,40.0,4.0,0.8500000238418579,2.0,0.25,0.31011587381362915,0.0,-0.07400058209896088,0.05000000074505806,0.0,0.0,1.0,0.0,-0.18000000715255737,1.0
1 Belgium (BE),6 Waste + CCS,0.0,0.0,4676.52880859375,1416.0789794921875,122.04100036621094,48.816001892089844,32.867000579833984,11.333000183105469,40.0,4.0,0.8500000238418579,2.0,0.15000000596046448,0.27319732308387756,0.0,-0.10469737648963928,0.05000000074505806,0.0,0.0,1.0,0.0,0.0,1.0
1 Belgium (BE),7 CCGT,0.0,0.0,1051.5360107421875,420.614013671875,55.03200149536133,22.01300048828125,6.150000095367432,2.4600000381469727,25.0,2.0,0.8500000238418579,1.0,0.5649999976158142,0.5132108330726624,370.0,-0.05889368802309036,0.05000000074505806,0.0,1.0,0.0,0.0,-0.25999999046325684,1.149999976158142
1 Belgium (BE),8 CCGT + CCS,0.0,0.0,2122.158935546875,848.864013671875,59.435001373291016,23.77400016784668,17.172000885009766,4.793000221252441,30.0,3.0,0.8500000238418579,1.0,0.4480000138282776,0.42317384481430054,37.0,-0.07400058209896088,0.05000000074505806,0.0,1.0,0.0,0.0,0.009999999776482582,1.149999976158142
1 Belgium (BE),9 OCGT,0.0,0.0,684.8369750976562,273.93499755859375,79.7959976196289,31.91900062561035,9.682000160217285,3.872999906539917,25.0,2.0,0.0,1.0,0.36000001430511475,0.4000000059604645,370.0,-0.05889368802309036,0.05000000074505806,0.0,1.0,0.0,0.0,0.0,1.149999976158142
1 Belgium (BE),10 OCGT + CCS,0.0,0.0,1376.126953125,412.8380126953125,86.18000030517578,34.47200012207031,39.5369987487793,10.588000297546387,27.0,2.0,0.0,1.0,0.3240000009536743,0.36000001430511475,37.0,-0.07400058209896088,0.05000000074505806,0.0,1.0,0.0,0.0,0.0,1.149999976158142
1 Belgium (BE),11 Biomass,0.0,0.0,2909.056884765625,899.8319702148438,76.2760009765625,30.510000228881836,20.54199981689453,7.083000183105469,25.0,2.0,0.8500000238418579,2.0,0.3199999928474426,0.31011587381362915,0.0,-0.07400058209896088,0.05000000074505806,0.0,0.0,1.0,0.0,-0.25999999046325684,1.0
1 Belgium (BE),12 Biomass + CCS,0.0,0.0,4676.52880859375,1416.0789794921875,122.04100036621094,48.816001892089844,32.867000579833984,11.333000183105469,25.0,2.0,0.8500000238418579,2.0,0.30000001192092896,0.27319732308387756,-980.7567749023438,-0.10469737648963928,0.05000000074505806,0.0,0.0,1.0,0.0,-0.2800000011920929,1.0
1 Belgium (BE),13 Large Hydro,0.0,0.0,2251.068115234375,900.427001953125,0.0,0.0,12.84000015258789,4.164999961853027,60.0,5.0,0.4000000059604645,4.0,1.0,1.0,0.0,-0.02034044824540615,0.05000000074505806,0.0,1.0,0.0,0.0,0.14000000059604645,1.149999976158142
1 Belgium (BE),14 Pumped Hydro,0.0,0.0,2968.154052734375,1013.5230102539062,0.0,0.0,55.50699996948242,9.788000106811523,46.0,6.0,0.0,5.0,0.75,0.75,0.0,-0.20000000298023224,0.05000000074505806,0.0,0.0,0.0,1.0,0.0,1.149999976158142
1 Belgium (BE),15 Geothermal,0.0,0.0,4221.46923828125,1279.739013671875,0.0,0.0,16.29599952697754,8.390999794006348,40.0,2.0,0.8500000238418579,3.0,1.0,1.0,0.0,-0.07400058209896088,0.05000000074505806,0.0,0.0,1.0,0.0,0.0,1.0
1 Belgium (BE),16 Marine,0.0,0.0,9443.0,3777.199951171875,0.0,0.0,60.0,20.0,25.0,2.0,0.0,3.0,1.0,1.0,0.0,-0.08399999886751175,0.05000000074505806,0.0,0.0,1.0,0.0,0.0,1.0
1 Belgium (BE),17 Onshore,0.0,0.0,1649.2860107421875,659.7139892578125,0.0,0.0,18.91200065612793,7.565000057220459,26.0,1.0,0.26499998569488525,0.0,1.0,1.0,0.0,-0.1940000057220459,0.052000001072883606,1.0,0.0,0.0,0.0,0.14000000059604645,0.8500000238418579
1 Belgium (BE),18 Offshore,0.0,0.0,3933.0,1573.199951171875,0.0,0.0,21.200000762939453,8.479999542236328,26.0,3.0,0.38999998569488525,0.0,1.0,1.0,0.0,-0.1940000057220459,0.052000001072883606,1.0,0.0,0.0,0.0,-0.4300000071525574,0.8999999761581421
1 Belgium (BE),19 Solar PV,0.0,0.0,1189.7220458984375,475.8890075683594,0.0,0.0,9.699999809265137,2.618000030517578,40.0,1.0,0.1599999964237213,0.0,1.0,1.0,0.0,-0.3190000057220459,0.02500000037252903,1.0,0.0,0.0,0.0,0.3499999940395355,0.8500000238418579
1 Belgium (BE),20 CSP,0.0,0.0,5875.84716796875,1982.386962890625,0.0,0.0,22.256000518798828,8.70199966430664,25.0,2.0,0.3199999928474426,0.0,0.20000000298023224,0.20000000298023224,0.0,-0.1940000057220459,0.05000000074505806,0.0,0.0,1.0,0.0,0.0,1.0
1 Belgium (BE),21 Fuel cells / Turbine,0.0,0.0,1023.6279907226562,142.4810028076172,9999.0,0.0,9.060999870300293,3.075000047683716,27.0,3.0,0.8500000238418579,5.0,0.5699999928474426,0.7202959060668945,359.2953186035156,-0.07100000232458115,0.05000000074505806,0.0,0.0,0.0,1.0,0.0,1.0
1 Belgium (BE),22 Lithium-ion,0.0,0.0,1017.989013671875,264.5199890136719,0.0,0.0,33.90399932861328,7.763000011444092,18.0,1.0,0.0,5.0,0.9169999957084656,1.0,0.0,-0.1679999977350235,0.05000000074505806,0.0,0.0,0.0,1.0,0.0,1.0
2 Denmark (DK),1 Nuclear,0.0,0.0,6580.0,2632.0,6.789000034332275,2.7149999141693115,30.320999145507812,12.128000259399414,60.0,9.0,0.949999988079071,1.0,1.0,1.0,0.0,-0.08620103448629379,0.05000000074505806,0.0,0.0,1.0,0.0,0.0,1.0
2 Denmark (DK),2 Oil,0.0,0.0,2084.0,833.5999755859375,61.292999267578125,24.517000198364258,17.15999984741211,6.863999843597412,40.0,4.0,0.8500000238418579,1.0,0.44999998807907104,0.27261656522750854,751.8496704101562,-0.014499569311738014,0.05000000074505806,0.0,1.0,0.0,0.0,0.15000000596046448,1.0
2 Denmark (DK),3 Coal,0.0,0.0,2294.51806640625,917.8070068359375,9.126999855041504,3.6510000228881836,33.7400016784668,13.496000289916992,40.0,4.0,0.8500000238418579,1.0,0.4000000059604645,0.41682004928588867,760.0,-0.04394334927201271,0.05000000074505806,0.0,0.0,1.0,0.0,0.11999999731779099,1.0
2 Denmark (DK),4 Coal + CCS,0.0,0.0,4015.64794921875,1606.259033203125,26.770999908447266,10.708000183105469,31.261999130249023,6.900000095367432,40.0,3.0,0.8500000238418579,1.0,0.3499999940395355,0.3671986162662506,76.0,-0.07400058209896088,0.05000000074505806,0.0,0.0,1.0,0.0,0.07999999821186066,1.0
2 Denmark (DK),5 Waste,0.0,0.0,2190.72412109375,876.2899780273438,76.2760009765625,30.510000228881836,20.54199981689453,7.083000183105469,40.0,4.0,0.8500000238418579,2.0,0.25,0.31011587381362915,0.0,-0.07400058209896088,0.05000000074505806,0.0,0.0,1.0,0.0,0.07000000029802322,1.0
2 Denmark (DK),6 Waste + CCS,0.0,0.0,4676.52880859375,1416.0789794921875,122.04100036621094,48.816001892089844,32.867000579833984,11.333000183105469,40.0,4.0,0.8500000238418579,2.0,0.15000000596046448,0.27319732308387756,0.0,-0.10469737648963928,0.05000000074505806,0.0,0.0,1.0,0.0,0.0,1.0
2 Denmark (DK),7 CCGT,0.0,0.0,1627.6600341796875,651.0640258789062,58.10900115966797,23.243999481201172,8.805999755859375,2.871000051498413,25.0,2.0,0.8500000238418579,1.0,0.5320000052452087,0.5132108330726624,370.0,-0.05889368802309036,0.05000000074505806,0.0,1.0,0.0,0.0,0.20000000298023224,1.149999976158142
2 Denmark (DK),8 CCGT + CCS,0.0,0.0,2122.158935546875,848.864013671875,64.10099792480469,25.639999389648438,17.172000885009766,4.793000221252441,30.0,3.0,0.8500000238418579,1.0,0.4480000138282776,0.42317384481430054,37.0,-0.07400058209896088,0.05000000074505806,0.0,1.0,0.0,0.0,0.11999999731779099,1.149999976158142
2 Denmark (DK),9 OCGT,0.0,0.0,740.4310302734375,296.1719970703125,88.03099822998047,35.21200180053711,16.632999420166016,5.793000221252441,22.5,1.0,0.0,1.0,0.36399999260902405,0.4000000059604645,370.0,-0.05889368802309036,0.05000000074505806,0.0,1.0,0.0,0.0,0.0,1.149999976158142
2 Denmark (DK),10 OCGT + CCS,0.0,0.0,1376.126953125,412.8380126953125,94.67400360107422,37.869998931884766,39.5369987487793,10.588000297546387,27.0,2.0,0.0,1.0,0.3240000009536743,0.36000001430511475,37.0,-0.07400058209896088,0.05000000074505806,0.0,1.0,0.0,0.0,0.0,1.149999976158142
2 Denmark (DK),11 Biomass,0.0,0.0,2909.056884765625,899.8319702148438,76.2760009765625,30.510000228881836,20.54199981689453,7.083000183105469,25.0,2.0,0.8500000238418579,2.0,0.3199999928474426,0.31011587381362915,0.0,-0.07400058209896088,0.05000000074505806,0.0,0.0,1.0,0.0,-0.7599999904632568,1.0
2 Denmark (DK),12 Biomass + CCS,0.0,0.0,4676.52880859375,1416.0789794921875,122.04100036621094,48.816001892089844,32.867000579833984,11.333000183105469,25.0,2.0,0.8500000238418579,2.0,0.30000001192092896,0.27319732308387756,-980.7567749023438,-0.10469737648963928,0.05000000074505806,0.0,0.0,1.0,0.0,0.009999999776482582,1.0
2 Denmark (DK),13 Large Hydro,0.0,0.0,2251.068115234375,900.427001953125,0.0,0.0,12.84000015258789,4.164999961853027,60.0,5.0,0.4000000059604645,4.0,1.0,1.0,0.0,-0.02034044824540615,0.05000000074505806,0.0,1.0,0.0,0.0,0.12999999523162842,1.149999976158142
2 Denmark (DK),14 Pumped Hydro,0.0,0.0,2968.154052734375,1013.5230102539062,0.0,0.0,55.50699996948242,9.788000106811523,46.0,6.0,0.0,5.0,0.75,0.75,0.0,-0.20000000298023224,0.05000000074505806,0.0,0.0,0.0,1.0,0.0,1.149999976158142
2 Denmark (DK),15 Geothermal,0.0,0.0,4221.46923828125,1279.739013671875,0.0,0.0,16.29599952697754,8.390999794006348,40.0,2.0,0.8500000238418579,3.0,1.0,1.0,0.0,-0.07400058209896088,0.05000000074505806,0.0,0.0,1.0,0.0,0.0,1.0
2 Denmark (DK),16 Marine,0.0,0.0,9443.0,3777.199951171875,0.0,0.0,60.0,20.0,25.0,2.0,0.0,3.0,1.0,1.0,0.0,-0.08399999886751175,0.05000000074505806,0.0,0.0,1.0,0.0,0.0,1.0
2 Denmark (DK),17 Onshore,0.0,0.0,2210.0,884.0,0.0,0.0,9.746999740600586,3.8989999294281006,26.0,1.0,0.26499998569488525,0.0,1.0,1.0,0.0,-0.1940000057220459,0.02800000086426735,1.0,0.0,0.0,0.0,-0.3400000035762787,0.8500000238418579
2 Denmark (DK),18 Offshore,0.0,0.0,2918.0,1167.199951171875,0.0,0.0,15.399999618530273,6.159999847412109,26.0,3.0,0.38999998569488525,0.0,1.0,1.0,0.0,-0.1940000057220459,0.02800000086426735,1.0,0.0,0.0,0.0,-0.5699999928474426,0.8999999761581421
2 Denmark (DK),19 Solar PV,0.0,0.0,1192.906982421875,477.1629943847656,0.0,0.0,9.699999809265137,2.618000030517578,40.0,1.0,0.1599999964237213,0.0,1.0,1.0,0.0,-0.3190000057220459,0.029999999329447746,1.0,0.0,0.0,0.0,-0.1899999976158142,0.8500000238418579
2 Denmark (DK),20 CSP,0.0,0.0,5875.84716796875,1982.386962890625,0.0,0.0,22.256000518798828,8.70199966430664,25.0,2.0,0.3199999928474426,0.0,0.20000000298023224,0.20000000298023224,0.0,-0.1940000057220459,0.05000000074505806,0.0,0.0,1.0,0.0,0.0,1.0
2 Denmark (DK),21 Fuel cells / Turbine,0.0,0.0,1023.6279907226562,142.4810028076172,9999.0,0.0,9.060999870300293,3.075000047683716,27.0,3.0,0.8500000238418579,5.0,0.5699999928474426,0.7202959060668945,359.2953186035156,-0.07100000232458115,0.05000000074505806,0.0,0.0,0.0,1.0,0.0,1.0
2 Denmark (DK),22 Lithium-ion,0.0,0.0,555.2109985351562,222.08399963378906,0.0,0.0,33.90399932861328,7.763000011444092,20.625,1.0,0.0,5.0,0.9350000023841858,1.0,0.0,-0.1679999977350235,0.05000000074505806,0.0,0.0,0.0,1.0,0.0,1.0
3 Germany (DE),1 Nuclear,0.0,0.0,6580.0,2632.0,6.789000034332275,2.7149999141693115,30.320999145507812,12.128000259399414,60.0,9.0,0.949999988079071,1.0,1.0,1.0,0.0,-0.08620103448629379,0.05000000074505806,0.0,0.0,1.0,0.0,0.009999999776482582,1.0
3 Germany (DE),2 Oil,0.0,0.0,2084.0,833.5999755859375,61.292999267578125,24.517000198364258,17.15999984741211,6.863999843597412,40.0,4.0,0.8500000238418579,1.0,0.44999998807907104,0.27261656522750854,751.8496704101562,-0.014499569311738014,0.05000000074505806,0.0,1.0,0.0,0.0,0.07000000029802322,1.0
3 Germany (DE),3 Coal,0.0,0.0,2294.51806640625,917.8070068359375,7.526000022888184,3.010999917984009,33.7400016784668,13.496000289916992,40.0,4.0,0.8500000238418579,1.0,0.4000000059604645,0.41682004928588867,760.0,-0.04394334927201271,0.05000000074505806,0.0,0.0,1.0,0.0,-0.41999998688697815,1.0
3 Germany (DE),4 Coal + CCS,0.0,0.0,4015.64794921875,1606.259033203125,26.770999908447266,10.708000183105469,31.261999130249023,6.900000095367432,40.0,3.0,0.8500000238418579,1.0,0.3499999940395355,0.3671986162662506,76.0,-0.07400058209896088,0.05000000074505806,0.0,0.0,1.0,0.0,-0.18000000715255737,1.0
3 Germany (DE),5 Waste,0.0,0.0,2190.72412109375,876.2899780273438,76.2760009765625,30.510000228881836,20.54199981689453,7.083000183105469,40.0,4.0,0.8500000238418579,2.0,0.25,0.31011587381362915,0.0,-0.07400058209896088,0.05000000074505806,0.0,0.0,1.0,0.0,-0.05999999865889549,1.0
3 Germany (DE),6 Waste + CCS,0.0,0.0,4676.52880859375,1416.0789794921875,122.04100036621094,48.816001892089844,32.867000579833984,11.333000183105469,40.0,4.0,0.8500000238418579,2.0,0.15000000596046448,0.27319732308387756,0.0,-0.10469737648963928,0.05000000074505806,0.0,0.0,1.0,0.0,0.0,1.0
