2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.8421,3.8421,3.8421,3.8421,3.8421,3.8421,12.048,14.6466,15.5134,16.0985,19.96876230541539,21.66721640722052,23.41967050902565,25.199724610830778,27.00367871263591,28.82573281444104,30.658786916246168,32.5307410180513,34.21319511985643,35.812549221661556,37.41870332346669,39.030757425271815,40.65561152707694,41.20371152707695,41.77051152707695,42.359711527076946,42.958111527076944,43.56541152707695,44.19651152707695,44.84741152707694,45.514011527076946,46.19261152707695,46.89571152707694,47.63371152707695,48.35501152707694,49.127411527076944,49.89771152707695,50.709611527076945,49.889811527076944,49.08231152707694,48.28801152707695,47.50791152707694,46.748111527076944,46.006311527076946,45.287311527076945,44.58471152707695,43.89641152707695,43.22431152707695
0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,15.9976,19.4481,20.5991,21.3761,26.515128109304257,28.77040414573901,31.09728018217377,33.46085621860852,35.856232255043274,38.27560829147802,40.70958432791278,43.19526036434753,45.42933640078228,47.55291243721703,49.685688473651794,51.82616451008654,53.9837405465213,54.711440546521295,55.4640405465213,56.24644054652129,57.04094054652129,57.8474405465213,58.68544054652129,59.549640546521296,60.43484054652129,61.33594054652129,62.26954054652129,63.249340546521296,64.20714054652129,65.23284054652129,66.2555405465213,67.3336405465213,66.2451405465213,65.17284054652129,64.11824054652129,63.082340546521294,62.0734405465213,61.088540546521294,60.133740546521295,59.20084054652129,58.2868405465213,57.394440546521295
0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.5998,1.9448,2.0599,2.1376,2.6514828109304256,2.877010414573901,3.1097380182173766,3.3460656218608515,3.5855932255043275,3.8275208291478022,4.070948432791278,4.319476036434754,4.5429036400782286,4.755331243721704,4.968558847365179,5.182586451008655,5.398414054652129,5.471114054652129,5.5464140546521286,5.624614054652129,5.704114054652129,5.784714054652129,5.868514054652129,5.955014054652129,6.043514054652129,6.13361405465213,6.226914054652129,6.32491405465213,6.420714054652128,6.523314054652129,6.625514054652129,6.73341405465213,6.6245140546521295,6.517314054652129,6.41181405465213,6.3082140546521295,6.207314054652128,6.108814054652129,6.013414054652129,5.92011405465213,5.82871405465213,5.739414054652129
0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,15.9976,19.4481,20.5991,21.3761,26.515128109304257,28.77040414573901,31.09728018217377,33.46085621860852,35.856232255043274,38.27560829147802,40.70958432791278,43.19526036434753,45.42933640078228,47.55291243721703,49.685688473651794,51.82616451008654,53.9837405465213,54.711440546521295,55.4640405465213,56.24644054652129,57.04094054652129,57.8474405465213,58.68544054652129,59.549640546521296,60.43484054652129,61.33594054652129,62.26954054652129,63.249340546521296,64.20714054652129,65.23284054652129,66.2555405465213,67.3336405465213,66.2451405465213,65.17284054652129,64.11824054652129,63.082340546521294,62.0734405465213,61.088540546521294,60.133740546521295,59.20084054652129,58.2868405465213,57.394440546521295
0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.5998,1.9448,2.0599,2.1376,2.6514828109304256,2.877010414573901,3.1097380182173766,3.3460656218608515,3.5855932255043275,3.8275208291478022,4.070948432791278,4.319476036434754,4.5429036400782286,4.755331243721704,4.968558847365179,5.182586451008655,5.398414054652129,5.471114054652129,5.5464140546521286,5.624614054652129,5.704114054652129,5.784714054652129,5.868514054652129,5.955014054652129,6.043514054652129,6.13361405465213,6.226914054652129,6.32491405465213,6.420714054652128,6.523314054652129,6.625514054652129,6.73341405465213,6.6245140546521295,6.517314054652129,6.41181405465213,6.3082140546521295,6.207314054652128,6.108814054652129,6.013414054652129,5.92011405465213,5.82871405465213,5.739414054652129
0.0,0.0,0.0,2.5769,2.5769,2.5769,2.5769,2.5769,2.5769,8.0807,9.8236,10.405,10.7974,13.393278536169037,14.532438048225384,15.70789756028173,16.901757072338075,18.111616584394422,19.33377609645077,20.563135608507114,21.81869512056346,22.947154632619807,24.01991414467615,25.097173656732497,26.178433168788846,27.26819268084519,27.63579268084519,28.015992680845187,28.41119268084519,28.81249268084519,29.219792680845188,29.64309268084519,30.079692680845188,30.52679268084519,30.98189268084519,31.453492680845187,31.948492680845188,32.432292680845194,32.95029268084519,33.46689268084519,34.011492680845194,33.46169268084519,32.92009268084519,32.38729268084519,31.86409268084519,31.35449268084519,30.856992680845188,30.37469268084519,29.90349268084519,29.44179268084519,28.99099268084519
0.0,0.0,0.0,0.2577,0.2577,0.2577,0.2577,0.2577,0.2577,0.8081,0.9824,1.0405,1.0797,1.3393378536169038,1.4532838048225383,1.570829756028173,1.6901757072338075,1.811121658439442,1.9333676096450767,2.056313560850711,2.181859512056346,2.2947054632619808,2.4019514144676153,2.50969736567325,2.6178433168788846,2.726789268084519,2.7635892680845187,2.801589268084519,2.8410892680845192,2.881289268084519,2.921989268084519,2.964289268084519,3.007989268084519,3.052689268084519,3.0981892680845187,3.145389268084519,3.194889268084519,3.243189268084519,3.294989268084519,3.3466892680845186,3.4011892680845186,3.346189268084519,3.291989268084519,3.238689268084519,3.186389268084519,3.1354892680845188,3.0856892680845185,3.037489268084519,2.990389268084519,2.9441892680845188,2.899089268084519
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-15.7161,-19.1058,-20.2366,-20.9998,-26.04850880704258,-28.26401174272344,-30.5500146784043,-32.871917614085156,-35.22512054976602,-37.601923485446875,-39.99302642112774,-42.4350293568086,-44.62973229248946,-46.71593522817031,-48.81113816385117,-50.91404109953204,-53.0335440352129,-53.74854403521289,-54.48794403521289,-55.2565440352129,-56.0370440352129,-56.829244035212895,-57.6525440352129,-58.50154403521289,-59.37114403521289,-60.25634403521289,-61.1735440352129,-62.136144035212894,-63.077144035212896,-64.08474403521289,-65.08944403521289,-66.1485440352129,-65.0792440352129,-64.0258440352129,-62.989744035212894,-61.97214403521289,-60.9809440352129,-60.013344035212896,-59.0754440352129,-58.158844035212894,-57.26104403521289,-56.38434403521289
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-15.7161,-19.1058,-20.2366,-20.9998,-26.04850880704258,-28.26401174272344,-30.5500146784043,-32.871917614085156,-35.22512054976602,-37.601923485446875,-39.99302642112774,-42.4350293568086,-44.62973229248946,-46.71593522817031,-48.81113816385117,-50.91404109953204,-53.0335440352129,-53.74854403521289,-54.48794403521289,-55.2565440352129,-56.0370440352129,-56.829244035212895,-57.6525440352129,-58.50154403521289,-59.37114403521289,-60.25634403521289,-61.1735440352129,-62.136144035212894,-63.077144035212896,-64.08474403521289,-65.08944403521289,-66.1485440352129,-65.0792440352129,-64.0258440352129,-62.989744035212894,-61.97214403521289,-60.9809440352129,-60.013344035212896,-59.0754440352129,-58.158844035212894,-57.26104403521289,-56.38434403521289
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-1.9234,-1.9234,-1.9234,-1.9234,-1.9234,-1.9234,-6.0315,-7.3324,-7.7663,-8.0592,-9.996836863979372,-10.84708248530583,-11.724328106632289,-12.615473727958747,-13.518619349285206,-14.430764970611662,-15.348410591938121,-16.285556213264577,-17.127801834591036,-17.928447455917492,-18.73259307724395,-19.53963869857041,-20.353084319896865,-20.62738431989687,-20.91118431989687,-21.206184319896867,-21.505684319896865,-21.809784319896867,-22.12568431989687,-22.451484319896867,-22.785284319896867,-23.124984319896868,-23.476984319896864,-23.846384319896867,-24.207484319896867,-24.59418431989687,-24.97978431989687,-25.386284319896866,-24.975884319896867,-24.571584319896868,-24.173984319896867,-23.783484319896868,-23.403084319896866,-23.03168431989687,-22.671784319896865,-22.319984319896868,-21.975484319896864,-21.638984319896867
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
