Technology,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,0.0,0.0,0.0,3.8421,3.8421,3.8421,3.8421,3.8421,3.8421,11.214,13.4078,14.0166,14.5578,18.36656230541539,20.00061640722052,21.694770509025652,23.408624610830778,25.14197871263591,26.90643281444104,28.683486916246167,30.503541018051298,32.129795119856425,33.67484922166155,35.22520332346669,36.78405742527182,38.36101152707695,38.831811527076944,39.357711527076944,39.89471152707695,40.441011527076945,40.99611152707695,41.561911527076944,42.14381152707695,42.738311527076945,43.33191152707695,43.946611527076946,44.588911527076945,45.22471152707695,45.90301152707694,46.57771152707694,47.27911152707695,46.512311527076946,45.76191152707695,45.02881152707695,44.31201152707695,43.61191152707694,42.92671152707695,42.25811152707695,41.606711527076946,40.97211152707695,40.354511527076944
3 Coal,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,14.8902,17.8032,18.6116,19.3303,24.38762810930426,26.557304145739014,28.806880182173767,31.08265621860852,33.38423225504327,35.72720829147802,38.08668432791278,40.50346036434753,42.66283640078228,44.71451243721704,46.77298847365179,48.84286451008654,50.936840546521296,51.562040546521295,52.26034054652129,52.9733405465213,53.698840546521296,54.43584054652129,55.187040546521295,55.959740546521296,56.74924054652129,57.53734054652129,58.353540546521295,59.2063405465213,60.050640546521294,60.9512405465213,61.84724054652129,62.77854054652129,61.760440546521295,60.764040546521294,59.79054054652129,58.838740546521294,57.90914054652129,56.99924054652129,56.1115405465213,55.246540546521295,54.4039405465213,53.5839405465213
4 Coal + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.489,1.7803,1.8612,1.933,2.4387828109304257,2.6557104145739014,2.8807380182173765,3.108265621860852,3.338393225504327,3.5727208291478023,3.8086484327912773,4.050376036434753,4.266303640078228,4.471431243721703,4.677258847365179,4.884286451008654,5.093714054652129,5.156214054652129,5.226014054652129,5.297314054652129,5.36991405465213,5.443614054652129,5.518714054652129,5.596014054652129,5.674914054652129,5.753714054652129,5.835314054652129,5.920614054652129,6.005114054652129,6.095114054652129,6.1847140546521295,6.277814054652129,6.1760140546521285,6.07641405465213,5.979014054652129,5.883914054652129,5.790914054652129,5.69991405465213,5.611114054652129,5.52461405465213,5.440414054652129,5.35841405465213
5 IGCC,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,14.8902,17.8032,18.6116,19.3303,24.38762810930426,26.557304145739014,28.806880182173767,31.08265621860852,33.38423225504327,35.72720829147802,38.08668432791278,40.50346036434753,42.66283640078228,44.71451243721704,46.77298847365179,48.84286451008654,50.936840546521296,51.562040546521295,52.26034054652129,52.9733405465213,53.698840546521296,54.43584054652129,55.187040546521295,55.959740546521296,56.74924054652129,57.53734054652129,58.353540546521295,59.2063405465213,60.050640546521294,60.9512405465213,61.84724054652129,62.77854054652129,61.760440546521295,60.764040546521294,59.79054054652129,58.838740546521294,57.90914054652129,56.99924054652129,56.1115405465213,55.246540546521295,54.4039405465213,53.5839405465213
6 IGCC + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.489,1.7803,1.8612,1.933,2.4387828109304257,2.6557104145739014,2.8807380182173765,3.108265621860852,3.338393225504327,3.5727208291478023,3.8086484327912773,4.050376036434753,4.266303640078228,4.471431243721703,4.677258847365179,4.884286451008654,5.093714054652129,5.156214054652129,5.226014054652129,5.297314054652129,5.36991405465213,5.443614054652129,5.518714054652129,5.596014054652129,5.674914054652129,5.753714054652129,5.835314054652129,5.920614054652129,6.005114054652129,6.095114054652129,6.1847140546521295,6.277814054652129,6.1760140546521285,6.07641405465213,5.979014054652129,5.883914054652129,5.790914054652129,5.69991405465213,5.611114054652129,5.52461405465213,5.440414054652129,5.35841405465213
7 CCGT,0.0,0.0,0.0,2.5769,2.5769,2.5769,2.5769,2.5769,2.5769,7.5213,8.9928,9.4011,9.7641,12.318678536169038,13.414638048225385,14.55089756028173,15.700457072338075,16.863016584394423,18.046476096450768,19.238335608507114,20.45909512056346,21.549854632619805,22.586114144676152,23.625973656732498,24.671433168788845,25.729192680845188,26.04499268084519,26.39769268084519,26.75789268084519,27.12429268084519,27.49659268084519,27.87599268084519,28.26639268084519,28.665092680845188,29.063192680845187,29.47549268084519,29.90629268084519,30.332692680845188,30.78769268084519,31.24019268084519,31.71059268084519,31.19639268084519,30.69309268084519,30.20139268084519,29.72059268084519,29.25099268084519,28.79139268084519,28.34299268084519,27.906092680845187,27.480492680845188,27.066292680845187
8 CCGT + CCS,0.0,0.0,0.0,0.2577,0.2577,0.2577,0.2577,0.2577,0.2577,0.7521,0.8993,0.9401,0.9764,1.2318378536169037,1.3414838048225384,1.455129756028173,1.5700757072338076,1.6863216584394425,1.8046676096450767,1.9238135608507114,2.045859512056346,2.155005463261981,2.2586514144676153,2.36259736567325,2.4671433168788846,2.572889268084519,2.604489268084519,2.639789268084519,2.675789268084519,2.712389268084519,2.749689268084519,2.7875892680845187,2.826589268084519,2.8664892680845186,2.906289268084519,2.947589268084519,2.990589268084519,3.033289268084519,3.078789268084519,3.123989268084519,3.1710892680845193,3.1195892680845185,3.069289268084519,3.0200892680845186,2.972089268084519,2.925089268084519,2.8791892680845192,2.834289268084519,2.790589268084519,2.7480892680845193,2.706589268084519
9 Solid Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 S Biomass CCS,0.0,0.0,0.0,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-14.6281,-17.4899,-18.2841,-18.9901,-23.958408807042577,-26.089911742723437,-28.2999146784043,-30.535617614085155,-32.79662054976602,-35.09842348544688,-37.41642642112774,-39.790629356808594,-41.91203229248946,-43.92753522817031,-45.94983816385117,-47.98324109953204,-50.0403440352129,-50.65454403521289,-51.34054403521289,-52.04104403521289,-52.75364403521289,-53.47774403521289,-54.21574403521289,-54.9748440352129,-55.750444035212894,-56.52474403521289,-57.32654403521289,-58.16434403521289,-58.9937440352129,-59.8785440352129,-60.758644035212896,-61.67364403521289,-60.673444035212896,-59.6945440352129,-58.7382440352129,-57.8032440352129,-56.88994403521289,-55.99604403521289,-55.1239440352129,-54.27424403521289,-53.44644403521289,-52.64084403521289
11 BIGCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12 BIGCC + CCS,0.0,0.0,0.0,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-14.6281,-17.4899,-18.2841,-18.9901,-23.958408807042577,-26.089911742723437,-28.2999146784043,-30.535617614085155,-32.79662054976602,-35.09842348544688,-37.41642642112774,-39.790629356808594,-41.91203229248946,-43.92753522817031,-45.94983816385117,-47.98324109953204,-50.0403440352129,-50.65454403521289,-51.34054403521289,-52.04104403521289,-52.75364403521289,-53.47774403521289,-54.21574403521289,-54.9748440352129,-55.750444035212894,-56.52474403521289,-57.32654403521289,-58.16434403521289,-58.9937440352129,-59.8785440352129,-60.758644035212896,-61.67364403521289,-60.673444035212896,-59.6945440352129,-58.7382440352129,-57.8032440352129,-56.88994403521289,-55.99604403521289,-55.1239440352129,-54.27424403521289,-53.44644403521289,-52.64084403521289
13 Biogas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14 Biogas + CCS,0.0,0.0,0.0,-1.9234,-1.9234,-1.9234,-1.9234,-1.9234,-1.9234,-5.6139,-6.7122,-7.017,-7.2879,-9.194636863979373,-10.012682485305831,-10.86082810663229,-11.718873727958746,-12.586619349285204,-13.469964970611663,-14.35951059193812,-15.270656213264578,-16.084801834591037,-16.858347455917492,-17.634493077243953,-18.41483869857041,-19.204284319896868,-19.439984319896865,-19.703284319896866,-19.972084319896865,-20.245584319896867,-20.523484319896866,-20.806784319896867,-21.098084319896866,-21.395684319896866,-21.69288431989687,-22.000584319896866,-22.322084319896867,-22.640384319896867,-22.979984319896865,-23.317784319896866,-23.66888431989687,-23.285084319896868,-22.909384319896866,-22.54238431989687,-22.183484319896866,-21.832984319896866,-21.48998431989687,-21.155284319896865,-20.829184319896868,-20.511484319896866,-20.20228431989687
15 Tidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16 Large Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
