,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
12 BIGCC + CCS,0.0,0.0,0.0,519.7388,519.7388,519.7388,519.7388,519.7388,519.7388,503.5883,490.2103,483.1547,474.6222,466.2698,458.5256,451.0588,444.124,437.5166,431.247,425.3227,419.704,415.004,410.713,406.6206,402.7231,398.9988,395.5458,392.2399,389.0636,386.0023,383.0351,380.1297,377.2997,374.5299,371.8363,369.1812,366.5462,363.975,361.3962,358.8716,356.348,355.9044,355.4768,355.073,354.6805,354.2977,353.9297,353.5647,353.206,352.8465,352.4862
13 Biogas,0.0,0.0,0.0,571.0176,571.0176,571.0176,571.0176,571.0176,571.0176,561.0269,546.332,540.0292,532.309,526.2586,520.5044,515.2245,510.3038,505.76,501.4983,497.5114,493.7696,490.5591,487.5237,484.7266,482.0982,479.6371,477.3524,475.1604,473.0449,471.0026,469.0248,467.0831,465.2003,463.3604,461.5694,459.8144,458.0883,456.398,454.7374,453.1076,451.5023,449.968,448.4723,447.0175,445.5872,444.1892,442.8203,441.4756,440.1479,438.8481,437.5726
14 Biogas + CCS,0.0,0.0,0.0,355.9512,355.9512,355.9512,355.9512,355.9512,355.9512,352.333,351.233,350.8335,350.5644,350.2069,349.9051,349.5629,349.2126,348.8451,348.462,348.0682,347.6559,347.3632,347.1147,346.8624,346.6069,346.3412,346.0732,345.7973,345.513,345.2236,344.9292,344.6237,344.3089,343.987,343.6647,343.3324,342.9862,342.6435,342.2786,341.9147,341.5367,341.93,342.3144,342.69,343.0572,343.4159,343.7671,344.1095,344.4435,344.7694,345.0866
15 Tidal,0.0,0.0,0.0,429.0005,429.0005,429.0005,429.0005,429.0005,429.0005,428.1349,426.6943,426.1859,425.2889,424.3789,423.4743,422.5629,421.6262,420.6823,419.7152,418.7231,417.716,416.7708,415.8639,414.9931,414.1755,413.3965,412.6814,411.9908,411.3196,410.6756,410.0591,409.4774,408.9522,408.5129,408.1252,407.7671,407.4177,407.052,406.703,406.3552,406.0159,405.6907,405.3817,405.0799,404.7862,404.504,404.2245,403.9529,403.6618,403.4154,403.1931
16 Large Hydro,0.0,0.0,0.0,95.3877,134.1683,140.0695,133.3499,134.827,133.4391,130.3526,131.456,127.2586,126.7541,126.2536,125.8146,125.4643,125.275,125.1601,125.1459,125.2098,125.3293,125.4208,125.6014,125.8624,126.2106,126.6456,127.1532,127.7452,128.3389,128.9255,129.4837,129.9956,130.4672,130.8734,131.2466,131.5813,131.8743,132.1468,132.4441,132.7173,132.9754,133.1824,133.368,133.5437,133.7225,133.8303,133.9145,133.9747,133.9727,133.9973,133.9879
17 Onshore,0.0,0.0,0.0,93.2533,95.6014,95.6464,96.797,95.9246,97.4933,94.3165,90.0324,89.6454,87.2437,85.8537,84.6937,83.754,83.0813,82.6297,82.197,81.7848,81.4101,81.0143,80.6057,80.1834,79.7474,79.3189,78.927,78.5661,78.2698,78.044,77.8876,77.8033,77.7701,77.7896,77.8286,77.888,77.9601,78.0536,78.1287,78.2124,78.2991,78.4043,78.5077,78.6147,78.7011,78.8214,78.9192,79.0161,79.1512,79.246,79.3547
18 Offshore,0.0,0.0,0.0,94.0359,93.96,94.1705,94.8646,94.2063,95.092,84.988,79.4408,74.6604,71.276,68.8545,66.736,64.9279,63.5794,62.5519,61.8102,61.2362,60.865,60.6318,60.5085,60.4451,60.4358,60.4628,60.547,60.6395,60.7577,60.8826,60.9958,61.096,61.1843,61.2669,61.3427,61.4012,61.4703,61.5323,61.5762,61.6283,61.6794,61.7425,61.8108,61.8674,61.9123,61.9922,62.0499,62.1077,62.1964,62.2528,62.3224
19 Solar PV,0.0,0.0,0.0,133.5726,140.7045,141.1607,141.1909,141.1978,141.2714,107.0719,95.2299,87.0808,79.4361,72.9407,67.0102,61.5706,56.6934,52.3589,48.5936,51.0951,48.0753,45.7233,43.7112,41.9758,40.4241,39.0627,37.9097,36.8876,35.9907,35.2138,34.5415,33.977,33.5054,33.119,32.7943,32.5098,32.3408,32.253,32.1517,32.0706,31.9947,31.9392,31.8882,31.8302,31.7598,31.7358,31.6798,31.6251,31.6076,31.5515,31.5158
20 CSP,0.0,0.0,0.0,353.7614,425.03,425.03,425.03,425.03,425.03,362.4831,349.808,338.7724,333.369,327.8761,322.489,317.1447,312.0631,307.1728,302.5382,298.2057,294.192,290.7657,287.6972,284.9872,282.6361,280.632,279.0754,277.7769,276.7211,275.8393,275.0466,274.3393,273.6852,273.095,272.5483,272.0084,271.5386,271.063,270.5591,270.0869,269.609,269.1324,268.6401,268.1092,267.5415,267.0208,266.3904,265.7369,265.1027,264.4011,263.7121
21 Geothermal,0.0,0.0,0.0,126.7511,126.7511,126.7511,126.7511,126.7511,126.7511,125.9861,124.8093,124.0482,123.41,122.7437,122.0617,121.3638,120.6316,119.8841,119.1291,118.3787,117.6429,116.9821,116.3561,115.7772,115.2502,114.7573,114.2919,113.8477,113.421,113.0073,112.6066,112.2171,111.8398,111.4742,111.1227,110.7865,110.4668,110.1628,109.8651,109.5793,109.3022,109.037,108.7797,108.5305,108.2878,108.0519,107.8217,107.5971,107.3775,107.1627,106.953
22 Wave,0.0,0.0,0.0,282.8366,283.5041,284.3723,285.7547,285.7749,287.3806,289.3627,288.5131,290.0793,290.1096,290.8777,291.6454,292.417,293.1984,294.0132,294.8499,295.6879,296.5424,297.4218,298.3228,299.2433,300.1769,301.1257,302.1027,303.1031,304.1429,305.2261,306.3441,307.498,308.6833,309.9041,311.1518,312.4108,313.6789,314.9607,316.2479,317.5672,318.9097,320.2878,321.6916,323.1097,324.5357,326.0191,327.498,328.9959,330.5455,332.0788,333.6452
23 Fuel Cells,0.0,0.0,0.0,10103.8223,10103.8223,10103.8223,10103.8223,10104.833,10105.0059,10101.4229,10094.1738,10090.9707,10088.1426,10085.7305,10083.4355,10081.3076,10079.1689,10077.2686,10075.6201,10074.1562,10072.958,10071.8936,10070.9326,10070.0801,10069.3164,10068.6445,10068.0488,10067.5225,10067.0625,10066.6748,10066.332,10066.0439,10065.8135,10065.6416,10065.5068,10065.4199,10065.375,10065.333,10065.335,10065.3447,10065.4062,10064.749,10064.1123,10063.5049,10062.916,10062.3486,10061.8008,10061.2754,10060.7617,10060.2773,10059.8145
24 CHP,0.0,0.0,0.0,146.7888,146.7888,146.7888,146.7888,147.7972,147.9717,151.3816,152.4515,152.883,153.1949,153.587,153.9226,154.2963,154.6541,155.0367,155.4404,155.8397,156.2754,156.5696,156.8219,157.0777,157.3368,157.6078,157.8775,158.1566,158.4474,158.7602,159.0784,159.4126,159.764,160.1301,160.5029,160.8905,161.3037,161.7052,162.1307,162.5475,163.0004,162.7143,162.4381,162.1703,161.9122,161.6638,161.4235,161.1935,160.9732,160.7623,160.5614
