,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
12 BIGCC + CCS,0.0,0.0,0.3409,0.3409,0.3409,0.0459,0.093,0.0829,0.1091,0.1143,0.1119,0.1046,0.098,0.0924,0.0868,0.0815,0.0766,0.0735,0.0722,0.0719,0.0721,0.0723,0.0727,0.073,0.0734,0.0739,0.0742,0.0746,0.075,0.0754,0.0759,0.0764,0.0769,0.0775,0.0781,0.0787,0.0793,0.0799,0.0806,0.0813,0.0822,0.0818,0.0814,0.0811,0.0809,0.0807,0.0805,0.0804,0.0802,0.0801,0.0799
13 Biogas,0.0,0.0,0.3594,0.2153,0.1717,0.1972,0.1841,0.1862,0.1938,0.1938,0.1899,0.1806,0.1716,0.1631,0.1545,0.1461,0.1381,0.1314,0.1273,0.1248,0.1234,0.1224,0.122,0.1219,0.122,0.1223,0.1226,0.1231,0.1237,0.1244,0.1253,0.1263,0.1272,0.1283,0.1294,0.1305,0.1317,0.133,0.1344,0.136,0.1377,0.1395,0.1413,0.1434,0.1454,0.1474,0.1495,0.1514,0.1532,0.1549,0.1565
14 Biogas + CCS,0.0,0.0,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
15 Tidal,0.0,0.0,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
16 Large Hydro,0.0,0.0,0.5287,0.4267,0.4249,0.4614,0.4288,0.4253,0.399,0.3911,0.3682,0.3479,0.3322,0.3173,0.304,0.2925,0.2831,0.2754,0.2696,0.2653,0.2619,0.2596,0.2574,0.2554,0.2537,0.252,0.2501,0.2485,0.247,0.2455,0.2419,0.2386,0.2354,0.2326,0.2299,0.2275,0.2252,0.2233,0.2216,0.2199,0.2186,0.2172,0.2156,0.2143,0.2129,0.2114,0.21,0.2085,0.2069,0.2054,0.2039
17 Onshore,0.0,0.0,0.3106,0.3106,0.3266,0.3209,0.3175,0.3112,0.3082,0.3042,0.2986,0.2957,0.292,0.2883,0.2846,0.2808,0.2785,0.2757,0.2739,0.2716,0.2699,0.2694,0.2683,0.2672,0.2667,0.2659,0.2652,0.2642,0.2632,0.2624,0.2617,0.2612,0.2605,0.26,0.2593,0.2593,0.2586,0.2579,0.2575,0.257,0.2561,0.2561,0.2559,0.2554,0.2554,0.255,0.2547,0.2547,0.2545,0.2543,0.2543
18 Offshore,0.0,0.0,0.3106,0.3106,0.3106,0.3106,0.3106,0.3106,0.3106,0.3106,0.4619,0.4619,0.4592,0.4569,0.4569,0.4548,0.453,0.453,0.4513,0.4497,0.4483,0.4483,0.4483,0.4483,0.4469,0.4469,0.4444,0.4444,0.4444,0.4444,0.4421,0.4421,0.441,0.441,0.441,0.44,0.44,0.439,0.439,0.4371,0.4371,0.4371,0.4353,0.4353,0.4344,0.4344,0.4336,0.4336,0.4336,0.4336,0.4328
19 Solar PV,0.0,0.0,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1393,0.1407,0.1407,0.1407,0.1407,0.1407,0.1407,0.1407,0.1407,0.1407,0.1407,0.1407,0.1407,0.1407
20 CSP,0.0,0.0,0.3481,0.3481,0.3481,0.3481,0.3481,0.3481,0.3481,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
21 Geothermal,0.0,0.0,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22 Wave,0.0,0.0,0.3106,0.3106,0.3106,0.3106,0.3106,0.3106,0.3106,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
23 Fuel Cells,0.0,0.0,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
24 CHP,0.0,0.0,0.7196,0.7196,0.7196,0.7196,0.7196,0.7196,0.7196,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
