,1 Nuclear,2 Oil,3 Coal,4 Coal + CCS,5 Waste,6 Waste + CCS,7 CCGT,8 CCGT + CCS,9 OCGT,10 OCGT + CCS,11 Biomass,12 Biomass + CCS,13 Large Hydro,14 Pumped Hydro,15 Geothermal,16 Marine,17 Onshore,18 Offshore,19 Solar PV,20 CSP,21 Fuel cells / Turbine,22 Lithium-ion
1 Nuclear,0,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.4444444444444444,0.3703703703703704,0.4444444444444444,0.411522633744856,0.4444444444444444,0.4444444444444444,0.1851851851851852,0.24154589371980675,0.2777777777777778,0.4444444444444444,0.4273504273504274,0.4273504273504274,0.2777777777777778,0.4444444444444444,0.411522633744856,0.6172839506172839
2 Oil,0.4166666666666667,0,0.625,0.625,0.625,0.625,1,0.8333333333333334,1,0.9259259259259259,1,1,0.4166666666666667,0.5434782608695652,0.625,1,0.9615384615384616,0.9615384615384616,0.625,1,0.9259259259259259,1.3888888888888888
3 Coal,0.2777777777777778,0.4166666666666667,0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.6172839506172839,0.6666666666666666,0.6666666666666666,0.2777777777777778,0.36231884057971014,0.4166666666666667,0.6666666666666666,0.6410256410256411,0.6410256410256411,0.4166666666666667,0.6666666666666666,0.6172839506172839,0.9259259259259259
4 Coal + CCS,0.5555555555555556,0.8333333333333334,0.8333333333333334,0,0.8333333333333334,0.8333333333333334,1.3333333333333333,1.1111111111111112,1.3333333333333333,1.2345679012345678,1.3333333333333333,1.3333333333333333,0.5555555555555556,0.7246376811594203,0.8333333333333334,1.3333333333333333,1.2820512820512822,1.2820512820512822,0.8333333333333334,1.3333333333333333,1.2345679012345678,1.8518518518518519
5 Waste,0.4166666666666667,0.625,0.625,0.625,0,0.625,1,0.8333333333333334,1,0.9259259259259259,1,1,0.4166666666666667,0.5434782608695652,0.625,1,0.9615384615384616,0.9615384615384616,0.625,1,0.9259259259259259,1.3888888888888888
6 Waste + CCS,0.4166666666666667,0.625,0.625,0.625,0.625,0,1,0.8333333333333334,1,0.9259259259259259,1,1,0.4166666666666667,0.5434782608695652,0.625,1,0.9615384615384616,0.9615384615384616,0.625,1,0.9259259259259259,1.3888888888888888
7 CCGT,0.4166666666666667,0.625,0.625,0.625,0.625,0.625,0,0.8333333333333334,1,0.9259259259259259,1,1,0.4166666666666667,0.5434782608695652,0.625,1,0.9615384615384616,0.9615384615384616,0.625,1,0.9259259259259259,1.3888888888888888
8 CCGT + CCS,0.5555555555555556,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.3333333333333333,0,1.3333333333333333,1.2345679012345678,1.3333333333333333,1.3333333333333333,0.5555555555555556,0.7246376811594203,0.8333333333333334,1.3333333333333333,1.2820512820512822,1.2820512820512822,0.8333333333333334,1.3333333333333333,1.2345679012345678,1.8518518518518519
9 OCGT,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,2,1.6666666666666667,0,1.8518518518518519,2,2,0.8333333333333334,1.0869565217391304,1.25,2,1.9230769230769231,1.9230769230769231,1.25,2,1.8518518518518519,2.7777777777777777
10 OCGT + CCS,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,2,1.6666666666666667,2,0,2,2,0.8333333333333334,1.0869565217391304,1.25,2,1.9230769230769231,1.9230769230769231,1.25,2,1.8518518518518519,2.7777777777777777
