,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
12 BIGCC + CCS,0.0,0.0,0.0,0.0,0.0,0.0113,0.0336,0.1471,0.0944,0.1005,0.1109,0.1059,0.1093,0.1134,0.118,0.1231,0.128,0.1332,0.1387,0.1443,0.1501,0.1556,0.1613,0.1672,0.173,0.1784,0.1825,0.1866,0.1908,0.195,0.1993,0.2042,0.2091,0.2143,0.2196,0.225,0.2319,0.2391,0.2467,0.2547,0.2635,0.2693,0.2754,0.2817,0.2886,0.2956,0.3029,0.3102,0.318,0.3261,0.3347
13 Biogas,0.0,0.0,1.5573,4.7699,2.748,3.6438,3.487,3.2136,3.244,2.327,1.5829,1.2791,1.2412,1.2251,1.2192,1.2194,1.2253,1.2315,1.2358,1.2386,1.239,1.2373,1.2352,1.233,1.2302,1.2252,1.2154,1.2071,1.2014,1.1967,1.1937,1.1912,1.1894,1.1895,1.19,1.1909,1.1911,1.1925,1.1947,1.1985,1.2038,1.2138,1.2227,1.2308,1.2398,1.2473,1.2574,1.2648,1.273,1.2798,1.2868
14 Biogas + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15 Tidal,0.0,0.0,0.0043,0.0127,0.001,0.0049,0.0,0.0107,0.0056,0.006,0.0068,0.0066,0.0069,0.0073,0.0077,0.0081,0.0086,0.0091,0.0096,0.0101,0.0107,0.0112,0.0118,0.0124,0.0131,0.0137,0.0142,0.0148,0.0154,0.016,0.0166,0.0173,0.018,0.0187,0.0195,0.0203,0.0212,0.0222,0.0233,0.0244,0.0256,0.0266,0.0276,0.0287,0.0299,0.0311,0.0324,0.0337,0.0351,0.0365,0.0381
16 Large Hydro,0.0,0.0,1.9525,2.709,2.2863,2.7673,2.0938,2.2003,2.0362,2.0933,2.197,2.011,1.9932,1.9843,1.9812,1.9838,1.9833,1.9857,1.9883,1.9918,1.9939,1.9906,1.9877,1.9853,1.9832,1.9785,1.9613,1.9432,1.9265,1.9094,1.8933,1.8817,1.8697,1.8599,1.8504,1.8412,1.8402,1.8404,1.8418,1.8454,1.8521,1.8445,1.8378,1.8322,1.8299,1.8278,1.8274,1.8261,1.8274,1.8288,1.8326
17 Onshore,0.0,0.0,8.4894,12.1466,13.6702,16.5159,15.5416,20.6292,24.2902,28.1765,31.7041,30.4461,31.5894,32.8548,34.1798,35.5296,36.5993,37.5174,38.1497,38.4047,38.2416,37.5299,36.3976,34.941,33.2001,31.2302,28.98,26.7407,24.6329,22.6908,20.9861,19.5584,18.3358,17.3242,16.4752,15.7822,15.2996,14.9176,14.6382,14.4382,14.3192,14.0791,13.901,13.7682,13.6822,13.6367,13.6105,13.604,13.6294,13.6647,13.7313
18 Offshore,0.0,0.0,1.2128,1.7352,1.9529,2.461,2.2704,3.0329,3.4772,4.2374,5.2914,5.6814,6.5281,7.4671,8.4753,9.5493,10.5988,11.6389,12.6124,13.4924,14.2073,14.7111,15.0461,15.2158,15.2396,15.1168,14.7928,14.4023,13.9888,13.578,13.1802,12.8343,12.5097,12.2269,11.9739,11.7583,11.6553,11.5834,11.5452,11.5432,11.5861,11.5139,11.4686,11.448,11.4575,11.4864,11.5258,11.5766,11.6502,11.7216,11.8151
19 Solar PV,0.0,0.0,0.9999,1.4844,2.9939,5.4575,7.5827,8.3721,9.3934,10.7408,12.2588,12.2295,13.3409,14.7771,16.5837,18.839,21.4862,24.6593,28.3802,32.7248,37.6606,43.0399,48.9622,55.3542,62.1437,69.1634,75.8393,82.472,89.0838,95.4893,101.6744,107.9764,114.0216,119.9612,125.7622,131.4293,137.812,144.2254,150.7867,157.5787,164.7677,169.9448,175.3398,180.8877,186.7991,192.8365,198.9552,205.174,211.7348,218.471,225.6023
20 CSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21 Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22 Wave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23 Fuel Cells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24 CHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
