,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
13 Biogas,0.0,0.0,0.5453,0.4055,0.4387,0.431,0.4271,0.4013,0.418,0.4146,0.4118,0.4089,0.4068,0.4053,0.4042,0.4036,0.4032,0.4031,0.4024,0.4017,0.4009,0.3995,0.3973,0.3942,0.3901,0.3846,0.3775,0.369,0.3623,0.3564,0.3565,0.3592,0.3608,0.3627,0.3623,0.361,0.3591,0.3575,0.3553,0.3527,0.3499,0.3468,0.344,0.3418,0.3397,0.3378,0.3358,0.3342,0.3326,0.3311,0.3296
14 Biogas + CCS,0.0,0.0,0.2665,0.2665,0.2665,0.2665,0.2665,0.2665,0.2665,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
15 Tidal,0.0,0.0,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
16 Large Hydro,0.0,0.0,0.5978,0.6139,0.5897,0.5766,0.6005,0.6279,0.5693,0.5713,0.5676,0.5628,0.5575,0.5512,0.5442,0.5364,0.5275,0.517,0.5099,0.5017,0.4921,0.4805,0.4675,0.4527,0.4363,0.4186,0.3998,0.381,0.3662,0.3537,0.3354,0.3227,0.3155,0.3141,0.3139,0.3184,0.3218,0.3243,0.326,0.327,0.3278,0.3282,0.3286,0.3287,0.3287,0.3286,0.3284,0.3282,0.3278,0.3275,0.327
17 Onshore,0.0,0.0,0.3192,0.3192,0.3165,0.3165,0.318,0.3165,0.318,0.3124,0.3089,0.3049,0.3013,0.2966,0.2919,0.2871,0.2829,0.2781,0.2726,0.2676,0.2627,0.2572,0.2519,0.2467,0.2419,0.2381,0.2351,0.2342,0.2324,0.2357,0.2381,0.2439,0.2508,0.2566,0.2627,0.2683,0.2726,0.2755,0.2786,0.28,0.2819,0.2824,0.2834,0.2844,0.2855,0.2866,0.2866,0.2871,0.2871,0.2883,0.2883
18 Offshore,0.0,0.0,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192
19 Solar PV,0.0,0.0,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1769,0.1769,0.1768,0.1767,0.1765,0.1764,0.176,0.1756,0.1753,0.1749,0.1744,0.1739,0.1737,0.1732,0.1729,0.1727,0.1726,0.1724,0.1721,0.172,0.1718,0.1717,0.1716,0.1715,0.1715,0.1713,0.1713,0.1713,0.1712
20 CSP,0.0,0.0,0.4366,0.4366,0.4366,0.4366,0.4366,0.4366,0.4366,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
21 Geothermal,0.0,0.0,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22 Wave,0.0,0.0,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.3192,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
23 Fuel Cells,0.0,0.0,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
24 CHP,0.0,0.0,0.7719,0.7719,0.7719,0.7719,0.7719,0.7719,0.7719,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
