RTI,T2TI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Belgium (BE),1 Nuclear,0.9378045797348022,0.9378045797348022,0.9381808042526245,0.9368541240692139,0.9357980489730835,0.9134982228279114,0.9444801807403564,0.892406165599823,0.9127328991889954,0.922779381275177,0.9283609986305237,0.7755588889122009,0.8207701444625854,0.6486824750900269,0.5035946369171143,0.8396716117858887,0.8139762878417969,0.5512441992759705,0.837276041507721,0.6610924601554871,0.9812113642692566,0.9812113642692566,0.9812113642692566,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419,0.8555783629417419
1 Belgium (BE),2 Oil,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923,0.11457745730876923
1 Belgium (BE),3 Coal,0.46511930227279663,0.46511930227279663,0.44703391194343567,0.42431122064590454,0.3802570402622223,0.36859822273254395,0.34815043210983276,0.2986452877521515,0.31599971652030945,0.33980417251586914,0.2815520167350769,0.3362795114517212,0.613164484500885,0.42575210332870483,0.42167791724205017,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009,0.6853529214859009
1 Belgium (BE),4 Coal + CCS,0.46511930227279663,0.46511930227279663,0.44703391194343567,0.42431122064590454,0.3802570402622223,0.36859822273254395,0.34815043210983276,0.2986452877521515,0.31599971652030945,0.33980417251586914,0.2815520167350769,0.3362795114517212,0.613164484500885,0.42575210332870483,0.42167791724205017,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845,0.6528812646865845
1 Belgium (BE),5 Waste,0.5238828063011169,0.5238828063011169,0.8067414164543152,0.9028786420822144,0.4988795220851898,0.634783923625946,0.713055431842804,0.7205474972724915,0.6618233323097229,0.6345967650413513,0.661923885345459,0.7538350224494934,0.7312053442001343,0.7040491104125977,0.8161376118659973,0.8218469619750977,0.8753039836883545,0.8597651124000549,0.8031648397445679,0.804820716381073,0.8297088742256165,0.8157657980918884,0.9841687083244324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Belgium (BE),6 Waste + CCS,0.5238828063011169,0.5238828063011169,0.8067414164543152,0.9028786420822144,0.4988795220851898,0.634783923625946,0.713055431842804,0.7205474972724915,0.6618233323097229,0.6345967650413513,0.661923885345459,0.7538350224494934,0.7312053442001343,0.7040491104125977,0.8161376118659973,0.8218469619750977,0.8753039836883545,0.8597651124000549,0.8031648397445679,0.804820716381073,0.8297088742256165,0.8157657980918884,0.9841687083244324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Belgium (BE),7 CCGT,0.25513869524002075,0.25513869524002075,0.3093107342720032,0.28756043314933777,0.30581769347190857,0.31162184476852417,0.34902501106262207,0.3341918885707855,0.3996114432811737,0.4254097044467926,0.3217430114746094,0.326310396194458,0.30616825819015503,0.2941668629646301,0.3394564986228943,0.34551751613616943,0.36121803522109985,0.39040085673332214,0.41741111874580383,0.4383049011230469,0.36858201026916504,0.35267502069473267,0.35267502069473267,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087,0.6483330130577087
1 Belgium (BE),8 CCGT + CCS,0.25513869524002075,0.25513869524002075,0.3093107342720032,0.28756043314933777,0.30581769347190857,0.31162184476852417,0.34902501106262207,0.3341918885707855,0.3996114432811737,0.4254097044467926,0.3217430114746094,0.326310396194458,0.30616825819015503,0.2941668629646301,0.3394564986228943,0.34551751613616943,0.36121803522109985,0.39040085673332214,0.41741111874580383,0.4383049011230469,0.36858201026916504,0.35267502069473267,0.35267502069473267,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196,0.3089434802532196
1 Belgium (BE),9 OCGT,0.25513869524002075,0.25513869524002075,0.3093107342720032,0.28756043314933777,0.30581769347190857,0.31162184476852417,0.34902501106262207,0.3341918885707855,0.3996114432811737,0.4254097044467926,0.3217430114746094,0.326310396194458,0.30616825819015503,0.2941668629646301,0.3394564986228943,0.34551751613616943,0.36121803522109985,0.39040085673332214,0.41741111874580383,0.4383049011230469,0.36858201026916504,0.35267502069473267,0.35267502069473267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Belgium (BE),10 OCGT + CCS,0.25513869524002075,0.25513869524002075,0.3093107342720032,0.28756043314933777,0.30581769347190857,0.31162184476852417,0.34902501106262207,0.3341918885707855,0.3996114432811737,0.4254097044467926,0.3217430114746094,0.326310396194458,0.30616825819015503,0.2941668629646301,0.3394564986228943,0.34551751613616943,0.36121803522109985,0.39040085673332214,0.41741111874580383,0.4383049011230469,0.36858201026916504,0.35267502069473267,0.35267502069473267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
