,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
12 BIGCC + CCS,0.0,0.0,0.0,0.0,0.0,0.1737,0.36,0.614,0.7821,0.4225,0.4791,0.4773,0.5054,0.5343,0.563,0.5919,0.612,0.6314,0.651,0.6702,0.6897,0.7043,0.7202,0.7371,0.7539,0.7715,0.7857,0.7968,0.8061,0.8139,0.8206,0.8255,0.8294,0.8325,0.8356,0.8385,0.843,0.8476,0.8526,0.8584,0.8653,0.8647,0.8676,0.8743,0.8866,0.902,0.9266,0.9597,0.9975,1.0362,1.0747
13 Biogas,98.0,128.0,153.0,141.0,129.0,132.0,142.0,130.11,118.847,69.0434,82.882,86.1428,93.1888,100.1273,106.1973,111.8215,114.7053,116.8893,118.2983,119.204,119.9986,118.7659,117.4744,115.8191,113.8183,111.6108,109.4638,108.6441,108.9143,109.9669,111.6415,113.6709,116.0156,118.6057,121.4236,124.4093,127.7668,131.2429,134.8568,138.617,142.5691,145.1552,148.0087,151.1744,154.8276,158.7809,163.2526,168.0522,173.135,178.4653,183.9405
14 Biogas + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15 Tidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16 Large Hydro,4518.0,3562.0,3899.0,4629.0,6092.0,3808.0,4503.0,3868.344,4704.3198,5325.8091,5484.8472,4964.1367,4843.5244,4711.0156,4563.9893,4401.854,4210.8418,4012.8479,3812.9873,3622.5425,3445.0461,3274.2114,3126.9307,3006.5234,2912.0078,2840.1033,2783.5535,2742.9568,2715.6643,2696.9185,2685.3455,2678.4541,2675.4792,2676.1667,2680.3223,2687.9028,2700.7261,2716.9734,2736.9958,2761.488,2791.083,2815.073,2844.0056,2877.0417,2912.394,2950.4224,2991.3511,3033.051,3074.7351,3116.2703,3156.4973
17 Onshore,0.0,0.0,0.0,3.4286,3.4286,5.1429,5.1429,4.8994,5.1609,6.8508,9.0454,10.497,13.0935,16.2127,20.0529,24.7527,29.8948,36.0949,43.076,50.7855,59.4101,67.5872,76.2511,84.4824,92.2955,99.5825,106.1423,111.7895,117.08,122.0761,126.3105,129.9733,133.4128,136.4394,139.1138,141.1956,143.7124,145.4194,147.4019,148.9565,150.6818,151.553,152.852,154.3341,156.0936,157.8669,160.4122,162.7661,166.0363,169.1422,172.9356
18 Offshore,0.0,0.0,0.0,0.4898,0.4898,0.7347,0.7347,0.6999,0.7373,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
19 Solar PV,13.0,65.0,163.0,215.0,257.0,274.0,267.0,283.867,254.961,315.4785,390.1744,423.3996,486.5865,557.1805,635.0485,720.4099,802.5182,887.993,974.3051,1058.7,1138.2324,1196.6382,1242.3665,1270.7931,1284.4895,1285.4507,1271.3489,1248.5541,1220.4685,1188.3545,1155.1986,1118.9968,1083.0841,1046.5333,1011.4621,977.1087,946.0907,916.0898,888.1813,862.7758,839.1645,815.2968,795.2549,779.5872,767.2822,758.9639,755.6155,755.7468,759.6139,767.2756,778.3232
20 CSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21 Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22 Wave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23 Fuel Cells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24 CHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
