,1 Nuclear,2 Oil,3 Coal,4 Coal + CCS,5 Waste,6 Waste + CCS,7 CCGT,8 CCGT + CCS,9 OCGT,10 OCGT + CCS,11 Biomass,12 Biomass + CCS,13 Large Hydro,14 Pumped Hydro,15 Geothermal,16 Marine,17 Onshore,18 Offshore,19 Solar PV,20 CSP,21 Fuel cells / Turbine,22 Lithium-ion
1 Nuclear,0,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.36363636363636365,0.30303030303030304,0.36363636363636365,0.3367003367003367,0.36363636363636365,0.36363636363636365,0.15151515151515152,0.22172949002217293,0.22727272727272727,0.36363636363636365,0.36363636363636365,0.32085938978961254,0.27972027972027974,0.36363636363636365,0.3367003367003367,0.5050505050505051
2 Oil,0.4166666666666667,0,0.625,0.625,0.625,0.625,1,0.8333333333333334,1,0.9259259259259259,1,1,0.4166666666666667,0.6097560975609756,0.625,1,1,0.8823633219214344,0.7692307692307693,1,0.9259259259259259,1.3888888888888888
3 Coal,0.4166666666666667,0.625,0,0.625,0.625,0.625,1,0.8333333333333334,1,0.9259259259259259,1,1,0.4166666666666667,0.6097560975609756,0.625,1,1,0.8823633219214344,0.7692307692307693,1,0.9259259259259259,1.3888888888888888
4 Coal + CCS,0.5555555555555556,0.8333333333333334,0.8333333333333334,0,0.8333333333333334,0.8333333333333334,1.3333333333333333,1.1111111111111112,1.3333333333333333,1.2345679012345678,1.3333333333333333,1.3333333333333333,0.5555555555555556,0.8130081300813008,0.8333333333333334,1.3333333333333333,1.3333333333333333,1.1764844292285792,1.0256410256410258,1.3333333333333333,1.2345679012345678,1.8518518518518519
5 Waste,0.4166666666666667,0.625,0.625,0.625,0,0.625,1,0.8333333333333334,1,0.9259259259259259,1,1,0.4166666666666667,0.6097560975609756,0.625,1,1,0.8823633219214344,0.7692307692307693,1,0.9259259259259259,1.3888888888888888
6 Waste + CCS,0.4166666666666667,0.625,0.625,0.625,0.625,0,1,0.8333333333333334,1,0.9259259259259259,1,1,0.4166666666666667,0.6097560975609756,0.625,1,1,0.8823633219214344,0.7692307692307693,1,0.9259259259259259,1.3888888888888888
7 CCGT,0.5555555555555556,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,1.1111111111111112,1.3333333333333333,1.2345679012345678,1.3333333333333333,1.3333333333333333,0.5555555555555556,0.8130081300813008,0.8333333333333334,1.3333333333333333,1.3333333333333333,1.1764844292285792,1.0256410256410258,1.3333333333333333,1.2345679012345678,1.8518518518518519
8 CCGT + CCS,0.4166666666666667,0.625,0.625,0.625,0.625,0.625,1,0,1,0.9259259259259259,1,1,0.4166666666666667,0.6097560975609756,0.625,1,1,0.8823633219214344,0.7692307692307693,1,0.9259259259259259,1.3888888888888888
9 OCGT,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,2,1.6666666666666667,0,1.8518518518518519,2,2,0.8333333333333334,1.2195121951219512,1.25,2,2,1.7647266438428688,1.5384615384615385,2,1.8518518518518519,2.7777777777777777
10 OCGT + CCS,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,2,1.6666666666666667,2,0,2,2,0.8333333333333334,1.2195121951219512,1.25,2,2,1.7647266438428688,1.5384615384615385,2,1.8518518518518519,2.7777777777777777
11 Biomass,0.5555555555555556,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.3333333333333333,1.1111111111111112,1.3333333333333333,1.2345679012345678,0,1.3333333333333333,0.5555555555555556,0.8130081300813008,0.8333333333333334,1.3333333333333333,1.3333333333333333,1.1764844292285792,1.0256410256410258,1.3333333333333333,1.2345679012345678,1.8518518518518519
