,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
12 Engineering etc,244.0,229.4806,207.5104,211.4829,209.52,198.503,203.511,213.4737,225.4611,226.3604,227.2633,233.5124,241.8051,248.9228,257.2059,264.8928,268.9482,272.7872,276.7773,280.7736,284.9533,285.92,286.812,287.6425,288.541,289.4658,292.2642,295.0674,297.9238,300.8059,303.7429,305.3646,306.9679,308.5991,310.2109,311.6849,315.1762,318.3133,321.235,324.2623,327.3888,329.9569,332.5851,335.2839,338.0187,340.8033,343.6084,346.4521,349.3028,352.1743,355.1418
13 Other industry,266.0,199.8161,210.8032,192.8128,174.8378,173.8439,178.8432,224.8029,224.7924,227.6977,230.6407,233.4337,236.0393,238.9184,242.7074,246.7711,255.097,263.3234,271.2393,278.9111,286.9133,292.3286,298.1509,303.7314,308.7887,313.7414,321.7954,330.7629,340.2356,349.8494,359.0359,366.1533,373.3175,381.1089,389.3031,393.833,406.2576,416.4337,421.6825,425.9616,432.3003,438.066,444.8756,451.3748,456.0485,459.2978,462.1671,467.1211,473.358,479.3988,483.8897
14 Construction,30.0,30.0117,32.0056,33.0055,36.9926,31.9941,35.983,38.9901,36.0042,36.4697,36.9414,37.4563,37.9784,38.5179,39.0786,39.6521,40.8679,42.1163,43.3956,44.7123,46.064,46.8618,47.6901,48.5344,49.3961,50.2753,51.6282,53.0192,54.4499,55.9172,57.4204,58.586,59.7755,60.9863,62.2216,63.4976,64.7179,65.9502,67.2017,68.4788,69.7794,70.5033,71.2317,71.969,72.7136,73.4762,74.1074,74.7502,75.4077,76.074,76.7557
15 Rail transport,64.0,62.3989,62.3989,62.3766,61.3564,59.3199,59.3104,64.2937,68.2993,68.2,68.1012,71.0031,74.0798,77.2729,80.62,84.0899,85.8832,87.7085,89.5759,91.4934,93.4616,94.9542,96.4705,98.0131,99.5863,101.1858,103.2907,105.4319,107.6109,109.8417,112.1258,113.0423,113.9577,114.8737,115.8032,116.7583,118.153,119.5216,120.9234,122.3661,123.837,124.0514,124.2834,124.5294,124.761,124.9818,125.4597,125.9534,126.4487,126.9413,127.4474
16 Road transport,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2.9141,2.7551,2.6732,2.3881,2.5536,2.6788,2.8752,3.0916,3.3726,3.711,4.1041,4.6254,5.1956,5.8037,6.4513,7.2569,8.102,8.9955,9.9272,10.7969,11.7182,12.7037,13.7353,14.5848,15.4933,16.4749,17.5321,18.5807,19.7086,20.9268,22.232,23.7016,25.3329,27.1116,29.0277,31.1319,33.4458,35.993,38.7994,41.8931,45.3049,49.0685,53.2207,57.8018
17 Air transport,0.0,0.0999,0.0998,0.0998,0.0998,0.0998,0.0998,0.0999,0.0999,0.0999,0.0998,0.0998,0.0998,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0998,0.0998,0.0998,0.0998,0.0998,0.0998,0.0998,0.0998,0.0998,0.0998,0.0998,0.0998,0.0998,0.0998,0.0998,0.0998,0.0998,0.0998
18 Other transp. serv.,0.0,0.0994,0.0993,0.0993,0.0992,0.0992,0.0992,0.0992,0.0992,0.0991,0.0991,0.0991,0.0993,0.0995,0.0996,0.0998,0.0998,0.0998,0.0998,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.1,0.1,0.1,0.1001,0.1002,0.1002,0.1003,0.1004,0.1005,0.1006,0.1008,0.1009,0.1011,0.1013,0.1016,0.1018,0.1022,0.1026,0.1031
19 Households,1969.0,1842.1,1925.1,1850.1,1828.1,1678.8656,1750.1826,1756.4368,1770.96,1827.5894,1886.4863,1900.428,1913.9839,1927.1698,1940.0005,1952.4893,1953.9115,1954.8608,1955.3464,1955.3763,1954.9581,1950.6423,1945.7594,1940.3164,1934.3208,1927.7805,1933.8298,1939.4724,1944.7172,1949.5751,1954.0581,1952.6495,1950.7556,1948.3922,1945.577,1942.3312,1935.0078,1927.3127,1919.2761,1910.9293,1902.3076,1894.5725,1886.5913,1875.717,1864.7959,1853.8704,1839.6572,1825.5186,1811.495,1797.6246,1783.944
"20 Agriculture, forestry",142.0,124.9095,135.9066,129.9132,131.9046,131.8988,135.899,130.9006,129.8952,125.7524,121.7356,119.2307,116.8978,114.6029,112.424,110.2676,109.6155,108.9739,108.328,107.6724,107.0359,105.9121,104.7709,103.6486,102.5418,101.4726,101.5564,101.6148,101.6684,101.7055,101.7558,102.4856,103.2015,103.9174,104.6473,105.4387,107.1433,107.7259,109.1325,111.6528,114.1835,114.9428,115.4612,115.8208,115.9017,115.8459,116.0145,116.1948,116.4506,116.7307,117.0352
21 Fishing,0.0,0.0971,0.0972,0.0973,0.0971,0.0969,0.0966,0.0965,0.0965,0.0966,0.0966,0.0966,0.0965,0.0965,0.0964,0.0964,0.0964,0.0963,0.0962,0.096,0.096,0.0958,0.0956,0.0954,0.0952,0.095,0.0945,0.0939,0.0933,0.0927,0.092,0.0917,0.0914,0.091,0.0907,0.0904,0.0901,0.0897,0.0894,0.0892,0.0887,0.0885,0.0886,0.0887,0.0889,0.0889,0.0888,0.0886,0.0885,0.0884,0.0883
22 Other final use,1534.0,1483.5751,1534.5903,1504.5769,1500.5906,1499.5659,1516.5858,1505.5858,1564.5764,1447.1984,1338.6323,1373.489,1410.0229,1447.7395,1486.7931,1526.9043,1529.9128,1532.4459,1534.6804,1536.8125,1539.0557,1505.801,1473.2755,1441.3159,1409.9354,1379.2699,1383.6025,1388.1112,1392.7484,1397.6257,1402.8572,1418.0891,1433.7443,1449.7117,1465.9137,1482.6191,1513.5044,1545.0288,1576.8658,1608.5,1639.7748,1646.8168,1653.5968,1660.4951,1667.7316,1675.5093,1683.7401,1692.7146,1702.7075,1713.7734,1726.3358
23 Non-energy use,0.0,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999
