,1 Nuclear,2 Oil,3 Coal,4 Coal + CCS,5 IGCC,6 IGCC + CCS,7 CCGT,8 CCGT + CCS,9 Solid Biomass,10 S Biomass CCS,11 BIGCC,12 BIGCC + CCS,13 Biogas,14 Biogas + CCS,15 Tidal,16 Large Hydro,17 Onshore,18 Offshore,19 Solar PV,20 CSP,21 Geothermal,22 Wave,23 Fuel Cells,24 CHP
1 Nuclear,0,0.3571428571428572,0.3571428571428572,0.3571428571428572,0.3571428571428572,0.3571428571428572,0.4761904761904762,0.4761904761904762,0.3571428571428572,0.3571428571428572,0.3571428571428572,0.3571428571428572,0.4761904761904762,0.4761904761904762,0.1785714285714286,0.1785714285714286,0.5714285714285715,0.5714285714285715,0.4761904761904762,0.5714285714285715,0.3571428571428572,0.7142857142857143,0.7142857142857143,0.3571428571428572
2 Oil,0.4166666666666667,0,0.625,0.625,0.625,0.625,0.8333333333333334,0.8333333333333334,0.625,0.625,0.625,0.625,0.8333333333333334,0.8333333333333334,0.3125,0.3125,1,1,0.8333333333333334,1,0.625,1.25,1.25,0.625
3 Coal,0.4166666666666667,0.625,0,1,0.625,0.625,0.8333333333333334,0.8333333333333334,5,0.625,0.625,0.625,0.8333333333333334,0.8333333333333334,0.3125,0.3125,1,1,0.8333333333333334,1,0.625,1.25,1.25,0.625
4 Coal + CCS,0.4166666666666667,0.625,1,0,0.625,0.625,0.8333333333333334,0.8333333333333334,0.625,5,0.625,0.625,0.8333333333333334,0.8333333333333334,0.3125,0.3125,1,1,0.8333333333333334,1,0.625,1.25,1.25,0.625
5 IGCC,0.4166666666666667,0.625,0.625,0.625,0,1,1,0.8333333333333334,0.625,0.625,5,0.625,0.8333333333333334,0.8333333333333334,0.3125,0.3125,1,1,0.8333333333333334,1,0.625,1.25,1.25,0.625
6 IGCC + CCS,0.4166666666666667,0.625,0.625,0.625,1,0,0.8333333333333334,1,0.625,0.625,0.625,5,0.8333333333333334,0.8333333333333334,0.3125,0.3125,1,1,0.8333333333333334,1,0.625,1.25,1.25,0.625
7 CCGT,0.8333333333333334,1.25,1.25,1.25,1,1.25,0,1,1.25,1.25,1.25,1.25,5,1.666666666666667,0.625,0.625,2,2,1.666666666666667,2,1.25,2.5,2.5,1.25
8 CCGT + CCS,0.8333333333333334,1.25,1.25,1.25,1.25,1,1,0,1.25,1.25,1.25,1.25,1.666666666666667,5,0.625,0.625,2,2,1.666666666666667,2,1.25,2.5,2.5,1.25
9 Solid Biomass,0.4166666666666667,0.625,5,0.625,0.625,0.625,0.8333333333333334,0.8333333333333334,0,1,0.625,0.625,0.8333333333333334,0.8333333333333334,0.3125,0.3125,1,1,0.8333333333333334,1,0.625,1.25,1.25,0.625
10 S Biomass CCS,0.4166666666666667,0.625,0.625,5,0.625,0.625,0.8333333333333334,0.8333333333333334,1,0,0.625,0.625,0.8333333333333334,0.8333333333333334,0.3125,0.3125,1,1,0.8333333333333334,1,0.625,1.25,1.25,0.625
11 BIGCC,0.4166666666666667,0.625,0.625,0.625,5,0.625,0.8333333333333334,0.8333333333333334,0.625,0.625,0,1,0.8333333333333334,0.8333333333333334,0.3125,0.3125,1,1,0.8333333333333334,1,0.625,1.25,1.25,0.625
12 BIGCC + CCS,0.4166666666666667,0.625,0.625,0.625,0.625,5,0.8333333333333334,0.8333333333333334,0.625,0.625,1,0,0.8333333333333334,0.8333333333333334,0.3125,0.3125,1,1,0.8333333333333334,1,0.625,1.25,1.25,0.625
13 Biogas,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,5,1.666666666666667,1.25,1.25,1.25,1.25,0,1.666666666666667,0.625,0.625,2,2,1.666666666666667,2,1.25,2.5,2.5,1.25
14 Biogas + CCS,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,1.666666666666667,5,1.25,1.25,1.25,1.25,1.666666666666667,0,0.625,0.625,2,2,1.666666666666667,2,1.25,2.5,2.5,1.25
15 Tidal,0.2380952380952381,0.3571428571428572,0.3571428571428572,0.3571428571428572,0.3571428571428572,0.3571428571428572,0.4761904761904762,0.4761904761904762,0.3571428571428572,0.3571428571428572,0.3571428571428572,0.3571428571428572,0.4761904761904762,0.4761904761904762,0,0.1785714285714286,0.5714285714285715,0.5714285714285715,0.4761904761904762,0.5714285714285715,0.3571428571428572,0.7142857142857143,0.7142857142857143,0.3571428571428572
16 Large Hydro,0.2380952380952381,0.3571428571428572,0.3571428571428572,0.3571428571428572,0.3571428571428572,0.3571428571428572,0.4761904761904762,0.4761904761904762,0.3571428571428572,0.3571428571428572,0.3571428571428572,0.3571428571428572,0.4761904761904762,0.4761904761904762,0.1785714285714286,0,0.5714285714285715,0.5714285714285715,0.4761904761904762,0.5714285714285715,0.3571428571428572,0.7142857142857143,0.7142857142857143,0.3571428571428572
17 Onshore,1.666666666666667,2.5,2.5,2.5,2.5,2.5,3.333333333333333,3.333333333333333,2.5,2.5,2.5,2.5,3.333333333333333,3.333333333333333,1.25,1.25,0,4,3.333333333333333,4,2.5,5,5,2.5
18 Offshore,1.666666666666667,2.5,2.5,2.5,2.5,2.5,3.333333333333333,3.333333333333333,2.5,2.5,2.5,2.5,3.333333333333333,3.333333333333333,1.25,1.25,4,0,1.666666666666667,4,2.5,5,5,2.5
19 Solar PV,1.666666666666667,2.5,2.5,2.5,2.5,2.5,3.333333333333333,3.333333333333333,2.5,2.5,2.5,2.5,3.333333333333333,3.333333333333333,1.25,1.25,4,4,0,4,2.5,5,5,2.5
20 CSP,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,1.666666666666667,1.666666666666667,1.25,1.25,1.25,1.25,1.666666666666667,1.666666666666667,0.625,0.625,2,2,1.666666666666667,0,1.25,2.5,2.5,1.25
21 Geothermal,0.4166666666666667,0.625,0.625,0.625,0.625,0.625,0.8333333333333334,0.8333333333333334,0.625,0.625,0.625,0.625,0.8333333333333334,0.8333333333333334,0.3125,0.3125,1,1,0.8333333333333334,1,0,1.25,1.25,0.625
22 Wave,1.666666666666667,2.5,2.5,2.5,2.5,2.5,3.333333333333333,3.333333333333333,2.5,2.5,2.5,2.5,3.333333333333333,3.333333333333333,1.25,1.25,4,4,3.333333333333333,4,2.5,0,5,2.5
23 Fuel Cells,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,1.666666666666667,1.666666666666667,1.25,1.25,1.25,1.25,1.666666666666667,1.666666666666667,0.625,0.625,2,2,1.666666666666667,2,1.25,2.5,0,1.25
