,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
12 BIGCC + CCS,0.0,0.0,0.0,0.0,0.0,0.0002,0.0003,0.0004,0.0005,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0005,0.0005
13 Biogas,0.0,0.0,0.0184,0.0184,0.0181,0.0175,0.0154,0.0133,0.0122,0.0112,0.0101,0.0091,0.0096,0.0101,0.0105,0.0108,0.0111,0.0113,0.0115,0.0116,0.0117,0.0118,0.0118,0.0119,0.0119,0.0119,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.0121,0.0121,0.0121,0.0122,0.0123,0.0124,0.0125,0.0127,0.0128,0.013,0.0131,0.0133,0.0135,0.0137
14 Biogas + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15 Tidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16 Large Hydro,0.0,0.0,0.0023,0.0026,0.0023,0.0019,0.0018,0.0011,0.0012,0.001,0.0009,0.0008,0.0008,0.0008,0.0008,0.0008,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0005,0.0005,0.0005
17 Onshore,0.0,0.0,0.0646,0.0751,0.0918,0.076,0.0831,0.0803,0.0877,0.1085,0.1078,0.1288,0.1267,0.1218,0.1149,0.1064,0.0966,0.0864,0.0767,0.0679,0.0604,0.0541,0.0489,0.0446,0.0411,0.0382,0.0358,0.0338,0.0321,0.0307,0.0294,0.0284,0.0275,0.0267,0.0259,0.0253,0.0247,0.0243,0.0238,0.0234,0.0231,0.0228,0.0225,0.0221,0.0218,0.0215,0.0212,0.0209,0.0206,0.0204,0.0201
18 Offshore,0.0,0.0,0.008,0.0088,0.0082,0.0113,0.0214,0.0336,0.0319,0.0295,0.0638,0.0593,0.0691,0.0789,0.0881,0.0959,0.1018,0.1053,0.1064,0.1055,0.103,0.0994,0.0952,0.0909,0.0866,0.0825,0.0787,0.0752,0.0721,0.0692,0.0667,0.0645,0.0624,0.0607,0.0591,0.0577,0.0564,0.0554,0.0544,0.0536,0.0529,0.0522,0.0516,0.0509,0.0504,0.0498,0.0493,0.0487,0.0482,0.0476,0.0471
19 Solar PV,0.0,0.0,0.0082,0.0197,0.0335,0.0471,0.0644,0.0845,0.137,0.2224,0.2838,0.3435,0.3683,0.3981,0.4295,0.4618,0.4941,0.5254,0.5548,0.5821,0.6069,0.6293,0.6492,0.6669,0.6825,0.6963,0.7085,0.7192,0.7287,0.7371,0.7447,0.7514,0.7574,0.7628,0.7677,0.7722,0.7762,0.7798,0.7831,0.786,0.7886,0.791,0.7933,0.7953,0.7972,0.799,0.8007,0.8023,0.8038,0.8053,0.8068
20 CSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21 Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22 Wave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23 Fuel Cells,0.0,0.0,0.0008,0.0008,0.0009,0.0008,0.0007,0.0006,0.0005,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
24 CHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
