,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
12 Engineering etc,2020.0,1772.4708,1763.4812,1748.5092,1690.4689,1690.4709,1747.4762,1737.4668,1741.462,1715.3956,1689.7191,1677.3014,1666.8881,1656.2576,1646.2506,1635.4316,1643.4204,1650.8599,1658.5367,1666.0753,1674.3274,1713.4728,1750.3413,1789.7146,1830.9786,1874.5342,1889.3879,1904.9314,1919.8092,1937.3781,1951.8723,1979.087,2006.5403,2034.6322,2063.0237,2091.5923,2123.6577,2156.4141,2190.4915,2224.5574,2258.5647,2290.843,2324.2202,2358.2407,2392.7419,2426.8672,2462.1638,2496.4929,2531.6902,2566.8376,2609.1055
13 Other industry,484.9999,1160.7024,1259.6799,1252.6776,1194.6757,1214.6909,1243.7155,1245.7183,1203.7405,1178.092,1152.9907,1140.4564,1125.225,1111.2052,1098.6422,1085.718,1091.754,1096.7833,1101.2883,1106.1903,1111.5847,1149.0267,1186.905,1226.1537,1266.2122,1308.3457,1327.0834,1347.1384,1366.5253,1386.1525,1406.0403,1422.2677,1437.6049,1453.5453,1470.2139,1486.8318,1506.3596,1528.24,1551.3976,1575.7526,1599.2224,1609.3676,1619.1078,1630.426,1640.3673,1649.8711,1659.36,1668.7297,1675.7245,1683.1073,1694.5004
14 Construction,187.0,652.7234,680.7075,679.7114,605.7344,585.752,589.7578,584.7557,600.759,587.9386,575.3914,569.9852,561.6928,554.2933,546.9363,539.0438,540.7446,542.6917,544.9989,547.974,551.225,570.3969,590.3815,611.3666,632.4508,654.1454,663.3185,672.6953,681.2588,689.8013,698.9167,706.535,713.7386,721.6734,730.0582,738.0641,747.6364,758.5542,769.5135,780.7809,791.0566,795.5795,799.8573,804.8497,807.8209,810.5421,813.4815,817.2593,820.5831,825.6799,834.0228
15 Rail transport,863.0,840.2088,852.2004,861.1971,839.1782,850.1918,832.1699,831.1775,792.169,703.8563,625.3797,703.3735,791.4634,890.1432,1001.2623,1126.0594,1136.6671,1147.2882,1158.1738,1169.0643,1180.2504,1189.7826,1199.2629,1208.9915,1218.8651,1228.7904,1238.0547,1247.2903,1256.6327,1266.1121,1275.4863,1280.4064,1285.2958,1290.2021,1295.1575,1300.1029,1304.4845,1308.9082,1313.3942,1317.9307,1322.3749,1321.679,1321.0898,1320.399,1319.7515,1318.9291,1318.7845,1318.4415,1318.1989,1317.822,1318.0789
16 Road transport,0.0,2.1,8.3387,13.3353,12.8507,19.8515,33.0512,40.7293,49.8297,61.0474,66.7805,85.3749,105.1961,129.7482,161.6365,201.3904,250.9823,312.8954,394.4215,496.9222,625.5073,786.2027,978.4847,1214.636,1502.8168,1851.4999,2272.7559,2773.8013,3362.8435,4046.9775,4821.8047,5691.9854,6653.4238,7697.1318,8784.7861,9915.002,11065.8643,12208.4795,13302.6934,14346.4111,15319.9561,16201.1934,16989.0684,17680.1016,18275.4805,18780.2402,19202.1523,19550.5664,19835.4199,20066.4902,20252.8262
17 Air transport,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999
18 Other transp. serv.,89.991,86.9488,88.9438,87.9423,82.9456,83.9429,81.9487,83.9531,74.9764,74.9711,74.9657,74.9608,74.9641,74.9736,74.9934,75.0114,75.0101,74.9996,74.9841,74.9684,74.9573,74.9495,74.9345,74.9224,74.9136,74.9086,74.9073,74.9125,74.9202,74.9291,74.9369,74.9453,74.955,74.9681,74.9867,75.0053,75.0263,75.0555,75.0855,75.1104,75.1288,75.1523,75.1661,75.1764,75.1775,75.172,75.1618,75.1437,75.1283,75.1126,75.1112
19 Households,13888.0,12577.0996,13601.0996,14285.0996,12814.0996,12306.0264,12606.1113,12524.0732,12498.4619,12668.3398,12843.082,12555.3359,12271.2871,11990.7852,11713.6963,11439.9131,11344.3838,11246.9502,11147.7246,11046.8486,10944.4883,10812.9707,10681.3701,10549.8633,10418.6543,10287.9668,10177.6943,10067.3379,9957.2988,9847.9727,9739.75,9616.8193,9495.7539,9376.8789,9260.4883,9146.8486,9023.6221,8903.6553,8787.0996,8674.0664,8564.6201,8515.1699,8467.8496,8412.4941,8359.7617,8309.5879,8273.8096,8240.3701,8209.1338,8179.9521,8152.6636
"20 Agriculture, forestry",655.0001,688.9216,714.9089,739.9126,684.9243,740.9108,741.9055,742.9014,717.9096,705.1509,692.6188,694.6375,696.9108,699.3773,701.7977,704.1503,727.2976,751.0768,775.4763,800.6872,826.7163,845.9322,865.8214,886.2167,907.1315,928.5455,930.4586,932.4666,934.5818,936.7864,939.0849,941.5546,944.1426,946.7803,949.5742,952.3206,954.4803,956.606,958.6572,960.8507,962.9896,961.4486,959.8235,958.0193,956.3091,954.5503,954.084,953.5031,952.761,951.9169,951.1578
21 Fishing,11.0,17.0468,17.0483,17.041,17.0423,16.0421,17.037,17.0449,17.0393,16.7338,16.4335,16.5088,16.5272,16.5898,16.6464,16.7113,17.2532,17.8032,18.3622,18.9422,19.5384,19.9828,20.4387,20.9093,21.3849,21.8814,21.9141,21.9516,21.9802,22.013,22.0524,22.0987,22.1452,22.1956,22.2537,22.3043,22.3513,22.4043,22.4623,22.5209,22.5789,22.5311,22.4706,22.4141,22.3468,22.2829,22.269,22.2622,22.2464,22.2341,22.2098
22 Other final use,12670.0,11737.54,12263.5508,12284.5654,11754.543,12054.5498,12078.5439,12035.5537,11969.5498,11610.708,11262.625,11588.4619,11900.2949,12228.8857,12565.5283,12914.1299,13298.6826,13693.1963,14100.2021,14518.7168,14948.2539,15045.0605,15139.998,15237.1982,15330.749,15427.2988,15460.6152,15497.4824,15531.0605,15565.2715,15602.3896,15634.3711,15664.7861,15697.7266,15730.5557,15758.7656,15803.5381,15849.3965,15892.3496,15936.6797,15988.126,15944.6992,15885.6211,15833.8584,15781.9824,15738.2773,15676.4912,15625.4512,15572.5264,15525.9014,15420.8066
23 Non-energy use,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999,0.0999
