,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
12 BIGCC + CCS,0.0,0.0,0.0,373.8834,373.8834,266.5855,266.4187,267.6195,267.8814,266.424,264.8206,263.8367,262.7603,261.793,260.8631,260.0582,259.2894,258.6668,258.0681,257.6042,257.2632,256.9539,256.7263,256.5445,256.4647,256.331,256.4182,256.5951,256.8089,257.2101,257.5926,258.1987,258.7816,259.5909,260.1965,261.0182,262.0143,263.0136,263.8918,264.9838,266.1597,266.8734,267.2978,267.9774,268.7235,269.4397,270.0434,270.4615,271.1227,271.8889,272.5244
13 Biogas,0.0,0.0,0.0,172.0467,172.0467,172.0467,172.0467,172.0467,172.0467,40535.7891,40316.1758,40188.6484,40038.3906,39888.4414,39750.3125,39613.457,39479.6055,39348.6328,39221.1836,39095.793,38971.8086,38858.7227,38749.1875,38641.168,38533.8711,38427.8125,38324.457,38221.832,38119.0,38016.3633,37914.4062,37811.4531,37709.5195,37608.9414,37509.8125,37412.4805,37315.6055,37220.2969,37126.6328,37034.6602,36944.0859,36858.7617,36776.125,36695.7578,36617.3594,36540.9648,36467.0078,36394.7266,36323.8984,36254.207,36185.3125
14 Biogas + CCS,0.0,0.0,0.0,226.6953,226.6953,226.6953,226.6953,226.6953,226.6953,55315.3828,54817.1758,54511.3359,54211.3906,53911.0664,53629.543,53352.8555,53083.2305,52819.4414,52562.3164,52309.4258,52059.7656,51833.6211,51614.0117,51397.875,51184.0977,50973.5938,50771.793,50572.3828,50374.1875,50177.5742,49983.1992,49789.2617,49598.6992,49411.8633,49228.4336,49049.5977,48872.7383,48699.0195,48528.6133,48361.4453,48197.0,48040.5156,47888.1953,47739.5156,47593.7344,47450.9492,47311.7852,47174.9922,47040.457,46907.3047,46775.2891
15 Tidal,0.0,0.0,0.0,428.9084,428.9084,428.9084,428.9084,428.9084,428.9084,41810.0078,41750.25,41729.3008,41707.793,41681.832,41655.6484,41629.6055,41602.5234,41576.1914,41550.1641,41524.1328,41497.7969,41474.332,41450.6953,41426.707,41402.2539,41377.4492,41353.9961,41330.1758,41305.8477,41281.0352,41255.6641,41230.2383,41204.6445,41178.7305,41152.625,41126.4648,41100.0898,41073.8047,41047.8086,41022.125,40996.6641,40972.1758,40947.832,40923.6992,40899.5781,40875.4531,40851.2188,40826.8086,40802.3594,40777.5469,40752.5703
16 Large Hydro,0.0,0.0,0.0,89.8026,172.8188,173.1219,168.4775,170.0768,172.9178,171.2567,171.7125,171.5313,171.8286,172.1303,172.4358,172.7597,173.2417,173.7898,174.4018,175.0706,175.8085,176.5949,177.4529,178.4012,179.3713,180.4284,181.6124,182.9196,184.3746,186.0382,187.8626,189.7276,191.4935,193.4765,195.4487,197.6303,199.5757,200.6835,201.8868,203.1676,204.537,206.0634,207.6554,209.2872,210.9125,212.5203,214.104,215.6718,217.2196,218.6908,220.0595
17 Onshore,0.0,0.0,0.0,121.2549,121.2549,130.7679,132.7623,130.1198,131.159,130.8644,140.7149,141.026,141.4328,141.9597,142.5817,143.2855,144.0592,144.8777,145.7233,146.5698,147.3889,148.1887,148.948,149.6615,150.3157,150.9039,151.4235,151.8687,152.2383,152.5323,152.7515,152.8994,152.9806,153.0038,145.2458,144.7657,144.6399,144.4811,144.5638,144.3854,144.1779,143.9686,143.7621,143.7908,143.6254,143.4543,143.3003,143.3647,143.2671,143.1678,143.0875
18 Offshore,0.0,0.0,0.0,171.4695,171.4695,180.9825,182.9769,180.3343,181.3736,178.6983,177.0014,176.468,176.0497,175.8602,175.8687,176.0325,176.3211,176.6968,177.1427,177.6267,178.1116,178.6257,179.1329,179.6247,180.073,180.4706,180.8149,181.0954,181.307,181.4496,181.5231,181.5301,181.4757,181.3672,181.2024,180.5824,180.3232,180.0354,179.7276,179.4293,179.1057,178.7858,178.4717,178.1685,177.9015,177.6305,177.3787,177.1461,176.9536,176.7603,176.5867
19 Solar PV,0.0,0.0,0.0,110.4965,110.4965,143.5126,143.5661,143.1208,143.1936,139.0816,146.1039,144.1555,142.1899,140.3218,138.585,136.9363,135.4156,133.9862,132.6594,131.4286,130.2948,129.315,128.4417,127.6605,126.9612,126.3347,125.7856,125.2821,124.8105,124.3585,123.9152,123.4721,123.0269,122.5807,122.1309,121.1905,120.6899,120.1866,119.6853,119.2139,118.7289,118.2613,117.8097,117.3772,116.9883,116.5983,116.2319,115.8879,115.5907,115.2924,115.0158
20 CSP,0.0,0.0,0.0,148.0805,148.0805,148.0805,148.0805,148.0805,148.0805,72269.1406,69948.6016,68421.75,66894.5859,65407.668,63993.0273,62614.5898,61303.9805,60032.043,58820.0195,57640.0078,56515.0078,55490.5664,54520.2539,53611.6914,52753.3711,51944.3555,51198.3789,50489.0781,49821.9258,49187.7773,48583.457,48005.5117,47455.8516,46936.3984,46445.2227,45974.7969,45523.5,45090.4883,44675.1406,44276.1562,43891.1367,43525.5391,43172.6719,42831.7266,42500.1484,42178.0977,41866.0625,41561.5039,41265.3984,40974.4219,40689.3047
21 Geothermal,0.0,0.0,0.0,123.2653,123.2653,123.2653,123.2653,123.2653,123.2653,90506.9375,90262.5234,90120.7344,90020.6562,89916.4453,89814.5156,89714.0078,89614.2812,89515.5234,89419.3125,89326.0703,89235.0156,89149.5859,89067.6875,88987.7812,88910.7422,88834.7031,88759.7812,88685.3828,88610.5859,88535.4688,88460.0156,88383.9844,88308.1953,88233.2734,88159.6172,88088.0781,88016.8359,87945.7812,87874.5703,87803.1406,87731.375,87660.1172,87588.6953,87517.6094,87446.7109,87376.5156,87306.9844,87237.5391,87168.625,87100.2344,87032.4453
22 Wave,0.0,0.0,0.0,236.7057,236.7057,246.2187,248.2131,245.5705,246.6098,66971.6641,66972.4609,66973.2812,66974.2266,66975.2188,66976.2812,66977.3906,66978.5156,66979.6953,66980.8203,66981.9453,66983.0469,66984.0781,66985.0547,66985.9766,66986.7812,66987.5547,66988.2344,66988.8438,66989.3516,66989.7578,66990.1328,66990.4219,66990.625,66990.7578,66990.8594,66990.4531,66990.4219,66990.3516,66990.2266,66990.1328,66990.0,66989.8672,66989.7344,66989.5938,66989.5078,66989.3828,66989.2891,66989.2266,66989.1875,66989.1641,66989.1406
23 Fuel Cells,0.0,0.0,0.0,20070.9883,20070.9883,20070.9883,20070.9883,20071.998,20072.1738,80580.6328,78673.1875,77627.125,76709.6875,75905.7422,75171.9297,74488.6172,73842.75,73238.3125,72672.9297,72139.0547,71634.0625,71187.2266,70765.4453,70362.0234,69974.4844,69603.9141,69249.7891,68909.1797,68579.3672,68259.3672,67948.6406,67640.4609,67340.0391,67047.375,66761.1719,66482.5391,66206.4453,65937.0781,65674.0547,65418.2188,65167.9727,64934.5625,64709.3555,64491.0156,64278.8281,64072.6445,63872.8242,63678.0352,63487.6758,63301.1914,63118.1562
24 CHP,0.0,0.0,0.0,113.6191,113.6191,113.6191,113.6191,114.6275,114.8019,26368.2812,26368.3496,26368.459,26368.5645,26368.6602,26368.7578,26368.8555,26368.918,26369.0078,26369.0664,26369.1641,26369.248,26369.3066,26369.3828,26369.4609,26369.5293,26369.625,26369.6738,26369.7559,26369.8203,26369.8984,26369.9766,26370.043,26370.1289,26370.1973,26370.2871,26370.377,26370.459,26370.5488,26370.6465,26370.752,26370.8379,26370.9473,26371.0566,26371.1719,26371.2949,26371.4219,26371.543,26371.6758,26371.8184,26371.9531,26372.0977
