,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
12 BIGCC + CCS,0.0,0.0,0.0,292.6155,292.6155,292.6155,292.6155,292.6155,292.6155,279.488,271.37,267.5459,263.0764,258.7737,254.7063,250.735,247.0013,243.4163,239.9657,236.6731,233.488,230.8818,228.5275,226.2634,224.0854,221.9772,219.9952,218.0727,216.2018,214.3796,212.5962,210.8282,209.0828,207.3537,205.6604,203.9667,202.2594,200.5839,198.8724,197.187,195.486,195.8298,196.1679,196.506,196.8422,197.175,197.5047,197.8266,198.1427,198.4476,198.7423
13 Biogas,0.0,0.0,0.0,208.8838,208.8838,208.8838,208.8838,208.8838,208.8838,205.2292,199.8535,197.548,194.7238,192.5106,190.4057,188.4743,186.6741,185.012,183.453,181.9946,180.6258,179.4514,178.3409,177.3177,176.3562,175.4559,174.6203,173.8183,173.0445,172.2973,171.5739,170.8636,170.1749,169.5018,168.8466,168.2046,167.5732,166.9548,166.3475,165.7512,165.1639,164.6027,164.0556,163.5234,163.0002,162.4888,161.988,161.4962,161.0104,160.535,160.0683
14 Biogas + CCS,0.0,0.0,0.0,262.9052,262.9052,262.9052,262.9052,262.9052,262.9052,259.0892,257.8845,257.5103,257.2186,256.9162,256.6201,256.291,255.9529,255.604,255.238,254.8647,254.4684,254.184,253.9428,253.6983,253.4498,253.1918,252.9321,252.6645,252.3892,252.1092,251.8248,251.5297,251.2252,250.9127,250.5997,250.2749,249.9347,249.5968,249.2358,248.8756,248.5025,248.9012,249.2909,249.6719,250.0462,250.4135,250.7733,251.1253,251.47,251.8067,252.1356
15 Tidal,0.0,0.0,0.0,329.8524,329.8524,329.8524,329.8524,338.548,338.548,337.8648,336.7279,336.3265,335.6189,334.9008,334.1869,333.4674,332.7285,331.9837,331.2204,330.4373,329.6426,328.8968,328.181,327.4938,326.8485,326.234,325.6697,325.1247,324.595,324.0866,323.6002,323.141,322.7267,322.3801,322.0741,321.7915,321.5156,321.2272,320.9516,320.677,320.4095,320.1527,319.9089,319.6709,319.4388,319.2164,318.9958,318.7814,318.5519,318.3573,318.1818
16 Large Hydro,0.0,0.0,0.0,112.9381,146.1659,138.1969,146.384,135.5975,142.1332,142.5733,143.3592,141.8704,141.5797,141.2685,140.9537,140.6181,140.1441,139.6575,139.1584,138.6721,138.1037,137.6784,137.3618,137.1231,136.9746,136.8793,136.8098,136.7714,136.7497,136.7568,136.7744,136.8282,136.8807,136.9508,137.0201,137.1077,137.1631,137.2238,137.28,137.3329,137.3865,137.4376,137.4809,137.5201,137.5426,137.5724,137.5745,137.5783,137.5715,137.5519,137.5287
17 Onshore,0.0,0.0,0.0,117.1551,128.8397,131.2331,130.6917,131.447,133.1023,112.4977,106.1499,102.7752,100.6789,98.6181,97.2446,96.4105,95.8984,95.8455,95.8823,96.0618,96.4843,97.1787,97.8642,98.2623,98.1072,97.6037,96.8182,95.9228,95.0413,94.1988,93.4497,92.8024,92.2641,91.7707,91.3751,90.9786,90.595,90.2374,89.9061,89.5892,89.3005,89.0061,88.717,88.4389,88.1614,87.8825,87.6036,87.324,87.0492,86.7934,86.5186
18 Offshore,0.0,0.0,0.0,117.1255,116.9354,117.9425,118.0369,117.93,117.937,104.29,99.6757,93.4519,90.7712,87.9476,85.5596,83.5237,82.0219,81.1199,80.8395,81.134,82.0961,83.7237,85.6809,87.5404,88.9674,90.0186,90.7474,91.2219,91.5364,91.7079,91.8076,91.8034,91.7702,91.6747,91.5539,91.3899,91.1997,90.9875,90.7687,90.5483,90.3096,90.0752,89.8307,89.5867,89.3419,89.0834,88.8317,88.5722,88.3194,88.0629,87.8118
19 Solar PV,0.0,0.0,0.0,117.9618,121.6561,122.7664,122.6971,122.8505,122.8919,103.993,115.0412,187.1869,93.0027,94.4905,90.5906,87.4766,84.7144,82.2951,80.3501,78.7587,77.7342,77.4651,77.7722,78.4222,79.0257,79.5573,79.951,80.2386,80.4378,80.5166,80.5533,80.4997,80.4398,80.3247,80.196,80.0255,79.8384,79.6242,79.4102,79.1986,78.9658,78.7323,78.4893,78.2452,78.0048,77.7397,77.4859,77.2176,76.9577,76.6955,76.4375
20 CSP,0.0,0.0,0.0,193.8061,227.0741,227.2377,227.2959,227.4593,227.4898,194.5236,188.0267,183.0564,180.444,177.9874,175.5779,173.2854,171.216,169.3531,167.7659,166.433,165.3289,164.6111,164.0358,163.5689,163.1342,162.7528,162.3733,161.9715,161.5685,161.141,160.7447,160.3766,160.0644,159.7463,159.4659,159.1857,158.8559,158.5008,158.1602,157.8291,157.4708,157.1016,156.7101,156.3076,155.8942,155.426,154.9394,154.4071,153.8753,153.3305,152.773
21 Geothermal,0.0,0.0,0.0,126.7538,1602.701,1602.701,1602.701,1602.701,1602.701,1602.5758,1602.3837,1602.2584,1602.1537,1602.0452,1601.9333,1601.8195,1601.699,1601.5764,1601.4524,1601.3303,1601.2092,1601.1012,1600.9983,1600.9034,1600.8175,1600.7367,1600.6604,1600.5879,1600.5175,1600.4498,1600.3846,1600.3207,1600.259,1600.1984,1600.1411,1600.0858,1600.0333,1599.9843,1599.9349,1599.8883,1599.8425,1599.8002,1599.7574,1599.7162,1599.6768,1599.6383,1599.6002,1599.564,1599.5277,1599.4927,1599.4578
22 Wave,0.0,0.0,0.0,398.0768,399.2606,401.462,402.4857,403.8757,405.1016,406.4069,407.7712,409.1908,410.9811,412.3976,413.8769,415.3463,416.8269,418.2654,419.9078,422.0279,424.8298,428.3655,432.3735,436.5147,440.4475,444.295,448.1178,451.8253,455.4524,459.0468,462.6756,466.2834,469.9429,473.6111,477.325,481.0572,484.8412,488.6665,492.5525,496.5034,500.504,504.5674,508.6884,512.8723,517.1261,521.4256,525.8004,530.231,534.731,539.2968,543.9317
23 Fuel Cells,0.0,0.0,0.0,10103.8223,10103.8223,10103.8223,10103.8223,10104.833,10105.0059,10101.6123,10094.4629,10091.2354,10088.4297,10085.9619,10083.6611,10081.5215,10079.374,10077.4561,10075.79,10074.3057,10073.0938,10072.0234,10071.0557,10070.1924,10069.4209,10068.7422,10068.1377,10067.6016,10067.1357,10066.7393,10066.3857,10066.0898,10065.8496,10065.666,10065.5283,10065.4297,10065.3809,10065.334,10065.3301,10065.3389,10065.3955,10064.7295,10064.0908,10063.4756,10062.8828,10062.3066,10061.751,10061.2168,10060.6934,10060.1982,10059.7227
24 CHP,0.0,0.0,0.0,140.226,140.226,140.226,140.226,141.2345,141.4089,145.0076,146.1776,146.5849,146.9184,147.2579,147.5881,147.949,148.2954,148.6601,149.0475,149.4272,149.8476,150.134,150.3793,150.6278,150.8801,151.1437,151.4056,151.6768,151.9589,152.2627,152.5715,152.8957,153.2373,153.5945,153.9583,154.3386,154.7462,155.1432,155.5647,155.9782,156.4263,156.135,155.8538,155.5808,155.3159,155.0595,154.8109,154.5717,154.3411,154.1199,153.908
