,1 Carbon Costs ($/MWh),2 std ($/MWh),3 Investment ($/kW),4 std ($/MWh),5 Fuel ($/MWh),6 std ($/MWh),7 O&M ($/MWh),8 std ($/MWh),9 Lifetime (years),10 Lead Time (years),11 Decision Load Factor,12 Type (0;1;2;3),13 Efficiency (%),14 Resource (%),15 Emissions (tCO2/GWh),16 Learning exp,17 Discount Rate (%),18 Variable (0 or 1),19 Flexible (0 or 1),20 Baseload (0 or 1),21 Storage,22 Gamma,23 Value factor
1 Nuclear,0,0,3487.201,1394.88,9.098,3.639,27.493,10.997,30,8,0.95,1,1,1,0,-0.0862010350493039,0.075,0,0,1,0,0.04,1
2 Oil,0,0,2084,833.6,61.293,24.517,17.16,6.864,40,4,0.85,1,0.45,0.272616577445414,751.849659257691,-0.014499569695115,0.075,0,1,0,0,0.07,1
3 Coal,0,0,1094.629,437.852,30.319,12.127,27.061,10.824,40,4,0.85,1,0.36,0.416820041988634,760,-0.043943347587597,0.11,0,0,1,0,-0.46,1
4 Coal + CCS,0,0,1556.255,133.992,26.771,10.708,29.637,1.858,40,4,0.85,1,0.35,0.367198608418558,76,-0.0740005814437769,0.11,0,0,1,0,0.03,1
5 Waste,0,0,1610.231,644.092,76.276,30.51,20.542,7.083,40,4,0.85,2,0.25,0.310115865758023,0,-0.0740005814437769,0.075,0,0,1,0,0.03,1
6 Waste + CCS,0,0,4676.529,1416.079,122.041,48.816,32.867,11.333,40,4,0.85,2,0.15,0.273197310310639,0,-0.104697378666693,0.075,0,0,1,0,0,1
7 CCGT,0,0,750,300,58.109,23.244,9.741,5.928,25,2,0.85,1,0.565,0.513210825557584,370,-0.0588936890535685,0.11,0,1,0,0,-0.49,1.15
8 CCGT + CCS,0,0,1258.739,37.762,64.101,25.64,22.863,8.628,30,2,0.85,1,0.448,0.423173838617657,37,-0.0740005814437769,0.11,0,1,0,0,0.04,1.15
9 OCGT,0,0,393.71,252.753,88.031,35.212,33.499,13.53,26,2,0,1,0.36,0.4,370,-0.0588936890535685,0.113,0,1,0,0,0,1.15
10 OCGT + CCS,0,0,1237.465,371.239,94.674,37.87,59.926,19.035,27,2,0,1,0.324,0.36,37,-0.0740005814437769,0.113,0,1,0,0,0,1.15
11 Biomass,0,0,955.864,382.345,60.791,24.316,2.6,1.04,25,2,0.85,2,0.32,0.310115865758023,0,-0.0740005814437769,0.075,0,0,1,0,-0.34,1
12 Biomass + CCS,0,0,1529.382,611.753,97.266,38.906,4.16,1.664,25,2,0.85,2,0.3,0.273197310310639,-980.756756756756,-0.104697378666693,0.075,0,0,1,0,0.06,1
13 Large Hydro,0,0,1585.672,634.269,0,0,13.364,5.346,55,5,0.4,4,1,1,0,-0.0203404482841755,0.075,0,1,0,0,0.06,1.15
14 Pumped Hydro,0,0,2968.154,1013.523,0,0,55.507,9.788,46,6,0,5,0.75,0.75,0,-0.2,0.075,0,0,0,1,0.05,1.15
15 Geothermal,0,0,4221.469,1279.739,0,0,16.296,8.391,40,2,0.85,3,1,1,0,-0.0740005814437769,0.075,0,0,1,0,0,1
16 Marine,0,0,9443,3777.2,0,0,60,20,25,2,0,3,1,1,0,-0.084,0.075,0,0,1,0,0,1
17 Onshore,0,0,1208,483.2,0,0,12.995,5.198,27.5,1,0.265,0,1,1,0,-0.194,0.084,1,0,0,0,-0.24,0.85
18 Offshore,0,0,5760.983,2304.393,0,0,18,7.2,26,3,0.39,0,1,1,0,-0.194,0.075,1,0,0,0,-0.11,0.9
19 Solar PV,0,0,711,284.4,0,0,3.221,1.492,34,1,0.16,0,1,1,0,-0.319,0.07,1,0,0,0,-0.18,0.85
20 CSP,0,0,5875.847,1982.387,0,0,18,7.2,25,2,0.32,0,0.2,0.2,0,-0.194,0.075,0,0,1,0,0.03,1
21 Fuel cells / Turbine,0,0,790.512,23.715,9999,0,12.331,7.411,27,2,0.85,5,0.57,0.720295895519417,359.295311277135,-0.071,0.11,0,0,0,1,0,1
22 Lithium-ion,0,0,947.529,379.012,0,0,43.094,7.182,18,1,0,5,0.917,1,0,-0.168,0.075,0,0,0,1,0,1
