Technology,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,0.0,0.0,0.0,3.8421,3.8421,3.8421,3.8421,3.8421,3.8421,11.6634,14.7544,15.501,16.1378,20.048662305415387,21.76161640722052,23.552070509025647,25.36972461083078,27.190378712635912,29.04343281444104,30.905886916246168,32.815641018051295,34.48549511985643,36.071749221661555,37.66170332346668,39.261057425271815,40.88591152707694,41.43321152707695,41.99271152707695,42.581811527076944,43.179911527076946,43.78851152707695,44.43591152707695,45.104111527076945,45.826711527076945,46.51581152707695,47.208311527076944,47.906511527076944,48.59391152707694,49.32071152707695,50.046111527076945,50.797811527076945,49.91741152707695,49.052911527076944,48.213011527076944,47.39321152707694,46.582711527076945,45.785211527076946,45.01171152707694,44.261611527076944,43.53891152707695,42.84111152707695
3 Coal,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,15.487,19.5914,20.5826,21.4282,26.62112810930426,28.895704145739014,31.273080182173768,33.68665621860852,36.10413225504327,38.564608291478024,41.037784327912775,43.573560364347536,45.79083640078228,47.89711243721703,50.00828847365179,52.131864510086544,54.289540546521295,55.016240546521296,55.759140546521294,56.5413405465213,57.3354405465213,58.14374054652129,59.0032405465213,59.890540546521294,60.85004054652129,61.76504054652129,62.6845405465213,63.61164054652129,64.5244405465213,65.4893405465213,66.4526405465213,67.45084054652129,66.28174054652129,65.1339405465213,64.0186405465213,62.9300405465213,61.8538405465213,60.794940546521296,59.76784054652129,58.7718405465213,57.812240546521295,56.885640546521294
4 Coal + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.5487,1.9591,2.0583,2.1428,2.6620828109304258,2.8896104145739008,3.1273380182173764,3.3686656218608517,3.6103932255043274,3.8564208291478024,4.103748432791278,4.357376036434753,4.579103640078229,4.789731243721704,5.000858847365179,5.213186451008655,5.428914054652129,5.501614054652129,5.575914054652129,5.65411405465213,5.7335140546521295,5.814414054652129,5.90031405465213,5.989014054652129,6.085014054652129,6.176514054652129,6.26841405465213,6.361114054652129,6.452414054652129,6.54891405465213,6.645314054652129,6.745114054652129,6.62821405465213,6.513414054652129,6.40191405465213,6.293014054652129,6.18541405465213,6.07951405465213,5.976814054652129,5.8772140546521285,5.781214054652129,5.688614054652129
5 IGCC,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,15.487,19.5914,20.5826,21.4282,26.62112810930426,28.895704145739014,31.273080182173768,33.68665621860852,36.10413225504327,38.564608291478024,41.037784327912775,43.573560364347536,45.79083640078228,47.89711243721703,50.00828847365179,52.131864510086544,54.289540546521295,55.016240546521296,55.759140546521294,56.5413405465213,57.3354405465213,58.14374054652129,59.0032405465213,59.890540546521294,60.85004054652129,61.76504054652129,62.6845405465213,63.61164054652129,64.5244405465213,65.4893405465213,66.4526405465213,67.45084054652129,66.28174054652129,65.1339405465213,64.0186405465213,62.9300405465213,61.8538405465213,60.794940546521296,59.76784054652129,58.7718405465213,57.812240546521295,56.885640546521294
6 IGCC + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.5487,1.9591,2.0583,2.1428,2.6620828109304258,2.8896104145739008,3.1273380182173764,3.3686656218608517,3.6103932255043274,3.8564208291478024,4.103748432791278,4.357376036434753,4.579103640078229,4.789731243721704,5.000858847365179,5.213186451008655,5.428914054652129,5.501614054652129,5.575914054652129,5.65411405465213,5.7335140546521295,5.814414054652129,5.90031405465213,5.989014054652129,6.085014054652129,6.176514054652129,6.26841405465213,6.361114054652129,6.452414054652129,6.54891405465213,6.645314054652129,6.745114054652129,6.62821405465213,6.513414054652129,6.40191405465213,6.293014054652129,6.18541405465213,6.07951405465213,5.976814054652129,5.8772140546521285,5.781214054652129,5.688614054652129
7 CCGT,0.0,0.0,0.0,2.5769,2.5769,2.5769,2.5769,2.5769,2.5769,7.8228,9.896,10.3967,10.8238,13.446878536169038,14.595738048225384,15.79659756028173,17.015757072338076,18.23691658439442,19.47977609645077,20.728935608507115,22.00989512056346,23.129854632619807,24.19371414467615,25.260073656732498,26.332833168788845,27.422692680845188,27.78969268084519,28.164992680845188,28.560092680845187,28.96119268084519,29.369492680845187,29.803692680845188,30.251892680845188,30.73649268084519,31.198692680845188,31.66309268084519,32.13139268084519,32.59249268084519,33.07989268084519,33.56649268084519,34.070692680845184,33.48019268084519,32.90039268084519,32.336992680845185,31.787192680845187,31.24359268084519,30.70869268084519,30.18989268084519,29.68679268084519,29.20199268084519,28.733992680845187
8 CCGT + CCS,0.0,0.0,0.0,0.2577,0.2577,0.2577,0.2577,0.2577,0.2577,0.7823,0.9896,1.0397,1.0824,1.3446378536169037,1.4595838048225385,1.579629756028173,1.7015757072338076,1.8237216584394425,1.9479676096450769,2.0729135608507114,2.200959512056346,2.3130054632619808,2.419351414467615,2.5259973656732497,2.6332433168788842,2.742289268084519,2.778989268084519,2.816489268084519,2.855989268084519,2.896089268084519,2.9369892680845187,2.9803892680845188,3.025189268084519,3.073689268084519,3.1198892680845187,3.166289268084519,3.213189268084519,3.259289268084519,3.307989268084519,3.3566892680845193,3.407089268084519,3.347989268084519,3.2899892680845193,3.233689268084519,3.1786892680845193,3.124389268084519,3.0708892680845192,3.018989268084519,2.968689268084519,2.9201892680845187,2.873389268084519
9 Solid Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 S Biomass CCS,0.0,0.0,0.0,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-15.2144,-19.2466,-20.2204,-21.0511,-26.15260880704258,-28.38711174272344,-30.722714678404298,-33.09371761408516,-35.46872054976602,-37.88592348544688,-40.315526421127736,-42.8067293568086,-44.98493229248946,-47.05413522817031,-49.128138163851176,-51.214341099532035,-53.3340440352129,-54.04794403521289,-54.77774403521289,-55.54614403521289,-56.3263440352129,-57.120344035212895,-57.96484403521289,-58.836544035212896,-59.77904403521289,-60.67794403521289,-61.58124403521289,-62.4920440352129,-63.388744035212895,-64.33674403521289,-65.2831440352129,-66.26364403521289,-65.1151440352129,-63.98754403521289,-62.89194403521289,-61.8224440352129,-60.76524403521289,-59.7249440352129,-58.7159440352129,-57.73744403521289,-56.7947440352129,-55.884444035212894
11 BIGCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12 BIGCC + CCS,0.0,0.0,0.0,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-15.2144,-19.2466,-20.2204,-21.0511,-26.15260880704258,-28.38711174272344,-30.722714678404298,-33.09371761408516,-35.46872054976602,-37.88592348544688,-40.315526421127736,-42.8067293568086,-44.98493229248946,-47.05413522817031,-49.128138163851176,-51.214341099532035,-53.3340440352129,-54.04794403521289,-54.77774403521289,-55.54614403521289,-56.3263440352129,-57.120344035212895,-57.96484403521289,-58.836544035212896,-59.77904403521289,-60.67794403521289,-61.58124403521289,-62.4920440352129,-63.388744035212895,-64.33674403521289,-65.2831440352129,-66.26364403521289,-65.1151440352129,-63.98754403521289,-62.89194403521289,-61.8224440352129,-60.76524403521289,-59.7249440352129,-58.7159440352129,-57.73744403521289,-56.7947440352129,-55.884444035212894
13 Biogas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
