RTI,T2TI,1 Nuclear,2 Oil,3 Coal,4 Coal + CCS,5 Waste,6 Waste + CCS,7 CCGT,8 CCGT + CCS,9 OCGT,10 OCGT + CCS,11 Biomass,12 Biomass + CCS,13 Large Hydro,14 Pumped Hydro,15 Geothermal,16 Marine,17 Onshore,18 Offshore,19 Solar PV,20 CSP,21 Fuel cells / Turbine,22 Lithium-ion
1 Belgium (BE),1 Nuclear,0.0,0.2777777910232544,0.2777777910232544,0.2777777910232544,0.2777777910232544,0.2777777910232544,0.4444444477558136,0.37037035822868347,0.4444444477558136,0.41152262687683105,0.4444444477558136,0.4444444477558136,0.18518517911434174,0.2415459007024765,0.2777777910232544,0.4444444477558136,0.4273504316806793,0.4273504316806793,0.2777777910232544,0.4444444477558136,0.41152262687683105,0.6172839403152466
1 Belgium (BE),2 Oil,0.4166666567325592,0.0,0.625,0.625,0.625,0.625,1.0,0.8333333134651184,1.0,0.9259259104728699,1.0,1.0,0.4166666567325592,0.54347825050354,0.625,1.0,0.9615384340286255,0.9615384340286255,0.625,1.0,0.9259259104728699,1.3888888359069824
1 Belgium (BE),3 Coal,0.4166666567325592,0.625,0.0,0.625,0.625,0.625,1.0,0.8333333134651184,1.0,0.9259259104728699,1.0,1.0,0.4166666567325592,0.54347825050354,0.625,1.0,0.9615384340286255,0.9615384340286255,0.625,1.0,0.9259259104728699,1.3888888359069824
1 Belgium (BE),4 Coal + CCS,0.5555555820465088,0.8333333134651184,0.8333333134651184,0.0,0.8333333134651184,0.8333333134651184,1.3333333730697632,1.1111111640930176,1.3333333730697632,1.2345678806304932,1.3333333730697632,1.3333333730697632,0.5555555820465088,0.7246376872062683,0.8333333134651184,1.3333333730697632,1.2820513248443604,1.2820513248443604,0.8333333134651184,1.3333333730697632,1.2345678806304932,1.8518518209457397
1 Belgium (BE),5 Waste,0.4166666567325592,0.625,0.625,0.625,0.0,0.625,1.0,0.8333333134651184,1.0,0.9259259104728699,1.0,1.0,0.4166666567325592,0.54347825050354,0.625,1.0,0.9615384340286255,0.9615384340286255,0.625,1.0,0.9259259104728699,1.3888888359069824
1 Belgium (BE),6 Waste + CCS,0.4166666567325592,0.625,0.625,0.625,0.625,0.0,1.0,0.8333333134651184,1.0,0.9259259104728699,1.0,1.0,0.4166666567325592,0.54347825050354,0.625,1.0,0.9615384340286255,0.9615384340286255,0.625,1.0,0.9259259104728699,1.3888888359069824
1 Belgium (BE),7 CCGT,0.8333333134651184,1.25,1.25,1.25,1.25,1.25,0.0,1.6666666269302368,2.0,1.8518518209457397,2.0,2.0,0.8333333134651184,1.08695650100708,1.25,2.0,1.923076868057251,1.923076868057251,1.25,2.0,1.8518518209457397,2.777777671813965
1 Belgium (BE),8 CCGT + CCS,0.5555555820465088,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.8333333134651184,1.3333333730697632,0.0,1.3333333730697632,1.2345678806304932,1.3333333730697632,1.3333333730697632,0.5555555820465088,0.7246376872062683,0.8333333134651184,1.3333333730697632,1.2820513248443604,1.2820513248443604,0.8333333134651184,1.3333333730697632,1.2345678806304932,1.8518518209457397
1 Belgium (BE),9 OCGT,0.8333333134651184,1.25,1.25,1.25,1.25,1.25,2.0,1.6666666269302368,0.0,1.8518518209457397,2.0,2.0,0.8333333134651184,1.08695650100708,1.25,2.0,1.923076868057251,1.923076868057251,1.25,2.0,1.8518518209457397,2.777777671813965
1 Belgium (BE),10 OCGT + CCS,0.8333333134651184,1.25,1.25,1.25,1.25,1.25,2.0,1.6666666269302368,2.0,0.0,2.0,2.0,0.8333333134651184,1.08695650100708,1.25,2.0,1.923076868057251,1.923076868057251,1.25,2.0,1.8518518209457397,2.777777671813965
1 Belgium (BE),11 Biomass,0.8333333134651184,1.25,1.25,1.25,1.25,1.25,2.0,1.6666666269302368,2.0,1.8518518209457397,0.0,2.0,0.8333333134651184,1.08695650100708,1.25,2.0,1.923076868057251,1.923076868057251,1.25,2.0,1.8518518209457397,2.777777671813965
1 Belgium (BE),12 Biomass + CCS,0.8333333134651184,1.25,1.25,1.25,1.25,1.25,2.0,1.6666666269302368,2.0,1.8518518209457397,2.0,0.0,0.8333333134651184,1.08695650100708,1.25,2.0,1.923076868057251,1.923076868057251,1.25,2.0,1.8518518209457397,2.777777671813965
1 Belgium (BE),13 Large Hydro,0.3333333432674408,0.5,0.5,0.5,0.5,0.5,0.800000011920929,0.6666666865348816,0.800000011920929,0.7407407164573669,0.800000011920929,0.800000011920929,0.0,0.43478259444236755,0.5,0.800000011920929,0.7692307829856873,0.7692307829856873,0.5,0.800000011920929,0.7407407164573669,1.1111111640930176
1 Belgium (BE),14 Pumped Hydro,0.2777777910232544,0.4166666567325592,0.4166666567325592,0.4166666567325592,0.4166666567325592,0.4166666567325592,0.6666666865348816,0.5555555820465088,0.6666666865348816,0.6172839403152466,0.6666666865348816,0.6666666865348816,0.2777777910232544,0.0,0.4166666567325592,0.6666666865348816,0.6410256624221802,0.6410256624221802,0.4166666567325592,0.6666666865348816,0.6172839403152466,0.9259259104728699
1 Belgium (BE),15 Geothermal,0.8333333134651184,1.25,1.25,1.25,1.25,1.25,2.0,1.6666666269302368,2.0,1.8518518209457397,2.0,2.0,0.8333333134651184,1.08695650100708,0.0,2.0,1.923076868057251,1.923076868057251,1.25,2.0,1.8518518209457397,2.777777671813965
1 Belgium (BE),16 Marine,0.8333333134651184,1.25,1.25,1.25,1.25,1.25,2.0,1.6666666269302368,2.0,1.8518518209457397,2.0,2.0,0.8333333134651184,1.08695650100708,1.25,0.0,1.923076868057251,1.923076868057251,1.25,2.0,1.8518518209457397,2.777777671813965
1 Belgium (BE),17 Onshore,1.6666666269302368,2.5,2.5,2.5,2.5,2.5,4.0,3.3333332538604736,4.0,3.7037036418914795,4.0,4.0,1.6666666269302368,2.17391300201416,2.5,4.0,0.0,3.846153736114502,2.5,4.0,3.7037036418914795,5.55555534362793
1 Belgium (BE),18 Offshore,0.5555555820465088,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.8333333134651184,1.3333333730697632,1.1111111640930176,1.3333333730697632,1.2345678806304932,1.3333333730697632,1.3333333730697632,0.5555555820465088,0.7246376872062683,0.8333333134651184,1.3333333730697632,1.2820513248443604,0.0,0.8333333134651184,1.3333333730697632,1.2345678806304932,1.8518518209457397
1 Belgium (BE),19 Solar PV,1.6666666269302368,2.5,2.5,2.5,2.5,2.5,4.0,3.3333332538604736,4.0,3.7037036418914795,4.0,4.0,1.6666666269302368,2.17391300201416,2.5,4.0,3.846153736114502,3.846153736114502,0.0,4.0,3.7037036418914795,5.55555534362793
1 Belgium (BE),20 CSP,0.8333333134651184,1.25,1.25,1.25,1.25,1.25,2.0,1.6666666269302368,2.0,1.8518518209457397,2.0,2.0,0.8333333134651184,1.08695650100708,1.25,2.0,1.923076868057251,1.923076868057251,1.25,0.0,1.8518518209457397,2.777777671813965
1 Belgium (BE),21 Fuel cells / Turbine,0.5555555820465088,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.8333333134651184,1.3333333730697632,1.1111111640930176,1.3333333730697632,1.2345678806304932,1.3333333730697632,1.3333333730697632,0.5555555820465088,0.7246376872062683,0.8333333134651184,1.3333333730697632,1.2820513248443604,1.2820513248443604,0.8333333134651184,1.3333333730697632,0.0,1.8518518209457397
