,1 Nuclear,2 Oil,3 Coal,4 Coal + CCS,5 Waste,6 Waste + CCS,7 CCGT,8 CCGT + CCS,9 OCGT,10 OCGT + CCS,11 Biomass,12 Biomass + CCS,13 Large Hydro,14 Pumped Hydro,15 Geothermal,16 Marine,17 Onshore,18 Offshore,19 Solar PV,20 CSP,21 Fuel cells / Turbine,22 Lithium-ion
1 Nuclear,0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.6410256410256411,0.6172839506172839,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.6172839506172839,1.1111111111111112
2 Oil,0.625,0,0.625,0.625,0.625,0.625,1.25,0.8333333333333334,0.9615384615384616,0.9259259259259259,1,1,0.5,0.5,0.625,1,1.25,1,0.8333333333333334,1,0.9259259259259259,1.6666666666666667
3 Coal,1.25,1.25,0,1.25,1.25,1.25,2.5,1.6666666666666667,1.9230769230769231,1.8518518518518519,2,2,1,1,1.25,2,2.5,2,1.6666666666666667,2,1.8518518518518519,3.3333333333333335
4 Coal + CCS,1.25,1.25,1.25,0,1.25,1.25,2.5,1.6666666666666667,1.9230769230769231,1.8518518518518519,2,2,1,1,1.25,2,2.5,2,1.6666666666666667,2,1.8518518518518519,3.3333333333333335
5 Waste,0.625,0.625,0.625,0.625,0,0.625,1.25,0.8333333333333334,0.9615384615384616,0.9259259259259259,1,1,0.5,0.5,0.625,1,1.25,1,0.8333333333333334,1,0.9259259259259259,1.6666666666666667
6 Waste + CCS,0.625,0.625,0.625,0.625,0.625,0,1.25,0.8333333333333334,0.9615384615384616,0.9259259259259259,1,1,0.5,0.5,0.625,1,1.25,1,0.8333333333333334,1,0.9259259259259259,1.6666666666666667
7 CCGT,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,1.1111111111111112,1.2820512820512822,1.2345679012345678,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333334,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.1111111111111112,1.3333333333333333,1.2345679012345678,2.2222222222222223
8 CCGT + CCS,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.6666666666666667,0,1.2820512820512822,1.2345679012345678,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333334,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.1111111111111112,1.3333333333333333,1.2345679012345678,2.2222222222222223
9 OCGT,1.25,1.25,1.25,1.25,1.25,1.25,2.5,1.6666666666666667,0,1.8518518518518519,2,2,1,1,1.25,2,2.5,2,1.6666666666666667,2,1.8518518518518519,3.3333333333333335
10 OCGT + CCS,1.25,1.25,1.25,1.25,1.25,1.25,2.5,1.6666666666666667,1.9230769230769231,0,2,2,1,1,1.25,2,2.5,2,1.6666666666666667,2,1.8518518518518519,3.3333333333333335
