,1 Investment cost mean (MEuro per MW),2 Investment cost SD,3 O&M cost mean (Euros/MJ/s/year),4 O&M cost SD,5 Lifetime (years),6 Leadtime (years),7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Learning exponent
Indirect Heating Coal,0.4708984742889433,0.0235449237144471,47424.5620644189,2371.2281032209453,25.0,1,-0.05,0.05,0.5005907632098383,108.8499570077386,21.76999140154772,0,0.9703846153846154,0.013387267641727442,-0.05
Indirect Heating Oil,0.0517988321717837,0.0025899416085891,9951.026558673948,497.5513279336973,25.0,1,-0.05,0.05,0.424869098732363,252.621668099742,50.52433361994841,0,0.9768538461538462,0.012945317400649168,-0.05
Indirect Heating Gas,0.0517988321717837,0.0025899416085891,10964.965153512903,548.2482576756452,25.0,1,-0.05,0.05,0.649681415738023,324.9680782459158,64.99361564918317,0,0.9813999999999999,0.01250933852351345,-0.05
Indirect Heating Biomass,0.5820305142211338,0.0291015257110566,47424.5620644189,2371.2281032209453,25.0,1,-0.05,0.05,0.4215786090837574,142.77300085984518,28.55460017196904,0,0.9116666666666666,0.00867163414004405,-0.05
Indirect Heating Electric,0.0753437558862309,0.0037671877943115,8437.935581088717,421.8967790544359,25.0,1,-0.05,0.05,0.9,1658.098237317283,331.6196474634566,0,0.9878205128205128,0.0028867513459481316,-0.05
Indirect Heating Steam Distributed,0.9417969485778864,0.0470898474288943,0.0,0.0,20.0,1,-0.05,0.05,0.5416637765398143,0.0,0.0,0,1.0,0.0,-0.05
Heat Pumps (Electricity),1.02938406479563,0.0514692032397815,28927.00748916933,1446.3503744584666,20.0,1,-0.432959407,0.05,3.0,1658.098237317283,331.6196474634566,0,0.9838461538461538,0.0113249475879504,-0.432959407
Direct Heating Coal,0.207195328687135,0.0103597664343567,5926.521002071951,296.32605010359765,15.0,1,-0.05,0.05,0.6794471498075472,108.8499570077386,21.76999140154772,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Oil,0.0141269542286682,0.0007063477114334,2482.8575831606704,124.14287915803352,15.0,1,-0.05,0.05,0.4708356260790768,252.621668099742,50.52433361994841,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Gas,0.0141269542286682,0.0007063477114334,2482.8575831606704,124.14287915803352,15.0,1,-0.05,0.05,0.4667828283385252,324.9680782459158,64.99361564918317,0,0.9878846153846155,0.012115384615384639,-0.05
Direct Heating Biomass,0.207195328687135,0.0103597664343567,5926.521002071951,296.32605010359765,15.0,1,-0.05,0.05,0.5093675057804541,142.77300085984518,28.55460017196904,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Electric,0.0565078169146732,0.0028253908457336,1486.0425692220756,74.30212846110378,12.5,1,-0.05,0.05,0.5266846012794458,1658.098237317283,331.6196474634566,0,0.9902564102564102,0.016876392484004476,-0.05
Direct Heating Steam Distributed,0.9417969485778864,0.0470898474288943,0.0,0.0,20.0,1,-0.05,0.05,0.0712540523955947,0.0,0.0,0,1.0,0.0,-0.05
