,IC,dIC,O&M,dO&M,Employment,Lifetime,Build time,Learning rate (IC),Learning rate (ME),Discount Rate,Gamma value,CF,dCF,EF,dEF,Energy Intensity,MaxScrap,Ironmaking tech,Steelmaking tech,Payback period,BB?,CCS?,Crude Steel,PIP,PII,Scrap,Coke,Biocoke,Sinter,Sinter (BB),Pellets,Pellets (BB),Oxygen,Hard Coal,Other Coal,Natural Gas,Electricity,Iron ore,Limestone,Hydrogen,Biocharcoal,Biogas
Conv. BF - OHF,515.4099,128.852475,84.08976,21.02244,0.00096355577,35,4,-0.01,-0.05,0.025,200,0.7,0.175,2.073527,0.20770566364390575,0,0.21,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conv. BF - BOF,481.4731,120.368275,73.30101,18.3252525,0.00091851735,35,4,-0.03,-0.1,0.025,75,0.8,0.2,1.756229,0.1767805894202576,0,0.21,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conv. BF - BOF (BB),481.4731,120.368275,73.30101,18.3252525,0.00092677493,35,4,-0.03,-0.1,0.025,75,0.8,0.2,1.015847,0.09175466257433759,0,0.21,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conv. BF - BOF (CCS),582.9011,145.725275,82.81776,20.70444,0.0009644432,35,4,-0.06,-0.1,0.025,85,0.8,0.2,0.5268687,0.03538483621375476,0,0.21,3,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conv. BF - BOF (CCS, BB)",577.5831,144.395775,82.32026,20.580065,0.00097311364,35,4,-0.06,-0.1,0.025,85,0.8,0.2,-0.40568889900000005,0.052289727787378754,0,0.21,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BF TGR - BOF (CCS),577.9885,144.497125,80.11705,20.0292625,0.00097730022,35,4,-0.08,-0.1,0.025,85,0.8,0.2,0.493785,0.035581847417247264,0,0.21,5,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BF TGR - BOF (CCS, BB)",573.9987,143.499675,79.74369,19.9359225,0.00098542229,35,4,-0.08,-0.1,0.025,85,0.8,0.2,-0.63369075,0.041959401046945344,0,0.21,6,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR-gas - EAF,459.7238,114.93095,76.85373,19.2134325,0.00085812673,35,3,-0.03,-0.1,0.025,-85,0.6,0.15,0.6968915,0.08429585209828784,0,0.51,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR-gas - EAF (BB),459.7238,114.93095,76.82706,19.206765,0.0008627908,35,3,-0.03,-0.1,0.025,-60,0.6,0.15,0.051052749,0.004744325754478974,0,0.51,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR-gas - EAF (CCS),495.3287,123.832175,79.99548,19.99887,0.00090103305,35,3,-0.06,-0.1,0.025,-30,0.6,0.15,0.20906745,0.016872457950895585,0,0.51,9,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
