,Transport,Machinery,Construction,Products
BE,27,40,100,20
DK,27,40,100,20
DE,13,20,50,10
EL,27,40,100,20
ES,20,30,75,15
FR,27,40,100,20
IE,27,40,100,20
IT,20,30,50,15
LX,27,40,100,20
NL,27,40,100,20
AT,27,40,100,20
PT,27,40,100,20
FI,20,30,75,15
SW,20,30,50,15
UK,27,40,100,20
CZ,13,20,50,10
EN,20,30,50,15
CY,27,40,100,20
LV,20,30,50,15
LT,20,30,50,15
HU,13,20,50,10
MT,27,40,100,20
PL,13,20,50,10
SI,20,30,100,15
SK,20,30,75,15
BG,10,15,38,8
RO,10,15,38,8
NO,13,20,50,10
CH,27,40,100,20
IS,20,30,50,15
HR,20,30,100,15
TR,10,15,38,8
MK,20,30,100,15
US,20,30,75,15
JA,10,15,38,8
CA,20,30,50,15
AU,27,40,100,20
NZ,27,40,100,20
RS,20,30,50,15
RA,20,30,50,15
CN,27,40,100,20
IN,27,40,100,20
MX,20,30,50,15
BR,13,20,50,10
AR,27,40,100,20
CO,27,40,100,20
LA,10,15,38,8
KR,10,15,38,8
TW,27,40,100,20
ID,20,30,100,15
AS,20,30,75,15
OP,27,40,100,20
RW,20,30,75,15
UE,20,30,50,15
SD,27,40,100,20
NG,27,40,100,20
SA,10,15,38,8
ON,27,40,100,20
OC,27,40,100,20
MY,20,30,75,15
KZ,20,30,75,15
AN,27,40,100,20
AC,27,40,100,20
AW,27,40,100,20
AE,27,40,100,20
ZA,27,40,100,20
EG,27,40,100,20
DC,27,40,100,20
KE,27,40,100,20
UA,27,40,100,20
XX,0,0,0,0
