,Coke plant,Biocoke plant,Sinter plant,Biosinter plant,Pellet plant,Biopellet plant,Oxygen plant,Conv. BF,Conv. BF (BB),BF TGR (CCS),"BF TGR (CCS, BB)",DR-gas,DR-gas (BB),DR-coal,DR-coal (BB),SR,SR (BB),SR+,SR+ (BB),HFS,OHF,BOF,BOF (BB),EAF,EAF (BB),MOE,Final stage
Crude Steel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coke,0,0,0.02,0,0.007,0,0,0.200925,0,0.12658275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biocoke,0,0,0,0.02,0,0.007,0,0,0.21097125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sinter,0,0,0,0,0,0,0,1.2,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sinter (BB),0,0,0,0,0,0,0,0,1.2,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pellets,0,0,0,0,0,0,0,0.155,0,0.04,0,1.3,0,1.3,0,0.9799999999999999,0,0,0,0,0,0,0,0,0,0,0
Pellets (BB),0,0,0,0,0,0,0,0,0.155,0,0.04,0,1.3,0,1.3,0,0.9799999999999999,0,0,0,0,0,0,0,0,0,0
Oxygen,0,0,0,0,0,0,0,0.07713,0.07713,0.07713,0.07713,0.0192825,0.0192825,0.0192825,0.0192825,0.6813,0.6813,0.6813,0.6813,0,0.09000000000000001,0.06669,0.06669,0.06669,0.06669,0,0
Hard Coal,1.17,1.053,0,0,0,0,0,0.05,0,0.042,0,0,0,0.13999999999999999,0,0.013090909090909092,0,0.05,0,0,0.0475,0,0,0,0,0,0
Other Coal,0,0,0,0,0,0,0,0.05,0,0.042,0,0,0,0.16000000000000003,0,0.13999999999999999,0,0.06999999999999999,0,0,0,0.018750000000000003,0,0,0,0,0
Natural Gas,0,0,0.1,0,0.3,0,0,0.05,0,0.05,0,8.25,0,0.04000000000000001,0,0.020000000000000004,0,0.1,0,0,0.1425,0.07500000000000001,0,0.125,0,0.05,0
Electricity,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,1.36,0.25,0.25,0.1,0.1,0.0432,0.0432,0.144,0.144,0.06480000000000001,0.06480000000000001,0.12585600000000002,0.12585600000000002,0.648,0.095,0.07500000000000001,0.07500000000000001,2.25,2.8499999999999996,9.9,0.5616
Iron ore,0,0,0.93,0.93,1.04,1.04,0,0.3894666666666666,0.3894666666666666,0.36956666666666665,0.36956666666666665,0.31466666666666665,0.31466666666666665,0.31466666666666665,0.31466666666666665,0.6474666666666669,0.6474666666666669,1.6666666666666667,1.6666666666666667,1.6666666666666667,0,0,0,0,0,1.6666666666666667,0
Limestone,0,0,0.1,0.1,0.015,0.015,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.006,0.006,0.25,0.25,0.25,0.02,0.02,0.02,0.012,0.012,0.25,0
Hydrogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0
Biocharcoal,0,0.13830300000000004,0,0,0,0,0,0,0.10633333333333335,0,0.08932000000000001,0,0,0,0.31606666666666666,0,0.14417333333333335,0,0.12466666666666669,0,0,0,0.017187500000000005,0,0,0,0
Biogas,0,0,0,0.1,0,0.3,0,0,0.05,0,0.05,0,8.25,0,0.04000000000000001,0,0.020000000000000004,0,0.1,0,0,0,0.07500000000000001,0,0.125,0,0
IC,46,46,50,50,50,50,80.8,273,273,286.7,286.7,250,250,250,250,230,230,204.8,204.8,260,95,59.80000000000001,59.80000000000001,80.93,80.93,4000,50
O&M,21,21,4,4,4,4,11,14,14,14.399999999999999,14.4,12.93,12.9,13.29,13.3,10,10,10.8,10.8,20,35.223847769677505,25,25,37,37,37,25
EF,0.794,0,0.2,0,0.057,0,0,1.219,0.1,0.25,-0.25,1.243,0.1,2,0.1,1.243,0.1,0.9752000000000001,0.1,0.15,0.35,0.181,0,0.08,0.08,0,0
Employment,0.00019831730769230771,0.00019831730769230771,5.048076923076924e-05,5.048076923076924e-05,5.048076923076924e-05,5.048076923076924e-05,7.211538461538461e-05,9.014423076923077e-05,9.014423076923077e-05,0.00010817307692307691,0.00010817307692307691,9.014423076923077e-05,9.014423076923077e-05,9.014423076923077e-05,9.014423076923077e-05,0.00025240384615384616,0.00025240384615384616,0.00025240384615384616,0.00025240384615384616,9.014423076923077e-05,0.00013521634615384613,0.00010817307692307691,0.00010817307692307691,0.00012620192307692308,0.00012620192307692308,0.00025240384615384616,0.0004110576923076923
