,Conv. BF - OHF,Conv. BF - BOF,Conv. BF - BOF (BB),Conv. BF - BOF (CCS),"Conv. BF - BOF (CCS, BB)",BF TGR - BOF (CCS),"BF TGR - BOF (CCS, BB)",DR-gas - EAF,DR-gas - EAF (BB),DR-gas - EAF (CCS),"DR-gas - EAF (CCS, BB)",DR-coal - EAF,DR-coal - EAF (BB),DR-coal - EAF (CCS),"DR-coal - EAF (CCS, BB)",SR - BOF,SR- BOF (BB),SR - BOF (CCS),"SR - BOF (CCS, BB)",SR + - BOF,SR + - BOF (BB),SR + - BOF (CCS),"SR + - BOF (CCS, BB)",HFS - EAF,MOE,Scrap - EAF
Conv. BF - OHF,1,0.0625,0.0625,0.0625,0.0625,0.025,0.025,0,0,0,0,0,0,0,0,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0,0,0
Conv. BF - BOF,0.0625,1,1,0.75,0.75,0.025,0.025,0,0,0,0,0,0,0,0,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0,0,0
Conv. BF - BOF (BB),0.0625,1,1,0.75,0.75,0.025,0.05,0,0,0,0,0,0,0,0,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0,0,0
Conv. BF - BOF (CCS),0.0625,0.75,0.75,1,1,0.0625,0.05,0,0,0.025,0.025,0,0,0.025,0.025,0.025,0.025,0.0625,0.0625,0.025,0.025,0.0625,0.0625,0,0,0
"Conv. BF - BOF (CCS, BB)",0.0625,0.75,0.75,1,1,0.0625,0.0625,0,0,0.025,0.025,0,0,0.025,0.025,0.025,0.05,0.0625,0.075,0.025,0.05,0.0625,0.075,0,0,0
BF TGR - BOF (CCS),0.025,0.025,0.025,0,0.0625,1,1,0,0,0.025,0.025,0,0,0.025,0.025,0.025,0.025,0.0625,0.0625,0.025,0.025,0.0625,0.0625,0,0,0
"BF TGR - BOF (CCS, BB)",0.025,0.025,0.05,0.05,0.0625,1,1,0,0,0.025,0.025,0,0,0.025,0.025,0.025,0.05,0.0625,0.075,0.025,0.05,0.0625,0.075,0,0,0
DR-gas - EAF,0,0,0,0,0,0,0,1,1,0.75,0.75,0.075,0.075,0.075,0.075,0,0,0,0,0,0,0,0,0.1,0,0.1
DR-gas - EAF (BB),0,0,0,0,0,0,0,1,1,0.75,0.75,0.075,0.075,0.075,0.075,0,0,0,0,0,0,0,0,0.1,0,0.1
DR-gas - EAF (CCS),0,0,0,0.025,0.025,0.025,0.025,0.75,0.75,1,1,0.075,0.075,0.075,0.075,0,0,0.025,0.025,0,0,0.025,0.025,0.1,0,0.1
"DR-gas - EAF (CCS, BB)",0,0,0,0.025,0.025,0.025,0.025,0.75,0.75,1,1,0.075,0.075,0.125,0.125,0,0,0.025,0.025,0,0,0.025,0.025,0.1,0,0.1
DR-coal - EAF,0,0,0,0,0,0,0,0.075,0.075,0.075,0.075,1,1,0.75,0.75,0,0,0,0,0,0,0,0,0.1,0,0.1
DR-coal - EAF (BB),0,0,0,0,0,0,0,0.075,0.075,0.075,0.075,1,1,0.75,0.75,0,0,0,0,0,0,0,0,0.1,0,0.1
DR-coal - EAF (CCS),0,0,0,0.025,0.025,0.025,0.025,0.075,0.075,0.125,0.125,0.75,0.75,1,1,0,0,0.025,0.025,0,0,0.025,0.025,0.1,0,0.1
"DR-coal - EAF (CCS, BB)",0,0,0,0.025,0.025,0.025,0.025,0.075,0.075,0.125,0.125,0.75,0.75,1,1,0,0,0.025,0.025,0,0,0.025,0.025,0.1,0,0.1
SR - BOF,0,0.025,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0,0,0,1,1,0.75,0.75,0.125,0.125,0.125,0.125,0,0,0
SR- BOF (BB),0,0.025,0.05,0.025,0.05,0.025,0.05,0,0,0,0,0,0,0,0,1,1,0.75,0.75,0.125,0.15,0.125,0.15,0,0,0
SR - BOF (CCS),0,0.025,0.025,0.0625,0.0625,0.0625,0.0625,0,0,0,0,0,0,0,0,0.75,0.75,1,1,0.125,0.125,0.1875,0.1875,0,0,0
"SR - BOF (CCS, BB)",0,0.025,0.05,0.0625,0.075,0.0625,0.075,0,0,0.025,0.025,0,0,0.025,0.025,0.75,0.75,1,1,0.125,0.15,0.1875,0.1875,0,0,0
SR + - BOF,0,0.025,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.125,1,1,0.75,0.75,0,0,0
SR + - BOF (BB),0,0.025,0.05,0.025,0.05,0.025,0.05,0,0,0,0,0,0,0,0,0.125,0.15,0.125,0.15,1,1,0.75,0.75,0,0,0
SR + - BOF (CCS),0,0.025,0.025,0.05,0.05,0.05,0.05,0,0,0.025,0.025,0,0,0.025,0.025,0.125,0.125,0.1875,0.1875,0.75,0.75,1,1,0,0,0
"SR + - BOF (CCS, BB)",0,0.025,0.05,0.0625,0.075,0.0625,0.075,0,0,0.025,0.025,0,0,0.025,0.025,0.125,0.15,0.1875,0.1875,0.75,0.75,1,1,0,0,0
HFS - EAF,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,1,0,0.1
MOE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001
Scrap - EAF,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0.1,0.001,1
