,Coke plant,Biocoke plant,Sinter plant,Biosinter plant,Pellet plant,Biopellet plant,Oxygen plant,Conv. BF,Conv. BF (BB),BF TGR (CCS),"BF TGR (CCS, BB)",DR-gas,DR-gas (BB),DR-coal,DR-coal (BB),SR,SR (BB),SR+,SR+ (BB),HFS,OHF,BOF,BOF (BB),EAF,EAF (BB),MOE,Final stage
Crude Steel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coke,0,0,0.042,0,0.01,0,0,0.22324999999999998,0,0.14064749999999998,0,0,0,0,0,0,0,0,0,0,0.075,0,0,0,0,0,0
Biocoke,0,0,0,0.042,0,0.01,0,0,0.2344125,0,0.147679875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sinter,0,0,0,0,0,0,0,1.34,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sinter (BB),0,0,0,0,0,0,0,0,1.34,0,1.6590000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pellets,0,0,0,0,0,0,0,0.155,0,0.04,0,1.5,0,1.5,0,0.9799999999999999,0,0,0,0,0,0,0,0,0,0,0
Pellets (BB),0,0,0,0,0,0,0,0,0.155,0,0.042,0,1.5750000000000002,0,1.5750000000000002,0,1.029,0,0,0,0,0,0,0,0,0,0
Oxygen,0,0,0,0,0,0,0,0.0857,0.0857,0.0857,0.0857,0.021425,0.021425,0.021425,0.021425,0.757,0.757,0.757,0.757,0,0.1,0.0741,0.0741,0.0741,0.0741,0,0
Hard Coal,1.27,1.143,0,0,0,0,0,0.1,0,0.084,0,0,0,0.35,0,0.06545454545454546,0,0.25,0,0,0.05,0,0,0,0,0,0
Other Coal,0.1,0,0,0,0,0,0,0.1,0,0.084,0,0,0,0.4,0,0.7,0,0.35,0,0,0,0.025,0,0,0,0,0
Natural Gas,0,0,0.2,0,0.75,0,0,0.1,0,0.1,0,11,0,0.1,0,0.1,0,0.5,0,0,0.15,0.1,0,0.25,0,0.1,0
Electricity,0.055,0.055,0.055,0.055,0.055,0.055,1.7,0.5,0.5,0.2,0.2,0.432,0.432,0.36,0.36,0.324,0.324,0.6292800000000001,0.6292800000000001,1.08,0.1,0.1,0.1,3,3,14,0.936
Iron ore,0,0,0.93,0.93,1.04,1.04,0,0.25926666666666653,0.25926666666666653,0.1556666666666667,0.08011666666666634,0.10666666666666669,0.028666666666666396,0.10666666666666669,0.028666666666666396,0.6474666666666669,0.5965066666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,0,0,0,0,0,1.6666666666666667,0
Limestone,0,0,0.14,0.14,0.018,0.018,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.02,0.02,0.012,0.012,0.12,0
Hydrogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0
Biocharcoal,0,0.15367000000000003,0,0,0,0,0,0,0.2126666666666667,0,0.17864000000000002,0,0,0,0.7901666666666668,0,0.7208666666666668,0,0.6233333333333334,0,0,0,0.022916666666666672,0,0,0,0
Biogas,0,0,0,0.2,0,0.75,0,0,0.1,0,0.1,0,11,0,0.1,0,0.1,0,0.5,0,0,0,0.1,0,0.25,0,0
IC,46,46,50,50,50,50,80.8,273,273,286.7,286.7,250,250,250,250,230,230,204.8,204.8,260,95,59.80000000000001,59.80000000000001,80.93,80.93,4000,50
O&M,21,21,4,4,4,4,11,14,14,14.399999999999999,14.4,12.93,12.9,13.29,13.3,10,10,10.8,10.8,20,35.223847769677505,25,25,37,37,37,25
EF,0.794,0,0.2,0,0.057,0,0,1.219,0.1,0.25,-0.25,1.243,0.1,2,0.1,1.243,0.1,0.9752000000000001,0.1,0.15,0.35,0.181,0,0.08,0.08,0,0
Employment,0.00026442307692307697,0.00026442307692307697,6.730769230769232e-05,6.730769230769232e-05,6.730769230769232e-05,6.730769230769232e-05,9.615384615384615e-05,0.0001201923076923077,0.0001201923076923077,0.00014423076923076922,0.00014423076923076922,0.0001201923076923077,0.0001201923076923077,0.0001201923076923077,0.0001201923076923077,0.0003365384615384615,0.0003365384615384615,0.0003365384615384615,0.0003365384615384615,0.0001201923076923077,0.00018028846153846152,0.00014423076923076922,0.00014423076923076922,0.00016826923076923076,0.00016826923076923076,0.0003365384615384615,0.000548076923076923
