,BE,DK,DE,EL,ES,FR,IE,IT,LX,NL,AT,PT,FI,SW,UK,CZ,EN,CY,LV,LT,HU,MT,PL,SI,SK,BG,RO,NO,CH,IS,HR,TR,MK,US,JA,CA,AU,NZ,RS,RA,CN,IN,MX,BR,AR,CO,LA,KR,TW,ID,AS,OP,RW,UE,SD,NG,SA,ON,OC,MY,KZ,AN,AC,AW,AE,ZA,EG,DC,KE,UA,XX
Crude Steel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PII,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,0
Scrap,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,0
Coke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biocoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sinter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sinter (BB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pellets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pellets (BB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxygen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard Coal,92.07158920185573,142.29402297330068,128.3143647696528,159.84869243682655,110.97770386678383,215.4011193736043,139.5077228589696,183.13845082976638,92.03564420675339,63.969445573056916,263.61920824947475,222.28514892960288,350.2125203543947,168.47159361131844,191.66365090913672,85.13810279717414,144.6641406744588,144.6641406744588,144.6641406744588,144.6641406744588,133.44817621472822,144.6641406744588,172.30263717366034,144.6641406744588,87.51913391853202,82.2287235550348,82.23210151842997,43.35616017688244,171.38322482905454,43.35616017688244,187.35458221915655,155.49345824711256,42.760426017089806,84.65340835719165,181.00045984396797,77.6210082551441,45.41749737794449,71.06438130513796,60.59382076793942,194.7811646650855,65.98938106891674,58.48527869379115,148.22494716518793,89.25878506703958,93.53450719529825,93.53450719529825,89.25878506703958,111.9631164192643,223.90665797372586,47.569519903999684,86.81132066557689,115.18976437721062,33.27311267122101,194.7811646650855,115.18976437721062,115.18976437721062,33.27311267122101,33.27311267122101,33.27311267122101,86.81132066557689,33.27311267122101,33.27311267122101,33.27311267122101,33.27311267122101,33.27311267122101,33.27311267122101,33.27311267122101,33.27311267122101,33.27311267122101,33.27311267122101,33.27311267122101
Other Coal,92.07158920185573,142.29402297330068,128.3143647696528,159.84869243682655,110.97770386678383,215.4011193736043,139.5077228589696,183.13845082976638,92.03564420675339,63.969445573056916,263.61920824947475,222.28514892960288,350.2125203543947,168.47159361131844,191.66365090913672,85.13810279717414,144.6641406744588,144.6641406744588,144.6641406744588,144.6641406744588,133.44817621472822,144.6641406744588,172.30263717366034,144.6641406744588,87.51913391853202,82.2287235550348,82.23210151842997,43.35616017688244,171.38322482905454,43.35616017688244,187.35458221915655,155.49345824711256,42.760426017089806,84.65340835719165,181.00045984396797,77.6210082551441,45.41749737794449,71.06438130513796,60.59382076793942,194.7811646650855,65.98938106891674,58.48527869379115,148.22494716518793,89.25878506703958,93.53450719529825,93.53450719529825,89.25878506703958,111.9631164192643,223.90665797372586,47.569519903999684,86.81132066557689,115.18976437721062,33.27311267122101,194.7811646650855,115.18976437721062,115.18976437721062,33.27311267122101,33.27311267122101,33.27311267122101,86.81132066557689,33.27311267122101,33.27311267122101,33.27311267122101,33.27311267122101,33.27311267122101,33.27311267122101,33.27311267122101,33.27311267122101,33.27311267122101,33.27311267122101,33.27311267122101
Natural Gas,10.696870961273369,18.94656623590415,7.903746678467228,18.818833550131917,12.803497018888246,14.691122386737176,13.229235892606484,13.238356656241436,13.662037780696423,11.543871004318124,6.903431191909266,15.109115829236206,13.273566740892619,18.381984405200225,10.49917217587037,14.08156403642216,6.184822629362611,5.137806208313516,5.137806208313516,5.137806208313516,13.827597357262015,5.137806208313516,12.80104819227777,18.187674081913116,14.892327744864286,2.9920094236517274,2.9920015496111794,6.5828868752342515,18.929610801923786,6.46431957266007,11.451739480544294,10.86265101097431,1.7960004073503641,3.3335984260317875,10.619749983464514,4.48631334271919,3.4567589189257286,4.759686907150363,1.4014007393199137,7.741184486670298,0.5821120696443137,7.579441195090378,4.807135875493571,6.468177852528669,6.992350107139443,6.992350107139443,6.468177852528669,12.31203877807489,8.638746368754965,2.8706415873225843,6.0366463096471685,4.164905506264061,5.1526487747467975,7.741184486670298,4.164905506264061,4.164905506264061,5.1526487747467975,5.1526487747467975,5.1526487747467975,6.0366463096471685,5.1526487747467975,5.1526487747467975,5.1526487747467975,5.1526487747467975,5.1526487747467975,5.1526487747467975,5.1526487747467975,5.1526487747467975,5.1526487747467975,5.1526487747467975,5.1526487747467975
Electricity,10.267379072322539,20.48685208273622,26.039069241425434,26.308215630075477,26.51401760294258,22.882828962453427,30.528539505111308,57.397556654246685,21.949570364001147,21.9091954714818,22.980545070220696,28.975714531384355,20.436605163848288,17.545296861564918,26.527680209229008,28.495156372408527,12.551488201012708,34.27521911722557,11.183682215534537,11.183682215534537,25.880380003821532,11.183682215534537,22.540424835196333,23.160178131269703,33.39041647558995,14.064027395624345,21.9874022642591,11.322147057418556,25.61968634756855,12.300703520588518,14.737255254609726,29.156897296264454,14.064027395624345,13.235474873411677,38.21451409190791,20.591758120760485,26.617204404318336,19.69526423521544,9.238632201203783,28.32180906659024,10.419636930352537,38.02110540269418,22.14968211999618,19.583355187732877,24.922699985669247,24.922699985669247,19.583355187732877,14.017399350339161,14.412719451609822,11.979195399828031,40.45265809209898,72.89921799464986,6.069190097449127,28.32180906659024,72.89921799464986,72.89921799464986,6.069190097449127,6.069190097449127,6.069190097449127,40.45265809209898,6.069190097449127,6.069190097449127,6.069190097449127,6.069190097449127,6.069190097449127,6.069190097449127,6.069190097449127,6.069190097449127,6.069190097449127,6.069190097449127,6.069190097449127
Iron ore,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,97.47587,0
Limestone,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,0
