,Transport,Machinery,Construction,Products
BE,0.3,0.1,0.47,0.13
DK,0.32,0.11,0.47,0.1
DE,0.3,0.1,0.47,0.13
EL,0.32,0.11,0.47,0.1
ES,0.32,0.11,0.47,0.1
FR,0.3,0.1,0.47,0.13
IE,0.32,0.11,0.47,0.1
IT,0.32,0.11,0.47,0.1
LX,0.3,0.1,0.47,0.13
NL,0.3,0.1,0.47,0.13
AT,0.32,0.11,0.47,0.1
PT,0.32,0.11,0.47,0.1
FI,0.3,0.1,0.47,0.13
SW,0.22,0.2,0.43,0.15
UK,0.22,0.2,0.43,0.15
CZ,0.3,0.1,0.47,0.13
EN,0.3,0.1,0.47,0.13
CY,0.11,0.32,0.47,0.1
LV,0.3,0.1,0.47,0.13
LT,0.3,0.1,0.47,0.13
HU,0.32,0.11,0.47,0.1
MT,0.11,0.32,0.47,0.1
PL,0.29,0.25,0.31,0.15
SI,0.3,0.1,0.47,0.13
SK,0.25,0.29,0.31,0.15
BG,0.25,0.29,0.31,0.15
RO,0.22,0.2,0.43,0.15
NO,0.22,0.2,0.43,0.15
CH,0.32,0.11,0.47,0.1
IS,0.3,0.1,0.47,0.13
HR,0.3,0.1,0.47,0.13
TR,0.25,0.29,0.31,0.15
MK,0.3,0.1,0.47,0.13
US,0.3,0.1,0.47,0.13
JA,0.3,0.1,0.47,0.13
CA,0.32,0.11,0.47,0.1
AU,0.22,0.2,0.43,0.15
NZ,0.11,0.32,0.47,0.1
RS,0.3,0.1,0.47,0.13
RA,0.3,0.1,0.47,0.13
CN,0.11,0.32,0.47,0.1
IN,0.11,0.32,0.47,0.1
MX,0.22,0.2,0.43,0.15
BR,0.11,0.32,0.47,0.1
AR,0.11,0.32,0.47,0.1
CO,0.11,0.32,0.47,0.1
LA,0.25,0.29,0.31,0.15
KR,0.29,0.25,0.31,0.15
TW,0.11,0.32,0.47,0.1
ID,0.22,0.2,0.43,0.15
AS,0.11,0.32,0.47,0.1
OP,0.11,0.32,0.47,0.1
RW,0.25,0.29,0.31,0.15
UE,0.3,0.1,0.47,0.13
SD,0.11,0.32,0.47,0.1
NG,0.11,0.32,0.47,0.1
SA,0.22,0.2,0.43,0.15
ON,0.11,0.32,0.47,0.1
OC,0.11,0.32,0.47,0.1
MY,0.11,0.32,0.47,0.1
KZ,0.25,0.29,0.31,0.15
AN,0.11,0.32,0.47,0.1
AC,0.11,0.32,0.47,0.1
AW,0.11,0.32,0.47,0.1
AE,0.11,0.32,0.47,0.1
ZA,0.11,0.32,0.47,0.1
EG,0.11,0.32,0.47,0.1
DC,0.11,0.32,0.47,0.1
KE,0.11,0.32,0.47,0.1
UA,0.11,0.32,0.47,0.1
XX,0,0,0,0
