,Transport,Machinery,Construction,Products
BE,0,0,0.1,0
DK,0,0,0.1,0
DE,0,0,0.1,0
EL,0,0,0.1,0
ES,0,0,0.1,0
FR,0,0,0.1,0
IE,0,0,0.1,0
IT,0,0,0.1,0
LX,0,0,0.1,0
NL,0,0,0.1,0
AT,0,0,0.1,0
PT,0,0,0.1,0
FI,0,0,0.1,0
SW,0,0,0.1,0
UK,0,0,0.1,0
CZ,0,0,0.1,0
EN,0,0,0.1,0
CY,0,0,0.1,0
LV,0,0,0.1,0
LT,0,0,0.1,0
HU,0,0,0.1,0
MT,0,0,0.1,0
PL,0,0,0.1,0
SI,0,0,0.1,0
SK,0,0,0.1,0
BG,0,0,0.1,0
RO,0,0,0.1,0
NO,0,0,0.1,0
CH,0,0,0.1,0
IS,0,0,0.1,0
HR,0,0,0.1,0
TR,0,0,0.1,0
MK,0,0,0.1,0
US,0,0,0.1,0
JA,0,0,0.1,0
CA,0,0,0.1,0
AU,0,0,0.1,0
NZ,0,0,0.1,0
RS,0,0,0.1,0
RA,0,0,0.1,0
CN,0,0,0.1,0
IN,0,0,0.1,0
MX,0,0,0.1,0
BR,0,0,0.1,0
AR,0,0,0.1,0
CO,0,0,0.1,0
LA,0,0,0.1,0
KR,0,0,0.1,0
TW,0,0,0.1,0
ID,0,0,0.1,0
AS,0,0,0.1,0
OP,0,0,0.1,0
RW,0,0,0.1,0
UE,0,0,0.1,0
SD,0,0,0.1,0
NG,0,0,0.1,0
SA,0,0,0.1,0
ON,0,0,0.1,0
OC,0,0,0.1,0
MY,0,0,0.1,0
KZ,0,0,0.1,0
AN,0,0,0.1,0
AC,0,0,0.1,0
AW,0,0,0.1,0
AE,0,0,0.1,0
ZA,0,0,0.1,0
EG,0,0,0.1,0
DC,0,0,0.1,0
KE,0,0,0.1,0
UA,0,0,0.1,0
XX,0,0,0,0
