,1 Nuclear,2 Oil,3 Coal,4 Coal + CCS,5 IGCC,6 IGCC + CCS,7 CCGT,8 CCGT + CCS,9 Solid Biomass,10 S Biomass CCS,11 BIGCC,12 BIGCC + CCS,13 Biogas,14 Biogas + CCS,15 Tidal,16 Large Hydro,17 Onshore,18 Offshore,19 Solar PV,20 CSP,21 Geothermal,22 Wave,23 Fuel Cells,24 CHP
1 Nuclear,0,0.357142857,0.357142857,0.357142857,0.357142857,0.357142857,0.476190476,0.476190476,0.357142857,0.357142857,0.357142857,0.357142857,0.476190476,0.476190476,0.178571429,0.178571429,0.571428571,0.571428571,0.571428571,0.571428571,0.357142857,0.714285714,0.714285714,0.357142857
2 Oil,0.416666667,0,0.625,0.625,0.625,0.625,0.833333333,0.833333333,0.625,0.625,0.625,0.625,0.833333333,0.833333333,0.3125,0.3125,1,1,1,1,0.625,1.25,1.25,0.625
3 Coal,0.416666667,0.625,0,1,0.625,0.625,0.833333333,0.833333333,5,0.625,0.625,0.625,0.833333333,0.833333333,0.3125,0.3125,1,1,1,1,0.625,1.25,1.25,0.625
4 Coal + CCS,0.416666667,0.625,1,0,0.625,0.625,0.833333333,0.833333333,0.625,5,0.625,0.625,0.833333333,0.833333333,0.3125,0.3125,1,1,1,1,0.625,1.25,1.25,0.625
5 IGCC,0.416666667,0.625,0.625,0.625,0,1,1,0.833333333,0.625,0.625,5,0.625,0.833333333,0.833333333,0.3125,0.3125,1,1,1,1,0.625,1.25,1.25,0.625
6 IGCC + CCS,0.416666667,0.625,0.625,0.625,1,0,0.833333333,1,0.625,0.625,0.625,5,0.833333333,0.833333333,0.3125,0.3125,1,1,1,1,0.625,1.25,1.25,0.625
7 CCGT,0.833333333,1.25,1.25,1.25,1,1.25,0,1,1.25,1.25,1.25,1.25,5,1.666666667,0.625,0.625,2,2,2,2,1.25,2.5,2.5,1.25
8 CCGT + CCS,0.833333333,1.25,1.25,1.25,1.25,1,1,0,1.25,1.25,1.25,1.25,1.666666667,5,0.625,0.625,2,2,2,2,1.25,2.5,2.5,1.25
9 Solid Biomass,0.416666667,0.625,5,0.625,0.625,0.625,0.833333333,0.833333333,0,1,0.625,0.625,0.833333333,0.833333333,0.3125,0.3125,1,1,1,1,0.625,1.25,1.25,0.625
10 S Biomass CCS,0.416666667,0.625,0.625,5,0.625,0.625,0.833333333,0.833333333,1,0,0.625,0.625,0.833333333,0.833333333,0.3125,0.3125,1,1,1,1,0.625,1.25,1.25,0.625
11 BIGCC,0.416666667,0.625,0.625,0.625,5,0.625,0.833333333,0.833333333,0.625,0.625,0,1,0.833333333,0.833333333,0.3125,0.3125,1,1,1,1,0.625,1.25,1.25,0.625
12 BIGCC + CCS,0.416666667,0.625,0.625,0.625,0.625,5,0.833333333,0.833333333,0.625,0.625,1,0,0.833333333,0.833333333,0.3125,0.3125,1,1,1,1,0.625,1.25,1.25,0.625
13 Biogas,0.833333333,1.25,1.25,1.25,1.25,1.25,5,1.666666667,1.25,1.25,1.25,1.25,0,1.666666667,0.625,0.625,2,2,2,2,1.25,2.5,2.5,1.25
14 Biogas + CCS,0.833333333,1.25,1.25,1.25,1.25,1.25,1.666666667,5,1.25,1.25,1.25,1.25,1.666666667,0,0.625,0.625,2,2,2,2,1.25,2.5,2.5,1.25
15 Tidal,0.238095238,0.357142857,0.357142857,0.357142857,0.357142857,0.357142857,0.476190476,0.476190476,0.357142857,0.357142857,0.357142857,0.357142857,0.476190476,0.476190476,0,0.178571429,0.571428571,0.571428571,0.571428571,0.571428571,0.357142857,0.714285714,0.714285714,0.357142857
16 Large Hydro,0.238095238,0.357142857,0.357142857,0.357142857,0.357142857,0.357142857,0.476190476,0.476190476,0.357142857,0.357142857,0.357142857,0.357142857,0.476190476,0.476190476,0.178571429,0,0.571428571,0.571428571,0.571428571,0.571428571,0.357142857,0.714285714,0.714285714,0.357142857
17 Onshore,1.666666667,2.5,2.5,2.5,2.5,2.5,3.333333333,3.333333333,2.5,2.5,2.5,2.5,3.333333333,3.333333333,1.25,1.25,0,4,4,4,2.5,5,5,2.5
18 Offshore,1.666666667,2.5,2.5,2.5,2.5,2.5,3.333333333,3.333333333,2.5,2.5,2.5,2.5,3.333333333,3.333333333,1.25,1.25,0,1.5,1.5,4,2.5,5,5,2.5
19 Solar PV,1.666666667,2.5,2.5,2.5,2.5,2.5,3.333333333,3.333333333,2.5,2.5,2.5,2.5,3.333333333,3.333333333,1.25,1.25,1.5,0,1.5,4,2.5,5,5,2.5
20 CSP,1.666666667,2.5,2.5,2.5,2.5,2.5,3.333333333,3.333333333,2.5,2.5,2.5,2.5,3.333333333,3.333333333,1.25,1.25,1.5,1.5,0,0,2.5,5,5,2.5
21 Geothermal,0.416666667,0.625,0.625,0.625,0.625,0.625,0.833333333,0.833333333,0.625,0.625,0.625,0.625,0.833333333,0.833333333,0.3125,0.3125,1,1,1,1,0,1.25,1.25,0.625
22 Wave,1.666666667,2.5,2.5,2.5,2.5,2.5,3.333333333,3.333333333,2.5,2.5,2.5,2.5,3.333333333,3.333333333,1.25,1.25,4,4,4,4,2.5,0,5,2.5
23 Fuel Cells,0.833333333,1.25,1.25,1.25,1.25,1.25,1.666666667,1.666666667,1.25,1.25,1.25,1.25,1.666666667,1.666666667,0.625,0.625,2,2,2,2,1.25,2.5,0,1.25
24 CHP,0.416666667,0.625,0.625,0.625,0.625,0.625,0.833333333,0.833333333,0.625,0.625,0.625,0.625,0.833333333,0.833333333,0.3125,0.3125,1,1,1,1,0.625,1.25,1.25,0
