Technology,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,0.0,0.0,0.0,3.8421,3.8421,3.8421,3.8421,3.8421,3.8421,8.8764,10.7128,11.3096,11.7575,12.2279,12.6816,13.1834,13.7035,14.2434,14.81,15.3854,15.9992,16.4531,16.8402,17.2367,17.6415,18.0615,18.4853,18.9204,19.366,19.8186,20.2769,20.7448,21.2264,21.7149,22.2041,22.7056,23.2269,23.7424,24.2882,24.8306,25.3944,24.758,24.1364,23.5279,22.9358,22.3597,21.7971,21.2484,20.7204,20.2107,19.716
3 Coal,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,11.7863,14.2248,15.0173,15.6119,16.2365,16.839,17.5053,18.1958,18.9128,19.6652,20.4292,21.2442,21.8469,22.3609,22.8873,23.4249,23.9826,24.5454,25.123,25.7148,26.3158,26.9243,27.5456,28.1851,28.8337,29.4833,30.1492,30.8414,31.5258,32.2505,32.9707,33.7194,32.8744,32.049,31.241,30.4548,29.6898,28.9428,28.2143,27.5131,26.8363,26.1795
4 Coal + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.1786,1.4225,1.5017,1.5612,1.6237,1.6839,1.7505,1.8196,1.8913,1.9665,2.0429,2.1244,2.1847,2.2361,2.2887,2.3425,2.3983,2.4545,2.5123,2.5715,2.6316,2.6924,2.7546,2.8185,2.8834,2.9483,3.0149,3.0841,3.1526,3.2251,3.2971,3.3719,3.2874,3.2049,3.1241,3.0455,2.969,2.8943,2.8214,2.7513,2.6836,2.6179
5 IGCC,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,11.7863,14.2248,15.0173,15.6119,16.2365,16.839,17.5053,18.1958,18.9128,19.6652,20.4292,21.2442,21.8469,22.3609,22.8873,23.4249,23.9826,24.5454,25.123,25.7148,26.3158,26.9243,27.5456,28.1851,28.8337,29.4833,30.1492,30.8414,31.5258,32.2505,32.9707,33.7194,32.8744,32.049,31.241,30.4548,29.6898,28.9428,28.2143,27.5131,26.8363,26.1795
6 IGCC + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.1786,1.4225,1.5017,1.5612,1.6237,1.6839,1.7505,1.8196,1.8913,1.9665,2.0429,2.1244,2.1847,2.2361,2.2887,2.3425,2.3983,2.4545,2.5123,2.5715,2.6316,2.6924,2.7546,2.8185,2.8834,2.9483,3.0149,3.0841,3.1526,3.2251,3.2971,3.3719,3.2874,3.2049,3.1241,3.0455,2.969,2.8943,2.8214,2.7513,2.6836,2.6179
7 CCGT,0.0,0.0,0.0,2.5769,2.5769,2.5769,2.5769,2.5769,2.5769,5.9535,7.1852,7.5855,7.8859,8.2014,8.5057,8.8423,9.1911,9.5532,9.9333,10.3192,10.7308,11.0353,11.2949,11.5608,11.8324,12.1141,12.3983,12.6901,12.989,13.2926,13.6,13.9138,14.2368,14.5644,14.8926,15.2289,15.5786,15.9243,16.2903,16.6541,17.0323,16.6055,16.1886,15.7804,15.3833,14.9969,14.6196,14.2516,13.8974,13.5555,13.2237
8 CCGT + CCS,0.0,0.0,0.0,0.2577,0.2577,0.2577,0.2577,0.2577,0.2577,0.5953,0.7185,0.7585,0.7886,0.8201,0.8506,0.8842,0.9191,0.9553,0.9933,1.0319,1.0731,1.1035,1.1295,1.1561,1.1832,1.2114,1.2398,1.269,1.2989,1.3293,1.36,1.3914,1.4237,1.4564,1.4893,1.5229,1.5579,1.5924,1.629,1.6654,1.7032,1.6605,1.6189,1.578,1.5383,1.4997,1.462,1.4252,1.3897,1.3556,1.3224
9 Solid Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 S Biomass CCS,0.0,0.0,0.0,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-11.5789,-13.9744,-14.7529,-15.3371,-15.9508,-16.5427,-17.1972,-17.8756,-18.5799,-19.3191,-20.0697,-20.8703,-21.4624,-21.9673,-22.4845,-23.0126,-23.5605,-24.1133,-24.6808,-25.2622,-25.8526,-26.4504,-27.0608,-27.689,-28.3262,-28.9644,-29.6186,-30.2986,-30.9709,-31.6829,-32.3904,-33.126,-32.2958,-31.485,-30.6911,-29.9188,-29.1673,-28.4334,-27.7177,-27.0289,-26.364,-25.7187
