Technology,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,0.0,0.0,0.0,3.8421,3.8421,3.8421,3.8421,3.8421,3.8421,10.9387,12.7825,13.3468,13.8915,14.4711,15.0012,15.5942,16.2063,16.824,17.4793,18.1538,18.8745,19.3965,19.8373,20.282,20.7331,21.2025,21.6751,22.1601,22.6536,23.157,23.6681,24.1984,24.7439,25.3044,25.8644,26.4436,27.0459,27.641,28.2762,28.9082,29.562,28.8189,28.0959,27.3891,26.6982,26.0219,25.3612,24.7181,24.0909,23.4786,22.8848
3 Coal,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,14.5247,16.973,17.7222,18.4455,19.2151,19.9191,20.7065,21.5192,22.3394,23.2095,24.1052,25.0621,25.7552,26.3405,26.931,27.53,28.1533,28.7809,29.4248,30.0801,30.7486,31.4272,32.1313,32.8556,33.5998,34.3435,35.1126,35.9123,36.7025,37.546,38.3852,39.2533,38.2665,37.3065,36.3681,35.4506,34.5526,33.6753,32.8214,31.9886,31.1755,30.387
4 Coal + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.4525,1.6973,1.7722,1.8446,1.9215,1.9919,2.0706,2.1519,2.2339,2.3209,2.4105,2.5062,2.5755,2.6341,2.6931,2.753,2.8153,2.8781,2.9425,3.008,3.0749,3.1427,3.2131,3.2856,3.36,3.4344,3.5113,3.5912,3.6703,3.7546,3.8385,3.9253,3.8267,3.7306,3.6368,3.5451,3.4553,3.3675,3.2821,3.1989,3.1176,3.0387
5 IGCC,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,14.5247,16.973,17.7222,18.4455,19.2151,19.9191,20.7065,21.5192,22.3394,23.2095,24.1052,25.0621,25.7552,26.3405,26.931,27.53,28.1533,28.7809,29.4248,30.0801,30.7486,31.4272,32.1313,32.8556,33.5998,34.3435,35.1126,35.9123,36.7025,37.546,38.3852,39.2533,38.2665,37.3065,36.3681,35.4506,34.5526,33.6753,32.8214,31.9886,31.1755,30.387
6 IGCC + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.4525,1.6973,1.7722,1.8446,1.9215,1.9919,2.0706,2.1519,2.2339,2.3209,2.4105,2.5062,2.5755,2.6341,2.6931,2.753,2.8153,2.8781,2.9425,3.008,3.0749,3.1427,3.2131,3.2856,3.36,3.4344,3.5113,3.5912,3.6703,3.7546,3.8385,3.9253,3.8267,3.7306,3.6368,3.5451,3.4553,3.3675,3.2821,3.1989,3.1176,3.0387
7 CCGT,0.0,0.0,0.0,2.5769,2.5769,2.5769,2.5769,2.5769,2.5769,7.3367,8.5734,8.9518,9.3172,9.7059,10.0615,10.4592,10.8697,11.2841,11.7236,12.176,12.6593,13.0094,13.3051,13.6034,13.9059,14.2208,14.5378,14.863,15.194,15.5317,15.8745,16.2301,16.596,16.9719,17.3476,17.736,18.14,18.5391,18.9652,19.3891,19.8276,19.3292,18.8442,18.3702,17.9068,17.4532,17.01,16.5787,16.1581,15.7473,15.3491
8 CCGT + CCS,0.0,0.0,0.0,0.2577,0.2577,0.2577,0.2577,0.2577,0.2577,0.7337,0.8573,0.8952,0.9317,0.9706,1.0061,1.0459,1.087,1.1284,1.1724,1.2176,1.2659,1.3009,1.3305,1.3603,1.3906,1.4221,1.4538,1.4863,1.5194,1.5532,1.5874,1.623,1.6596,1.6972,1.7348,1.7736,1.814,1.8539,1.8965,1.9389,1.9828,1.9329,1.8844,1.837,1.7907,1.7453,1.701,1.6579,1.6158,1.5747,1.5349
9 Solid Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 S Biomass CCS,0.0,0.0,0.0,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-14.2691,-16.6743,-17.4103,-18.1209,-18.8769,-19.5685,-20.342,-21.1404,-21.9463,-22.801,-23.6809,-24.621,-25.3019,-25.8769,-26.457,-27.0454,-27.6578,-28.2743,-28.907,-29.5506,-30.2074,-30.8741,-31.5658,-32.2774,-33.0085,-33.7391,-34.4946,-35.2802,-36.0566,-36.8852,-37.7096,-38.5624,-37.593,-36.6499,-35.728,-34.8267,-33.9445,-33.0826,-32.2437,-31.4256,-30.6268,-29.8522
