Technology,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,0.0,0.0,0.0,3.8421,3.8421,3.8421,3.8421,3.8421,3.8421,11.145,13.9066,14.3301,14.8929,15.4284,16.1183,16.7771,17.4578,18.1627,18.902,19.6559,20.4563,21.0207,21.4973,21.9827,22.4751,22.9871,23.5022,24.0324,24.5768,25.1317,25.6957,26.278,26.8768,27.4897,28.1032,28.738,29.4007,30.0568,30.7568,31.4548,32.178,31.3809,30.6024,29.842,29.0995,28.3745,27.6665,26.9759,26.303,25.6484,25.0107
3 Coal,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,14.7986,18.4655,19.0279,19.7752,20.4862,21.4024,22.2771,23.1809,24.1169,25.0986,26.0997,27.1624,27.9119,28.5447,29.1892,29.8431,30.523,31.2068,31.9109,32.6338,33.3706,34.1195,34.8926,35.6878,36.5017,37.3162,38.1592,39.0391,39.9103,40.8398,41.7666,42.7269,41.6684,40.6348,39.6251,38.6392,37.6765,36.7364,35.8194,34.9259,34.0566,33.21
4 Coal + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.4799,1.8466,1.9028,1.9775,2.0486,2.1402,2.2277,2.3181,2.4117,2.5099,2.61,2.7162,2.7912,2.8545,2.9189,2.9843,3.0523,3.1207,3.1911,3.2634,3.3371,3.412,3.4893,3.5688,3.6502,3.7316,3.8159,3.9039,3.991,4.084,4.1767,4.2727,4.1668,4.0635,3.9625,3.8639,3.7676,3.6736,3.5819,3.4926,3.4057,3.321
5 IGCC,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,14.7986,18.4655,19.0279,19.7752,20.4862,21.4024,22.2771,23.1809,24.1169,25.0986,26.0997,27.1624,27.9119,28.5447,29.1892,29.8431,30.523,31.2068,31.9109,32.6338,33.3706,34.1195,34.8926,35.6878,36.5017,37.3162,38.1592,39.0391,39.9103,40.8398,41.7666,42.7269,41.6684,40.6348,39.6251,38.6392,37.6765,36.7364,35.8194,34.9259,34.0566,33.21
6 IGCC + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.4799,1.8466,1.9028,1.9775,2.0486,2.1402,2.2277,2.3181,2.4117,2.5099,2.61,2.7162,2.7912,2.8545,2.9189,2.9843,3.0523,3.1207,3.1911,3.2634,3.3371,3.412,3.4893,3.5688,3.6502,3.7316,3.8159,3.9039,3.991,4.084,4.1767,4.2727,4.1668,4.0635,3.9625,3.8639,3.7676,3.6736,3.5819,3.4926,3.4057,3.321
7 CCGT,0.0,0.0,0.0,2.5769,2.5769,2.5769,2.5769,2.5769,2.5769,7.4751,9.3273,9.6113,9.9888,10.348,10.8107,11.2526,11.7091,12.1819,12.6778,13.1835,13.7203,14.0988,14.4185,14.744,15.0743,15.4177,15.7632,16.1188,16.484,16.8561,17.2344,17.6249,18.0266,18.4377,18.8491,19.2749,19.7194,20.1595,20.629,21.0971,21.5821,21.0475,20.5254,20.0154,19.5174,19.0311,18.5562,18.093,17.6417,17.2026,16.775
8 CCGT + CCS,0.0,0.0,0.0,0.2577,0.2577,0.2577,0.2577,0.2577,0.2577,0.7475,0.9327,0.9611,0.9989,1.0348,1.0811,1.1253,1.1709,1.2182,1.2678,1.3183,1.372,1.4099,1.4418,1.4744,1.5074,1.5418,1.5763,1.6119,1.6484,1.6856,1.7234,1.7625,1.8027,1.8438,1.8849,1.9275,1.9719,2.0159,2.0629,2.1097,2.1582,2.1048,2.0525,2.0015,1.9517,1.9031,1.8556,1.8093,1.7642,1.7203,1.6775
9 Solid Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 S Biomass CCS,0.0,0.0,0.0,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-14.5382,-18.1405,-18.693,-19.4272,-20.1257,-21.0257,-21.885,-22.773,-23.6925,-24.6569,-25.6403,-26.6844,-27.4207,-28.0423,-28.6755,-29.3178,-29.9858,-30.6576,-31.3493,-32.0595,-32.7832,-33.519,-34.2785,-35.0597,-35.8592,-36.6594,-37.4875,-38.352,-39.2079,-40.121,-41.0315,-41.9749,-40.935,-39.9196,-38.9277,-37.9591,-37.0134,-36.0898,-35.1889,-34.3112,-33.4572,-32.6255
11 BIGCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12 BIGCC + CCS,0.0,0.0,0.0,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-14.5382,-18.1405,-18.693,-19.4272,-20.1257,-21.0257,-21.885,-22.773,-23.6925,-24.6569,-25.6403,-26.6844,-27.4207,-28.0423,-28.6755,-29.3178,-29.9858,-30.6576,-31.3493,-32.0595,-32.7832,-33.519,-34.2785,-35.0597,-35.8592,-36.6594,-37.4875,-38.352,-39.2079,-40.121,-41.0315,-41.9749,-40.935,-39.9196,-38.9277,-37.9591,-37.0134,-36.0898,-35.1889,-34.3112,-33.4572,-32.6255
13 Biogas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14 Biogas + CCS,0.0,0.0,0.0,-1.9234,-1.9234,-1.9234,-1.9234,-1.9234,-1.9234,-5.5794,-6.9619,-7.1739,-7.4557,-7.7238,-8.0692,-8.399,-8.7397,-9.0926,-9.4627,-9.8402,-10.2408,-10.5234,-10.762,-11.005,-11.2515,-11.5078,-11.7657,-12.0311,-12.3037,-12.5814,-12.8638,-13.1553,-13.4551,-13.7619,-14.069,-14.3868,-14.7186,-15.0471,-15.3975,-15.7469,-16.109,-15.7099,-15.3202,-14.9395,-14.5678,-14.2049,-13.8504,-13.5047,-13.1678,-12.8401,-12.5209
15 Tidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16 Large Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17 Onshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18 Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 Solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20 CSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21 Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22 Wave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23 Fuel Cells,0.0,0.0,0.0,1.8361,1.8361,1.8361,1.8361,1.8361,1.8361,5.326,6.6457,6.8481,7.117,7.3729,7.7027,8.0175,8.3428,8.6796,9.0329,9.3932,9.7757,10.0454,10.2732,10.5051,10.7404,10.9851,11.2313,11.4847,11.7448,12.01,12.2795,12.5578,12.8439,13.1368,13.43,13.7334,14.05,14.3636,14.6981,15.0317,15.3773,14.9963,14.6243,14.2609,13.9061,13.5597,13.2213,12.8913,12.5697,12.2569,11.9522
