Technology,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,0.0,0.0,0.0,3.8421,3.8421,3.8421,3.8421,3.8421,3.8421,11.0316,12.9489,13.6006,14.1606,14.6691,15.1699,15.7309,16.3046,16.8846,17.4925,18.1085,18.7647,19.2754,19.7085,20.1468,20.5911,21.0553,21.5259,22.0099,22.5092,23.0149,23.5294,24.0645,24.615,25.1792,25.7408,26.3215,26.9271,27.5253,28.1642,28.8004,29.4615,28.7325,28.0207,27.3269,26.6491,25.988,25.3424,24.7133,24.1015,23.506,22.9263
3 Coal,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,14.6481,17.1939,18.0593,18.8028,19.478,20.143,20.8879,21.6497,22.4198,23.227,24.045,24.9164,25.5944,26.1695,26.7515,27.3414,27.9578,28.5826,29.2254,29.8883,30.5599,31.243,31.9536,32.6845,33.4336,34.1793,34.9504,35.7546,36.5489,37.3972,38.242,39.1198,38.1518,37.2066,36.2855,35.3855,34.5076,33.6504,32.8151,32.0027,31.212,30.4423
4 Coal + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.4648,1.7194,1.8059,1.8803,1.9478,2.0143,2.0888,2.165,2.242,2.3227,2.4045,2.4916,2.5594,2.617,2.6751,2.7341,2.7958,2.8583,2.9225,2.9888,3.056,3.1243,3.1954,3.2685,3.3434,3.4179,3.495,3.5755,3.6549,3.7397,3.8242,3.912,3.8152,3.7207,3.6285,3.5385,3.4508,3.365,3.2815,3.2003,3.1212,3.0442
5 IGCC,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,14.6481,17.1939,18.0593,18.8028,19.478,20.143,20.8879,21.6497,22.4198,23.227,24.045,24.9164,25.5944,26.1695,26.7515,27.3414,27.9578,28.5826,29.2254,29.8883,30.5599,31.243,31.9536,32.6845,33.4336,34.1793,34.9504,35.7546,36.5489,37.3972,38.242,39.1198,38.1518,37.2066,36.2855,35.3855,34.5076,33.6504,32.8151,32.0027,31.212,30.4423
6 IGCC + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.4648,1.7194,1.8059,1.8803,1.9478,2.0143,2.0888,2.165,2.242,2.3227,2.4045,2.4916,2.5594,2.617,2.6751,2.7341,2.7958,2.8583,2.9225,2.9888,3.056,3.1243,3.1954,3.2685,3.3434,3.4179,3.495,3.5755,3.6549,3.7397,3.8242,3.912,3.8152,3.7207,3.6285,3.5385,3.4508,3.365,3.2815,3.2003,3.1212,3.0442
7 CCGT,0.0,0.0,0.0,2.5769,2.5769,2.5769,2.5769,2.5769,2.5769,7.399,8.685,9.1221,9.4977,9.8387,10.1746,10.5509,10.9357,11.3247,11.7324,12.1456,12.5857,12.9282,13.2187,13.5127,13.8107,14.122,14.4376,14.7623,15.0972,15.4364,15.7814,16.1404,16.5096,16.888,17.2646,17.6541,18.0603,18.4615,18.89,19.3168,19.7601,19.2712,18.7938,18.3285,17.8739,17.4304,16.9974,16.5755,16.1651,15.7657,15.377
8 CCGT + CCS,0.0,0.0,0.0,0.2577,0.2577,0.2577,0.2577,0.2577,0.2577,0.7399,0.8685,0.9122,0.9498,0.9839,1.0175,1.0551,1.0936,1.1325,1.1732,1.2146,1.2586,1.2928,1.3219,1.3513,1.3811,1.4122,1.4438,1.4762,1.5097,1.5436,1.5781,1.614,1.651,1.6888,1.7265,1.7654,1.806,1.8462,1.889,1.9317,1.976,1.9271,1.8794,1.8328,1.7874,1.743,1.6997,1.6576,1.6165,1.5766,1.5377
9 Solid Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 S Biomass CCS,0.0,0.0,0.0,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-14.3903,-16.8913,-17.7415,-18.4719,-19.1352,-19.7885,-20.5203,-21.2687,-22.0252,-22.8182,-23.6218,-24.4778,-25.1439,-25.7089,-26.2807,-26.8602,-27.4658,-28.0796,-28.711,-29.3623,-30.022,-30.6931,-31.3912,-32.1093,-32.8452,-33.5778,-34.3353,-35.1253,-35.9056,-36.739,-37.569,-38.4313,-37.4803,-36.5518,-35.6468,-34.7627,-33.9003,-33.0581,-32.2375,-31.4394,-30.6626,-29.9065
11 BIGCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12 BIGCC + CCS,0.0,0.0,0.0,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-14.3903,-16.8913,-17.7415,-18.4719,-19.1352,-19.7885,-20.5203,-21.2687,-22.0252,-22.8182,-23.6218,-24.4778,-25.1439,-25.7089,-26.2807,-26.8602,-27.4658,-28.0796,-28.711,-29.3623,-30.022,-30.6931,-31.3912,-32.1093,-32.8452,-33.5778,-34.3353,-35.1253,-35.9056,-36.739,-37.569,-38.4313,-37.4803,-36.5518,-35.6468,-34.7627,-33.9003,-33.0581,-32.2375,-31.4394,-30.6626,-29.9065
13 Biogas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14 Biogas + CCS,0.0,0.0,0.0,-1.9234,-1.9234,-1.9234,-1.9234,-1.9234,-1.9234,-5.5227,-6.4825,-6.8088,-7.0891,-7.3436,-7.5943,-7.8752,-8.1624,-8.4528,-8.7571,-9.0655,-9.394,-9.6496,-9.8665,-10.0859,-10.3083,-10.5407,-10.7763,-11.0186,-11.2686,-11.5217,-11.7793,-12.0472,-12.3228,-12.6052,-12.8864,-13.1771,-13.4803,-13.7797,-14.0996,-14.4181,-14.749,-14.3841,-14.0277,-13.6804,-13.3411,-13.0101,-12.6869,-12.372,-12.0657,-11.7676,-11.4774
15 Tidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16 Large Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17 Onshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18 Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 Solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20 CSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21 Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
