Technology,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
12 BIGCC + CCS,0.0,0.0,0.0,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-14.7747,-17.5823,-18.5556,-19.4204,-20.3714,-21.306,-22.3163,-23.3585,-24.4418,-25.5781,-26.7441,-27.9763,-28.8879,-29.7223,-30.5748,-31.4452,-32.351,-33.2634,-34.2062,-35.176,-36.1683,-37.18,-38.2323,-39.3165,-40.429,-41.5511,-42.7114,-43.9114,-45.108,-46.3799,-47.6578,-48.988,-48.0057,-47.0422,-46.0954,-45.1652,-44.251,-43.3505,-42.4676,-41.5985,-40.7486,-39.9132
13 Biogas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14 Biogas + CCS,0.0,0.0,0.0,-1.9234,-1.9234,-1.9234,-1.9234,-1.9234,-1.9234,-5.6702,-6.7477,-7.1212,-7.4531,-7.8181,-8.1767,-8.5645,-8.9644,-9.3802,-9.8163,-10.2638,-10.7366,-11.0865,-11.4067,-11.7339,-12.0679,-12.4156,-12.7657,-13.1275,-13.4997,-13.8805,-14.2688,-14.6727,-15.0888,-15.5157,-15.9463,-16.3916,-16.8522,-17.3114,-17.7995,-18.29,-18.8004,-18.4234,-18.0537,-17.6903,-17.3334,-16.9825,-16.6369,-16.2981,-15.9645,-15.6383,-15.3177
15 Tidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16 Large Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17 Onshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18 Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 Solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20 CSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21 Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22 Wave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23 Fuel Cells,0.0,0.0,0.0,1.8361,1.8361,1.8361,1.8361,1.8361,1.8361,5.4126,6.4412,6.7977,7.1146,7.463,7.8054,8.1755,8.5573,8.9541,9.3704,9.7976,10.249,10.583,10.8886,11.2009,11.5198,11.8516,12.1859,12.5313,12.8865,13.2501,13.6207,14.0062,14.4034,14.811,15.222,15.6471,16.0867,16.5251,16.991,17.4592,17.9465,17.5866,17.2337,16.8868,16.5461,16.2111,15.8813,15.5578,15.2394,14.928,14.622
24 CHP,0.0,0.0,0.0,1.8361,1.8361,1.8361,1.8361,1.8361,1.8361,5.4126,6.4412,6.7977,7.1146,7.463,7.8054,8.1755,8.5573,8.9541,9.3704,9.7976,10.249,10.583,10.8886,11.2009,11.5198,11.8516,12.1859,12.5313,12.8865,13.2501,13.6207,14.0062,14.4034,14.811,15.222,15.6471,16.0867,16.5251,16.991,17.4592,17.9465,17.5866,17.2337,16.8868,16.5461,16.2111,15.8813,15.5578,15.2394,14.928,14.622
