Technology,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,0.0,0.0,0.0,3.8421,3.8421,3.8421,3.8421,3.8421,3.8421,11.8765,16.3955,17.0256,17.6955,18.9237,19.6568,20.4764,21.3329,22.2038,23.1433,24.0992,25.1131,25.8189,26.4177,27.0262,27.6448,28.2873,28.9323,29.5987,30.2831,30.9806,31.6883,32.4208,33.1747,33.9468,34.7185,35.5156,36.3464,37.1677,38.0433,38.916,39.8227,38.8462,37.8934,36.9629,36.0542,35.1668,34.3004,33.4557,32.6331,31.8336,31.0556
3 Coal,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,15.77,21.7705,22.6071,23.4965,25.1274,26.1009,27.1892,28.3264,29.4829,30.7303,31.9997,33.3459,34.283,35.0781,35.8861,36.7075,37.5606,38.4171,39.302,40.2108,41.137,42.0766,43.0492,44.0503,45.0756,46.1002,47.1587,48.2618,49.3523,50.515,51.6738,52.8778,51.5811,50.3159,49.0804,47.8738,46.6955,45.5451,44.4234,43.3312,42.2695,41.2365
4 Coal + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.577,2.177,2.2607,2.3497,2.5127,2.6101,2.7189,2.8326,2.9483,3.073,3.2,3.3346,3.4283,3.5078,3.5886,3.6708,3.7561,3.8417,3.9302,4.0211,4.1137,4.2077,4.3049,4.405,4.5076,4.61,4.7159,4.8262,4.9352,5.0515,5.1674,5.2878,5.1581,5.0316,4.908,4.7874,4.6695,4.5545,4.4423,4.3331,4.227,4.1236
5 IGCC,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,15.77,21.7705,22.6071,23.4965,25.1274,26.1009,27.1892,28.3264,29.4829,30.7303,31.9997,33.3459,34.283,35.0781,35.8861,36.7075,37.5606,38.4171,39.302,40.2108,41.137,42.0766,43.0492,44.0503,45.0756,46.1002,47.1587,48.2618,49.3523,50.515,51.6738,52.8778,51.5811,50.3159,49.0804,47.8738,46.6955,45.5451,44.4234,43.3312,42.2695,41.2365
6 IGCC + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.577,2.177,2.2607,2.3497,2.5127,2.6101,2.7189,2.8326,2.9483,3.073,3.2,3.3346,3.4283,3.5078,3.5886,3.6708,3.7561,3.8417,3.9302,4.0211,4.1137,4.2077,4.3049,4.405,4.5076,4.61,4.7159,4.8262,4.9352,5.0515,5.1674,5.2878,5.1581,5.0316,4.908,4.7874,4.6695,4.5545,4.4423,4.3331,4.227,4.1236
7 CCGT,0.0,0.0,0.0,2.5769,2.5769,2.5769,2.5769,2.5769,2.5769,7.9657,10.9967,11.4193,11.8685,12.6923,13.1841,13.7338,14.3082,14.8924,15.5225,16.1636,16.8436,17.317,17.7186,18.1268,18.5417,18.9726,19.4052,19.8522,20.3112,20.7791,21.2537,21.745,22.2506,22.7685,23.2861,23.8207,24.3779,24.9288,25.5161,26.1014,26.7096,26.0546,25.4155,24.7915,24.182,23.5868,23.0057,22.4391,21.8874,21.3511,20.8293
8 CCGT + CCS,0.0,0.0,0.0,0.2577,0.2577,0.2577,0.2577,0.2577,0.2577,0.7966,1.0997,1.1419,1.1869,1.2692,1.3184,1.3734,1.4308,1.4892,1.5522,1.6164,1.6844,1.7317,1.7719,1.8127,1.8542,1.8973,1.9405,1.9852,2.0311,2.0779,2.1254,2.1745,2.2251,2.2769,2.3286,2.3821,2.4378,2.4929,2.5516,2.6101,2.671,2.6055,2.5416,2.4791,2.4182,2.3587,2.3006,2.2439,2.1887,2.1351,2.0829
9 Solid Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 S Biomass CCS,0.0,0.0,0.0,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-15.4924,-21.3873,-22.2092,-23.083,-24.6851,-25.6415,-26.7107,-27.8279,-28.964,-30.1895,-31.4365,-32.759,-33.6796,-34.4607,-35.2546,-36.0615,-36.8996,-37.741,-38.6102,-39.5031,-40.413,-41.3361,-42.2915,-43.275,-44.2823,-45.2888,-46.3287,-47.4124,-48.4837,-49.6259,-50.7644,-51.9471,-50.6732,-49.4303,-48.2166,-47.0313,-45.8736,-44.7435,-43.6415,-42.5686,-41.5256,-40.5107
