Technology,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,0.0,0.0,0.0,3.8421,3.8421,3.8421,3.8421,3.8421,3.8421,10.9956,13.2951,13.8259,14.3537,14.8632,15.4039,16.0019,16.6168,17.3304,18.0034,18.6904,19.4217,19.9666,20.4341,20.9124,21.4007,21.9089,22.4194,22.9429,23.4777,24.0172,24.5597,25.1152,25.6818,26.2583,26.8306,27.4215,28.039,28.6533,29.3147,29.98,30.6764,29.9271,29.1976,28.4851,27.7855,27.0965,26.4167,25.7475,25.0898,24.4458,23.8167
3 Coal,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,14.6003,17.6536,18.3585,19.0593,19.7358,20.4538,21.2478,22.0642,23.0119,23.9055,24.8176,25.7887,26.5122,27.133,27.7681,28.4165,29.0912,29.7691,30.4643,31.1743,31.8907,32.6111,33.3487,34.101,34.8666,35.6265,36.4111,37.2309,38.0466,38.9248,39.8083,40.733,39.738,38.7694,37.8233,36.8943,35.9795,35.0768,34.1883,33.315,32.4599,31.6245
4 Coal + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.46,1.7654,1.8358,1.9059,1.9736,2.0454,2.1248,2.2064,2.3012,2.3905,2.4818,2.5789,2.6512,2.7133,2.7768,2.8417,2.9091,2.9769,3.0464,3.1174,3.1891,3.2611,3.3349,3.4101,3.4867,3.5626,3.6411,3.7231,3.8047,3.8925,3.9808,4.0733,3.9738,3.8769,3.7823,3.6894,3.5979,3.5077,3.4188,3.3315,3.246,3.1625
5 IGCC,0.0,0.0,0.0,5.1016,5.1016,5.1016,5.1016,5.1016,5.1016,14.6003,17.6536,18.3585,19.0593,19.7358,20.4538,21.2478,22.0642,23.0119,23.9055,24.8176,25.7887,26.5122,27.133,27.7681,28.4165,29.0912,29.7691,30.4643,31.1743,31.8907,32.6111,33.3487,34.101,34.8666,35.6265,36.4111,37.2309,38.0466,38.9248,39.8083,40.733,39.738,38.7694,37.8233,36.8943,35.9795,35.0768,34.1883,33.315,32.4599,31.6245
6 IGCC + CCS,0.0,0.0,0.0,0.5102,0.5102,0.5102,0.5102,0.5102,0.5102,1.46,1.7654,1.8358,1.9059,1.9736,2.0454,2.1248,2.2064,2.3012,2.3905,2.4818,2.5789,2.6512,2.7133,2.7768,2.8417,2.9091,2.9769,3.0464,3.1174,3.1891,3.2611,3.3349,3.4101,3.4867,3.5626,3.6411,3.7231,3.8047,3.8925,3.9808,4.0733,3.9738,3.8769,3.7823,3.6894,3.5979,3.5077,3.4188,3.3315,3.246,3.1625
7 CCGT,0.0,0.0,0.0,2.5769,2.5769,2.5769,2.5769,2.5769,2.5769,7.3749,8.9172,9.2732,9.6272,9.9689,10.3316,10.7327,11.1451,11.6237,12.0751,12.5358,13.0264,13.3918,13.7054,14.0262,14.3537,14.6945,15.037,15.3881,15.7467,16.1086,16.4725,16.845,17.2251,17.6118,17.9956,18.3919,18.806,19.2181,19.6617,20.1079,20.575,20.0724,19.5831,19.1053,18.636,18.1739,17.718,17.2692,16.828,16.3961,15.9741
8 CCGT + CCS,0.0,0.0,0.0,0.2577,0.2577,0.2577,0.2577,0.2577,0.2577,0.7375,0.8917,0.9273,0.9627,0.9969,1.0332,1.0733,1.1145,1.1624,1.2075,1.2536,1.3026,1.3392,1.3705,1.4026,1.4354,1.4695,1.5037,1.5388,1.5747,1.6109,1.6472,1.6845,1.7225,1.7612,1.7996,1.8392,1.8806,1.9218,1.9662,2.0108,2.0575,2.0072,1.9583,1.9105,1.8636,1.8174,1.7718,1.7269,1.6828,1.6396,1.5974
9 Solid Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 S Biomass CCS,0.0,0.0,0.0,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-14.3433,-17.3429,-18.0353,-18.7238,-19.3885,-20.0938,-20.8739,-21.6759,-22.6068,-23.4847,-24.3808,-25.3348,-26.0456,-26.6555,-27.2794,-27.9164,-28.5792,-29.2452,-29.9281,-30.6257,-31.3294,-32.0371,-32.7617,-33.5008,-34.2529,-34.9994,-35.7703,-36.5757,-37.377,-38.2398,-39.1077,-40.0161,-39.0386,-38.087,-37.1576,-36.245,-35.3462,-34.4594,-33.5866,-32.7286,-31.8886,-31.0679
11 BIGCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12 BIGCC + CCS,0.0,0.0,0.0,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-5.0118,-14.3433,-17.3429,-18.0353,-18.7238,-19.3885,-20.0938,-20.8739,-21.6759,-22.6068,-23.4847,-24.3808,-25.3348,-26.0456,-26.6555,-27.2794,-27.9164,-28.5792,-29.2452,-29.9281,-30.6257,-31.3294,-32.0371,-32.7617,-33.5008,-34.2529,-34.9994,-35.7703,-36.5757,-37.377,-38.2398,-39.1077,-40.0161,-39.0386,-38.087,-37.1576,-36.245,-35.3462,-34.4594,-33.5866,-32.7286,-31.8886,-31.0679
13 Biogas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14 Biogas + CCS,0.0,0.0,0.0,-1.9234,-1.9234,-1.9234,-1.9234,-1.9234,-1.9234,-5.5046,-6.6558,-6.9215,-7.1858,-7.4408,-7.7115,-8.0109,-8.3187,-8.676,-9.0129,-9.3568,-9.7229,-9.9957,-10.2297,-10.4692,-10.7137,-10.968,-11.2236,-11.4857,-11.7534,-12.0235,-12.2951,-12.5732,-12.8568,-13.1455,-13.432,-13.7278,-14.0369,-14.3444,-14.6755,-15.0086,-15.3572,-14.9821,-14.6169,-14.2602,-13.91,-13.565,-13.2247,-12.8897,-12.5605,-12.2381,-11.9231
15 Tidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16 Large Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17 Onshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18 Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 Solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20 CSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21 Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22 Wave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
