,Gamma
411,0.0
412,0.0
413,-0.04
414,-0.48
415,-0.3
416,-0.55
417,-0.5
418,-0.41
419,-0.4
420,-0.42
421,0.0
422,0.0
423,-0.57
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,Gamma
433,0.52
434,0.18
435,-0.41
436,0.0
437,0.0
438,0.0
439,0.53
440,0.12
441,-0.2
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.14
450,-0.3
451,-0.34
452,-0.27
453,-0.4
454,-0.27
455,-0.21
456,-0.5
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,Gamma
469,0.5
470,0.11
471,-0.42
472,0.0
473,0.0
474,0.0
475,0.51
476,0.12
477,-0.25
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,-0.2
486,-0.4
487,-0.32
488,-0.39
489,-0.45
490,-0.43
491,-0.26
492,-0.37
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,Gamma
505,0.22
506,-0.02
507,-0.59
508,0.0
509,0.0
510,0.0
511,0.38
512,-0.08
513,-0.38
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,-0.05
521,-0.25
522,-0.43
523,-0.07
524,-0.44
525,-0.61
526,-0.21
527,-0.42
528,-0.52
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,Gamma
541,0.39
542,0.07
543,-0.47
544,0.0
545,0.0
546,0.0
547,0.0
548,-0.04
549,-0.41
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,-0.13
558,-0.37
559,-0.33
560,-0.26
561,-0.67
562,0.0
563,-0.2
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,Gamma
577,0.38
578,-0.0
579,-0.46
580,0.0
581,0.0
582,0.0
583,0.43
584,-0.02
585,-0.29
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.14
594,0.0
595,-0.18
596,-0.4
597,-0.65
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,Gamma
613,0.22
614,-0.06
615,-0.68
616,0.0
617,0.0
618,0.0
619,0.26
620,-0.18
621,-0.39
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.07
630,0.0
631,0.0
632,-0.44
633,0.0
634,0.0
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,Gamma
649,0.43
650,0.08
651,-0.51
652,0.0
653,0.0
654,0.0
655,0.48
656,-0.03
657,-0.34
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.23
666,0.0
667,0.0
668,-0.32
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,Gamma
685,0.41
686,0.08
687,-0.48
688,0.0
689,0.0
690,0.0
691,0.47
692,-0.01
693,-0.28
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,-0.3
705,0.0
706,0.0
707,-0.03
708,-0.44
709,0.0
710,0.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,Gamma
721,0.36
722,-0.0
723,-0.58
724,0.0
725,0.0
726,0.0
727,0.36
728,-0.04
729,-0.34
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
738,0.0
739,0.0
740,-0.36
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,0.0
756,Gamma
757,0.2
758,-0.15
759,-0.74
760,0.0
761,0.0
762,0.0
763,0.19
764,-0.26
765,-0.55
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,-0.04
774,0.0
775,0.0
776,-0.48
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.0
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,Gamma
793,0.12
794,-0.28
795,-0.66
796,0.0
797,0.0
798,0.0
799,0.1
800,-0.27
801,-0.46
802,0.0
803,0.0
804,0.0
805,0.0
806,0.0
807,0.0
808,0.0
809,0.2
810,0.1
811,-0.37
812,-0.43
813,-0.5
814,0.0
815,-0.49
816,-0.38
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
824,0.0
825,0.0
826,0.0
827,0.0
828,Gamma
829,0.37
830,0.02
831,-0.44
832,0.0
833,0.0
834,0.0
835,0.37
836,-0.04
837,-0.31
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,-0.15
846,-0.6
847,-0.19
848,-0.45
849,-0.49
850,0.0
851,-0.17
852,0.0
853,0.0
854,0.0
855,0.0
856,0.0
857,0.0
