Model,Cost_var,Cost index,Electricity_index
FTT-H,BHTC,9,"8,9,10,11"
FTT-Tr,BTTC,2,"18,19,20"
FTT-Fr,BZTC,2,"30,31,32,33,34"
FTT-IH-CHI,BIC1,9,"4,6,11"
FTT-IH-FBT,BIC2,9,"4,6,11"
FTT-IH-MTM,BIC3,9,"4,6,11"
FTT-IH-NMM,BIC4,9,"4,6,11"
FTT-IH-OIS2,BIC5,9,"4,6,11"
