;FR
1 Nuclear;0.5468
2 Oil;0.0247
3 Coal;0.0296
4 Coal + CCS;0.0
5 IGCC;0.0001
6 IGCC + CCS;0.0
7 CCGT;0.073
8 CCGT + CCS;0.0001
9 Solid Biomass;0.014
10 S Biomass CCS;0.0
11 BIGCC;0.0001
12 BIGCC + CCS;0.0
13 Biogas;0.0067
14 Biogas + CCS;0.0
15 Tidal;0.0018
16 Large Hydro;0.1781
17 Onshore;0.0645
18 Offshore;0.0
19 Solar PV;0.0595
20 CSP;0.0
21 Geothermal;0.0001
22 Wave;0.0
23 Fuel Cells;0.0009
;0.0
