;FR
1 Nuclear;0.3409
2 Oil;0.0376
3 Coal;0.0197
4 Coal + CCS;0.0001
5 IGCC;0.0005
6 IGCC + CCS;0.0001
7 CCGT;0.1087
8 CCGT + CCS;0.0008
9 Solid Biomass;0.0158
10 S Biomass CCS;0.0001
11 BIGCC;0.0005
12 BIGCC + CCS;0.0002
13 Biogas;0.0101
14 Biogas + CCS;0.0
15 Tidal;0.0022
16 Large Hydro;0.1785
17 Onshore;0.1559
18 Offshore;0.0016
19 Solar PV;0.1259
20 CSP;0.0001
21 Geothermal;0.0001
22 Wave;0.0
23 Fuel Cells;0.0006
24 CHP;0.0
