Gamma
-0.1
-0.2
0.14
-0.22
-0.05
0.24
0.25
0.11
0.01
-0.62
-0.61
-0.29
-0.28
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.3
-0.44
0.12
-0.46
0.1
0.46
0.01
-0.12
0.01
-0.38
-0.6
-0.18
-0.17
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
0.02
0.07
0.07
-0.15
-0.28
0.11
0.03
-0.03
0.16
0.01
-0.51
0.08
-0.05
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.11
-0.15
-0.03
-0.47
-0.19
0.15
-0.0
0.16
0.05
-0.13
-0.47
-0.08
0.14
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
0.04
-0.33
-0.06
-0.43
-0.13
0.17
0.05
0.01
0.01
-0.33
-0.53
-0.05
0.3
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.19
-0.36
-0.07
-0.22
-0.2
0.13
0.29
0.28
0.04
-0.05
-0.43
-0.37
0.07
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.02
-0.25
0.09
-0.13
0.27
0.1
0.16
0.0
0.01
-0.14
-0.53
-0.29
0.04
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.09
-0.26
-0.09
-0.33
-0.14
-0.04
0.01
0.36
0.01
-0.36
-0.59
0.09
0.12
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
0.08
0.11
-0.06
0.05
0.35
0.16
0.01
-0.1
-0.52
-0.55
-0.37
-0.43
-0.27
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
0.34
-0.14
0.24
0.02
-0.16
0.22
0.05
0.05
0.03
-0.21
-0.17
0.35
-0.1
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.12
-0.02
0.0
-0.19
-0.16
0.19
-0.15
0.2
-0.0
-0.17
-0.45
0.26
0.18
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.09
-0.68
-0.17
-0.37
-0.34
-0.31
0.01
0.21
0.05
0.02
-0.41
-0.11
0.33
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.07
-0.21
-0.08
-0.43
-0.18
-0.02
0.05
0.1
-0.02
-0.44
-0.77
-0.37
-0.47
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.39
-0.66
-0.34
-0.4
-0.12
-0.06
0.01
-0.04
-0.47
-0.2
-0.31
0.17
-0.34
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
0.45
-0.17
0.37
-0.07
-0.04
0.01
-0.14
0.05
-0.01
-0.66
-0.66
-0.51
-0.63
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.08
-0.13
0.14
-0.4
-0.32
-0.26
0.25
0.03
-0.55
-0.42
-0.67
0.16
-0.17
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
0.21
0.15
-0.0
-0.31
-0.18
-0.16
0.03
0.04
0.0
-0.21
-0.27
0.24
-0.49
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.22
-0.17
0.0
0.0
0.0
0.0
0.0
0.0
0.08
-0.19
-0.47
-0.32
0.04
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.08
-0.22
-0.19
-0.41
-0.15
-0.04
0.13
0.18
0.0
-0.32
-0.58
-0.34
-0.41
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.16
-0.17
-0.03
-0.22
-0.03
0.05
-0.03
0.13
0.01
-0.39
-0.35
-0.17
-0.48
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.12
0.03
-0.2
-0.15
0.0
0.18
0.55
0.12
-0.45
-0.47
-0.54
0.18
-0.26
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.09
-0.3
0.0
0.0
0.0
0.0
0.0
0.0
-0.18
-0.72
-0.34
0.16
0.45
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.02
0.02
0.15
-0.21
-0.3
-0.53
0.38
0.29
-0.08
-0.6
-0.58
-0.28
-0.55
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.11
-0.23
0.05
-0.31
0.07
0.01
0.01
0.22
-0.29
-0.4
-0.26
-0.27
-0.16
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
0.16
0.03
0.13
-0.11
-0.16
-0.49
0.06
-0.03
-0.03
-0.25
-0.52
-0.22
0.06
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.08
-0.47
-0.24
-0.5
-0.3
-0.2
0.07
0.41
-0.07
-0.34
-0.2
-0.2
-0.24
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
0.02
-0.3
0.05
-0.18
-0.33
0.01
0.12
0.22
0.06
-0.21
-0.54
-0.32
-0.07
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
0.03
0.02
0.07
-0.31
-0.31
-0.41
0.01
-0.31
-0.25
-0.48
-0.45
-0.2
-0.23
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.04
-0.17
0.09
-0.21
-0.07
0.06
0.1
0.08
-0.1
-0.45
-0.45
0.19
-0.34
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.03
-0.13
0.0
0.0
0.0
0.0
0.0
-0.01
0.1
0.04
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
0.02
0.12
-0.03
-0.2
-0.18
-0.04
0.05
0.18
-0.04
-0.43
-0.55
-0.34
-0.33
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
0.05
0.01
-0.14
-0.46
0.27
0.32
0.25
0.01
-0.63
-0.71
-0.73
-0.41
-0.05
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
0.02
-0.0
0.0
0.0
-0.21
0.11
0.2
0.45
-0.12
-0.4
0.0
0.0
-0.53
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.37
-0.46
-0.02
-0.24
-0.11
-0.22
0.01
0.01
-0.01
-0.54
-0.64
-0.29
-0.04
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
0.12
-0.09
-0.3
-0.38
0.01
0.31
-0.04
-0.17
-0.12
-0.4
-0.58
-0.15
0.28
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.42
0.0
0.38
0.01
0.37
0.33
0.0
0.0
-0.37
-0.74
-0.63
-0.28
0.16
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.01
-0.19
-0.23
-0.38
0.23
0.14
0.01
0.01
-0.34
-0.57
-0.51
-0.23
0.38
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
0.25
-0.01
-0.0
-0.26
0.05
0.41
0.03
-0.0
-0.14
-0.22
-0.2
-0.22
0.54
0.0
0.0
