,Direct emissions,Indirect emissions,Transport emissions,Total emissions
2025,327.316125068522,108.63528897724885,11.302748886712502,447.2541629324833
Baseline,478.52350762681255,64.02766287593879,34.06830935970981,576.6194798624613
Carbon price,353.38581373923023,61.784679531810575,26.915838835299564,442.08633210634036
EU CBAM,478.3329175124289,63.79564477688524,33.48684740333145,575.6154096926456
Mandate,249.48135189225758,34.67015863647989,111.35559649790224,395.5071070266397
Baseline (optimistic sensitivity),814.7979373139273,141.81938379730477,233.96759145947053,1190.5849125707027
Carbon price (optimistic sensitivity),690.4952530805402,115.05955622722604,157.78626569013088,963.3410749978972
EU CBAM (optimistic sensitivity),835.8018066380753,138.4896990040465,222.35831055065756,1196.6498161927793
Mandate (optimistic sensitivity),423.94752017249994,100.64616882731957,316.38869048344867,840.9823794832681
Baseline (pessimistic sensitivity),363.391998663591,52.00138855480817,20.15644990645583,435.549837124855
Carbon price (pessimistic sensitivity),305.7535020355104,51.14848754446668,18.414402956825473,375.31639253680254
EU CBAM (pessimistic sensitivity),411.1673260692689,51.87861454660863,19.67805012139696,482.72399073727445
Mandate (pessimistic sensitivity),194.28146369800464,30.113977164456127,84.1859817351179,308.5814225975787
