,Direct emissions,Indirect emissions,Transport emissions,Total emissions
2025,0.0034120619076141966,0.07948138282086928,0.40889812045785306,0.49179156518633654
Baseline,5.323593984499878e-05,0.05496639350827098,0.6171920280222941,0.6722116574704102
Carbon price,4.234887875849096e-05,0.05495548914897229,0.6171731672351166,0.6721710052628473
EU CBAM,5.311602315444087e-05,0.05496465238535592,0.6171920098897539,0.6722097782982643
Mandate,0.007538951487262439,2.405650164384682,102.21502589889221,104.62821501476414
Baseline (optimistic sensitivity),0.0038160326985756123,0.08596031521559785,0.6389021671983143,0.7286785151124877
Carbon price (optimistic sensitivity),0.0022125976495036247,0.08910716741794399,0.6422229609752527,0.7335427260427003
EU CBAM (optimistic sensitivity),0.006779476857399932,0.08957823721357161,0.6382768244507897,0.7346345385217612
Mandate (optimistic sensitivity),0.0562618653009285,33.39882622045995,228.3131207772078,261.7682088629687
Baseline (pessimistic sensitivity),1.0413399321660004e-05,0.072381759436592,0.6027908260187933,0.675182998854707
Carbon price (pessimistic sensitivity),1.0676423288298344e-05,0.07128351113636353,0.6028313946712741,0.674125582230926
EU CBAM (pessimistic sensitivity),2.4257177328561525e-05,0.07330989135601082,0.5983548595932329,0.6716890081265723
Mandate (pessimistic sensitivity),0.002510392200268046,4.019278296464156,77.30904581694178,81.33083450560619
