,Direct emissions,Indirect emissions,Transport emissions,Total emissions
2025,327.3127130066144,108.55580759442799,10.893850766254648,446.76237136729696
Baseline,478.5234543908728,63.972696482430514,33.45111733168751,575.9472682049908
Carbon price,353.3857713903515,61.72972404266161,26.298665668064448,441.4141611010776
EU CBAM,478.3328643964056,63.74068012449988,32.8696553934417,574.9431999143471
Mandate,249.47381294077033,32.2645084720952,9.14057059901004,290.87889201187556
Baseline (optimistic sensitivity),814.7941212812287,141.73342348208914,233.32868929227214,1189.85623405559
Carbon price (optimistic sensitivity),690.4930404828907,114.9704490598081,157.14404272915564,962.6075322718543
EU CBAM (optimistic sensitivity),835.7950271612181,138.40012076683294,221.72003372620674,1195.9151816542578
Mandate (optimistic sensitivity),423.89125830719905,67.2473426068596,88.07556970624093,579.2141706202996
Baseline (pessimistic sensitivity),363.3919882501917,51.929006795371585,19.553659080437033,434.87465412600034
Carbon price (pessimistic sensitivity),305.7534913590871,51.07720403333032,17.811571562154196,374.64226695457165
EU CBAM (pessimistic sensitivity),411.1673018120914,51.80530465525262,19.079695261803728,482.05230172914776
Mandate (pessimistic sensitivity),194.27895330580435,26.09469886799197,6.876935918176121,227.25058809197245
