Gamma
-0.11
-0.58
0.08
-0.19
-0.08
0.26
0.38
-0.12
-0.04
-0.62
-0.59
-0.22
-0.34
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.47
-0.58
-0.11
-0.58
-0.21
0.1
0.02
-0.14
0.02
-0.55
-0.83
-0.44
-0.22
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
0.17
-0.1
-0.04
-0.08
-0.2
0.24
0.28
0.01
0.16
-0.37
-0.65
0.1
0.11
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.03
-0.05
0.05
-0.4
0.12
0.43
-0.12
0.2
0.06
-0.08
-0.6
-0.12
0.27
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.11
-0.27
-0.19
-0.42
-0.23
0.3
0.17
0.01
-0.08
-0.17
-0.56
-0.15
0.32
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.15
-0.5
-0.08
-0.51
-0.24
-0.17
-0.15
0.12
-0.14
-0.14
-0.66
-0.57
-0.02
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
0.13
-0.23
-0.03
0.14
0.31
0.09
0.08
0.0
0.05
-0.0
-0.28
-0.41
0.02
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.07
-0.32
-0.1
-0.29
-0.11
0.07
0.0
0.45
0.0
-0.38
-0.58
-0.03
0.29
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.06
0.05
-0.08
-0.28
0.23
0.15
0.01
-0.16
-0.56
-0.62
-0.17
-0.42
-0.28
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
0.38
-0.36
0.19
-0.13
-0.17
-0.0
0.01
-0.03
-0.02
-0.66
-0.36
-0.03
-0.13
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.07
-0.08
0.04
-0.15
-0.11
0.22
-0.25
0.14
0.11
-0.08
-0.63
0.22
0.31
0.0
0.0
0.0
0.0
0.0
0.0
0.0
Gamma
-0.19
-0.09
-0.31
-0.59
