Variable Name,ZTLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desc,FTT-Fr LCOF without policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,2010 Euros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,Levels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scenario,dimension,dimension2,dimension3,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
S0,34 USA (US),BEV LCV,None,1.214144655,1.214144655,1.214144655,1.214144655,1.214144655,1.214144655,1.214144655,1.214144655,1.214144655,1.214144655,1.214144655,1.214144655,1.214144655,1.214144655,1.144200092,1.090623252,1.046035213,1.006521695,0.970658959,0.937723284,0.907097346,0.878547213,0.852443325,0.828726435,0.807639034,0.789567547,0.774479599,0.761431161,0.749314769,0.737473111,0.725888611,0.714449856,0.703392594,0.692770066,0.682519017,0.672562555,0.662863874,0.653926415,0.645407499,0.6373329,0.629657524
S0,34 USA (US),BEV MDT,None,0.122134145,0.122134145,0.122134145,0.122134145,0.122134145,0.122134145,0.122134145,0.122134145,0.122134145,0.122134145,0.122134145,0.122134145,0.122134145,0.122134145,0.114400326,0.108780717,0.10422468,0.100156501,0.096456769,0.093052113,0.089896077,0.086960128,0.084282875,0.08186678,0.07975959,0.07803802,0.076710762,0.075627569,0.07461471,0.073582218,0.072533291,0.071452459,0.070388308,0.06935496,0.068345972,0.067350145,0.066364202,0.065475886,0.064631242,0.063836572,0.06308689
S0,34 USA (US),Diesel HDT,None,0.037791235,0.037791235,0.037791235,0.037791235,0.037791235,0.037791235,0.037791235,0.037791235,0.037791235,0.037791235,0.037791235,0.037791235,0.037791235,0.037791235,0.037739754,0.037693562,0.037649282,0.03761104,0.037573561,0.037538212,0.037501902,0.037464191,0.037427553,0.037391405,0.037356334,0.037322377,0.037290164,0.037259022,0.037228807,0.037199508,0.037171406,0.037145124,0.037120352,0.037096575,0.037073815,0.03705206,0.037031263,0.037011699,0.036994065,0.036977473,0.03696203
S0,34 USA (US),Diesel LCV,None,0.911391285,0.911391285,0.911391285,0.911391285,0.911391285,0.911391285,0.911391285,0.911391285,0.911391285,0.911391285,0.911391285,0.911391285,0.911391285,0.911391285,0.909352773,0.907523671,0.905770281,0.904255977,0.902771898,0.901372171,0.899934366,0.898441131,0.896990325,0.895558965,0.894170241,0.892825612,0.89155004,0.890316892,0.889120479,0.887960287,0.88684752,0.885806827,0.88482591,0.883884388,0.882983141,0.882121707,0.881298181,0.880523487,0.879825232,0.879168217,0.8785567
S0,34 USA (US),Diesel MDT,None,0.119024647,0.119024647,0.119024647,0.119024647,0.119024647,0.119024647,0.119024647,0.119024647,0.119024647,0.119024647,0.119024647,0.119024647,0.119024647,0.119024647,0.118790261,0.118579953,0.11837835,0.118204237,0.1180336,0.117872661,0.117707344,0.117535653,0.117368842,0.117204265,0.117044592,0.116889988,0.116743324,0.116601538,0.116463976,0.116330579,0.116202634,0.116082976,0.115970192,0.115861937,0.115758312,0.115659266,0.115564578,0.115475504,0.11539522,0.115319677,0.115249366
S0,34 USA (US),Petrol HDT,None,0.035534794,0.035534794,0.035534794,0.035534794,0.035534794,0.035534794,0.035534794,0.035534794,0.035534794,0.035534794,0.035534794,0.035534794,0.035534794,0.035534794,0.035484773,0.035439429,0.035395976,0.035358872,0.03532224,0.035287567,0.035252465,0.035216235,0.035181107,0.035146513,0.035112853,0.035080178,0.035049003,0.035018737,0.034989303,0.034960678,0.034933165,0.034907434,0.034883043,0.034859588,0.034837175,0.034815742,0.034795242,0.034776013,0.034758824,0.034742638,0.034727588
S0,34 USA (US),Petrol LCV,None,0.876991208,0.876991208,0.876991208,0.876991208,0.876991208,0.876991208,0.876991208,0.876991208,0.876991208,0.876991208,0.876991208,0.876991208,0.876991208,0.876991208,0.875010519,0.873214984,0.871494352,0.870025131,0.868574597,0.867201606,0.86581167,0.86437703,0.862986033,0.861616187,0.860283351,0.858989473,0.857755031,0.85655655,0.85539104,0.854257569,0.853168124,0.852149236,0.851183397,0.850254636,0.849367135,0.848518443,0.847706687,0.846945273,0.846264601,0.845623677,0.845027752
S0,34 USA (US),Petrol MDT,None,0.109692366,0.109692366,0.109692366,0.109692366,0.109692366,0.109692366,0.109692366,0.109692366,0.109692366,0.109692366,0.109692366,0.109692366,0.109692366,0.109692366,0.109464629,0.109258181,0.109060344,0.108891415,0.108724634,0.10856677,0.108406956,0.108242003,0.108082068,0.107924565,0.107771317,0.107622548,0.107480614,0.107342814,0.107208805,0.10707848,0.106953217,0.106836066,0.106725015,0.106618228,0.106516184,0.106418602,0.106325267,0.106237721,0.106159458,0.106085765,0.106017247
S0,42 India (IN),BEV HDT,None,0.017592193,0.017592193,0.017592193,0.017592193,0.017592193,0.017592193,0.017592193,0.017592193,0.017592193,0.017592193,0.017592193,0.017592193,0.017592193,0.017592193,0.016857306,0.016105351,0.015506905,0.014952595,0.014436448,0.013951362,0.013470237,0.013074109,0.012731959,0.012435946,0.012160183,0.011892459,0.01159854,0.011308196,0.011025628,0.010754737,0.010495203,0.010249751,0.010018163,0.009797703,0.009588674,0.009393273,0.009208673,0.009034552,0.00887179,0.008722526,0.008582047
S0,42 India (IN),BEV LCV,None,0.052950237,0.052950237,0.052950237,0.052950237,0.052950237,0.052950237,0.052950237,0.052950237,0.052950237,0.052950237,0.052950237,0.052950237,0.052950237,0.052950237,0.050168762,0.047703052,0.04564511,0.043787548,0.042089486,0.040516872,0.039018443,0.037686804,0.036492339,0.035423735,0.034447996,0.033544774,0.032664525,0.031836927,0.031061128,0.030333496,0.029649585,0.029009672,0.028409726,0.027843579,0.027310482,0.026809747,0.026336802,0.025890016,0.025470464,0.025077846,0.024705115
