Variable Name,ZWIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desc,FTT-Fr Vehicle purchase cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,Levels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scenario,dimension,Vehicle category,Powertrain,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
S0,42 India (IN),HDT,BEV,130178,130178,130178,130178,130178,130178,130178,130178,130178,130178,130178,130178,130178,130178,122700.8992221109,116665.50340172995,111046.8924073914,105647.23949129686,100549.45443637625,95718.82932333395,91174.17678289287,86919.24198,82996.16002708895,79421.81479249152,76207.90151492888,73337.57218730224,70772.29999522187,68477.13527544095,66425.48173925551,64580.00936155385,62915.096226183305,61404.92541899947,60029.667252154315,58771.56732131209,57626.965389799334,56565.539170068696,55581.251477250815,54666.90689774951,53834.84681,53052.16247621314,52315.78205467964
S0,42 India (IN),MDT,BEV,117160,117160,117160,117160,117160,117160,117160,117160,117160,117160,117160,117160,117160,117160,113108.4277061992,109202.13286655505,105384.91257063842,101657.1052842339,98066.10364910639,94627.54120792847,91356.08754608124,88259.46763261389,85376.62977791029,82712.61821923793,80274.53827893733,78057.91121504434,76046.14486006963,74226.25227,72580.59346474451,71076.83165364969,69702.01562894922,68441.25668877592,67279.59243170108,66205.20605051743,65210.73913474186,64283.60437546589,63417.94076373234,62608.083406754384,61853.258996808596,61141.61152572969,60468.77582068348
S0,42 India (IN),HDT,Diesel,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59322.037367049365,59161.81603878115,59008.41192602705,58882.84558,58751.68413531847,58624.87093874641,58495.766540384946,58360.34614014843,58228.87096474109,58100.82086505011,57975.75219370533,57853.475983317294,57733.58035012025,57617.693903766005,57505.66309439522,57395.13455190498,57285.84056910319,57180.943298266655,57078.64504288813,56979.527012126746,56881.83740277654,56785.791584981365,56691.17489910262,56598.284249983146,56506.825556977565,56416.72479216928,56327.56754909651
S0,42 India (IN),MDT,Diesel,29100,29100,29100,29100,29100,29100,29100,29100,29100,29100,29100,29100,29100,29100,29012.962813128346,28934.60246602574,28859.576252897266,28798.164811967094,28734.01694685324,28671.99570281548,28608.85388781852,28542.62307022386,28478.321765949007,28415.695582738797,28354.527543476055,28294.72522881568,28236.087196445365,28179.409959656987,28124.618420956318,28070.561604377057,28017.108580855507,27965.80588200941,27915.774298286466,27867.29808,27819.520477660466,27772.546808789215,27726.272093510703,27680.84154074807,27636.11132282434,27592.04523448953,27548.440599642174
