"Variable Name","ZTLC"
"Desc","FTT-Fr LCOF without policy"
"Unit","2010 Euros"
"Type","Levels"
"scenario","dimension","dimension2","dimension3","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"S0","42 India (IN)","BEV HDT","None",0.017592192895921056,0.017592192895921056,0.017592192895921056,0.017592192895921056,0.017592192895921056,0.017592192895921056,0.017592192895921056,0.017592192895921056,0.017592192895921056,0.017592192895921056,0.017592192895921056,0.017592192895921056,0.017592192895921056,0.017592192895921056,0.017038157257809678,0.016421284468978052,0.01589543973789245,0.015376263459199402,0.014872909149300553,0.014387298421452505,0.013899324066866363,0.013493117099311273,0.013138459133917736,0.012828203367650918,0.012539076254937909,0.01225819442742155,0.011952277424040657,0.01165260406134847,0.01136388400051921,0.011088305231887403,0.010825581193089255,0.010578211592128111,0.010347219210449312,0.010128629092279599,0.009922367020057925,0.00973054324914043,0.009550285495767573,0.009381480365547574,0.009224839883329167,0.009082088175147253,0.008948526482394152
"S0","42 India (IN)","BEV LCV","None",0.05295023672973081,0.05295023672973081,0.05295023672973081,0.05295023672973081,0.05295023672973081,0.05295023672973081,0.05295023672973081,0.05295023672973081,0.05295023672973081,0.05295023672973081,0.05295023672973081,0.05295023672973081,0.05295023672973081,0.05295023672973081,0.0510189714873054,0.04912202059918302,0.04737742113616324,0.045671702024053774,0.04403044696913014,0.042457295564703706,0.04093191260945711,0.03955832489192973,0.03831025209087443,0.037181000642580064,0.03614442160616775,0.03518299220754103,0.03425068439604672,0.03338085415318952,0.03257407847007474,0.031824222133267736,0.031126819129091796,0.030480375777262238,0.02988192310070417,0.02932318861451171,0.02880235113786083,0.02831766965128975,0.027864101364176035,0.02743993139871084,0.02704655366127054,0.026681765268109264,0.02633878029533399
"S0","42 India (IN)","BEV MDT","None",0.032590491959911164,0.032590491959911164,0.032590491959911164,0.032590491959911164,0.032590491959911164,0.032590491959911164,0.032590491959911164,0.032590491959911164,0.032590491959911164,0.032590491959911164,0.032590491959911164,0.032590491959911164,0.032590491959911164,0.032590491959911164,0.031805335212059915,0.030836340342736576,0.029960677199772988,0.029090384946244465,0.02823843126495962,0.027413415491981064,0.02659109920347081,0.025878536139404735,0.025241257660808283,0.02466967885045034,0.024134782384347755,0.023621040141058754,0.02308692000156085,0.022572530397237445,0.022082871635940308,0.021617945033736027,0.02117726785266799,0.020763512630502565,0.02037692806420466,0.020011881577013824,0.019667208845443554,0.019345946333612887,0.01904391181735748,0.01876054046485704,0.018495446486638457,0.01825155780244305,0.018022406191963075
"S0","42 India (IN)","Diesel HDT","None",0.020400885180757986,0.020400885180757986,0.020400885180757986,0.020400885180757986,0.020400885180757986,0.020400885180757986,0.020400885180757986,0.020400885180757986,0.020400885180757986,0.020400885180757986,0.020400885180757986,0.020400885180757986,0.020400885180757986,0.020400885180757986,0.020385040713203607,0.02037077579929908,0.020357117839496286,0.020345938346933864,0.020334260708857424,0.02032297020620955,0.020311475712016868,0.020299418888052354,0.02028771331752663,0.020276312690236234,0.020265177507123155,0.020254290943938276,0.020243616329618373,0.02023329866343864,0.020223324274463078,0.020213483636143205,0.020203752913824268,0.02019441364199649,0.020185305767150295,0.020176481035820957,0.02016778348049664,0.02015923227613111,0.02015080831102871,0.020142538019385595,0.020134395218451118,0.02012637331733087,0.02011843542035957
"S0","42 India (IN)","Diesel LCV","None",0.09291051086282724,0.09291051086282724,0.09291051086282724,0.09291051086282724,0.09291051086282724,0.09291051086282724,0.09291051086282724,0.09291051086282724,0.09291051086282724,0.09291051086282724,0.09291051086282724,0.09291051086282724,0.09291051086282724,0.09291051086282724,0.09279011057975549,0.09268171314284537,0.09257792788021058,0.09249297620452349,0.09240423917848029,0.0923184439499463,0.0922310986131708,0.0921394801972605,0.09205053091575408,0.09196389886275202,0.09187928388946438,0.09179655815036078,0.0917154429862578,0.09163704022993815,0.09156124599753467,0.09148646812095074,0.0914125254833914,0.09134155743300479,0.0912723477416156,0.09120528962518228,0.09113919790455577,0.09107421828799994,0.09101020554794192,0.09094736055479212,0.09088548434884558,0.09082452684665518,0.09076420768231218
"S0","42 India (IN)","Diesel MDT","None",0.026682562346414494,0.026682562346414494,0.026682562346414494,0.026682562346414494,0.026682562346414494,0.026682562346414494,0.026682562346414494,0.026682562346414494,0.026682562346414494,0.026682562346414494,0.026682562346414494,0.026682562346414494,0.026682562346414494,0.026682562346414494,0.026660115613853654,0.026639906622524707,0.026620557498297726,0.02660471959911599,0.026588175981102673,0.026572180814806022,0.02655589665529231,0.026538815847613806,0.026522232657919288,0.026506081478907744,0.026490306352574378,0.026474883444137794,0.026459760801991153,0.026445143845467145,0.026431013207058256,0.026417072052151293,0.02640328661437829,0.026390055741437223,0.026377152686779905,0.026364650759315874,0.026352329001097876,0.026340214577132072,0.02632828041202955,0.026316563954908098,0.026305028112870815,0.026293663548649412,0.026282417992445087
