,Share renewables power
276,23.381588251737597
277,24.520719263660137
278,25.110651599889238
279,25.878777685274656
280,27.452143859385526
281,28.114950134134638
282,29.23138722605102
283,31.150222100423047
284,33.27240298184784
285,35.715971191054464
286,38.44192125652734
287,41.34318781768417
288,44.37996636169344
289,47.417280437901184
290,50.27983859192633
291,52.89958730048062
292,55.25366797555349
293,57.373194213938774
294,59.3107056802404
295,61.10295097300186
296,62.75258198838056
297,64.27398421496876
298,65.66199111402081
299,66.91679827830804
300,68.0441457919009
301,69.01949220461306
302,69.85928467545062
303,70.58054389853622
304,71.20862638677454
305,71.75139677881053
306,72.23296121867018
307,72.66063333268856
308,73.03990617134312
309,73.38204596862492
310,73.69173069726696
311,73.98046470646365
312,74.23841549289378
313,74.4761854048229
314,74.70059940862834
315,74.9083801296656
316,75.10572877263878
317,75.28521955250127
318,75.45623771147916
319,75.61354847256678
320,75.76349853946066
321,75.91092397936016
