,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Battery cap (kWh),19 Battery cost ($/kWh),20 Markup factor,21 Rare metal price,22 Engine density
1 Petrol Econ,22922.52,6896,0.05865037812128417,0.01267241379310345,0.038,0.02,0.15,12,1.6176152675386444,16251,0.375,6.094125,0.45,109.73296551724137,4,-0.01449956969511509,4,0,0,0,0,0
2 Petrol Mid,34128.62,11966,0.07645495719381691,0.013517241379310345,0.051,0.03,0.15,12,2.1086770451843053,16251,0.375,6.094125,0.17,143.0447586206897,4,-0.01449956969511509,4,0,0,0,0,0
3 Petrol Lux,59770.77,11966,0.12515571759809752,0.05660344827586207,0.064,0.03,0.15,12,3.4518754369797864,16251,0.375,6.094125,-0.3,234.16231034482757,4,-0.01449956969511509,4,0,0,0,0,0
4 Adv Petrol Econ,22922.52,6896,0.05278534030915576,0.01267241379310345,0.038,0.02,0.15,12,1.4558537407847798,16251,0.375,6.094125,0,98.75966896551722,4,-0.01449956969511509,4,0,0,0,0,0
5 Adv Petrol Mid,34128.62,11966,0.06880946147443522,0.013517241379310345,0.051,0.03,0.15,12,1.8978093406658745,16251,0.375,6.094125,0,128.7402827586207,4,-0.01449956969511509,4,0,0,0,0,0
6 Adv Petrol Lux,59770.77,11966,0.11264014583828774,0.05660344827586207,0.064,0.03,0.15,12,3.106687893281807,16251,0.375,6.094125,0,210.7460793103448,4,-0.01449956969511509,4,0,0,0,0,0
7 Diesel Econ,22931.24,6504.70324566147,0.04570827767888928,0.009958490566037734,0.038,0.02,0.15,12,1.4581318333926663,16251,0.375,6.094125,0.6,100.10490566037736,4,-0.01449956969511509,4,0,0,0,0,0
8 Diesel Mid,36980.01,8785.2,0.053478684884300465,0.014554716981132072,0.051,0.03,0.15,12,1.7060142450694198,16251,0.375,6.094125,0.1,117.12273962264152,4,-0.01449956969511509,4,0,0,0,0,0
9 Diesel Lux,50651.21,14464,0.07119674855249891,0.025279245283018864,0.064,0.04,0.15,12,2.2712351191127755,16251,0.375,6.094125,-0.2,155.9267633587786,4,-0.01449956969511509,4,0,0,0,0,0
10 Adv Diesel Econ,22931.24,6504.70324566147,0.04113744991100036,0.009958490566037734,0.038,0,0.15,12,1.3123186500533999,16251,0.375,6.094125,0,90.09441509433962,4,-0.01449956969511509,4,0,0,0,0,0
11 Adv Diesel Mid,36980.01,8785.2,0.04813081639587042,0.014554716981132072,0.051,0,0.15,12,1.535412820562478,16251,0.375,6.094125,0,105.41046566037735,4,-0.01449956969511509,4,0,0,0,0,0
12 Adv Diesel Lux,50651.21,14464,0.064077073697249,0.025279245283018864,0.064,0,0.15,12,2.0441116072014975,16251,0.375,6.094125,0,140.33408702290075,4,-0.01449956969511509,4,0,0,0,0,0
13 CNG Econ,22931.24,6504.70324566147,0.031124210526315785,0.055200000000000006,0.039,0.02,0.15,12,0.8336842105263157,16251,0.375,6.094125,0.5,72,4,-0.01449956969511509,4,0,0,0,0,0
14 CNG Mid,32758.32,10901.4315622838,0.04149894736842105,0.069,0.056,0.03,0.15,12,1.111578947368421,16251,0.375,6.094125,0.2,96,4,-0.01449956969511509,4,0,0,0,0,0
15 CNG Lux,51656.48,28669.0214613536,0.04841543859649122,0.07590000000000001,0.066,0.04,0.15,12,1.2968421052631578,16251,0.375,6.094125,0,112,4,-0.01449956969511509,4,0,0,0,0,0
16 Hybrid Econ,20126.98,1217.1,0.026724137931034484,0.003379310344827586,0.039,0.03,0.15,12,0.7370689655172414,16251,0.375,6.094125,0.15,50,4,-0.01449956969511509,4,0,0,0,0,0
17 Hybrid Mid,24725.89,4895.1,0.04275862068965517,0.009293103448275861,0.056,0.04,0.15,12,1.1793103448275863,16251,0.375,6.094125,0,80,4,-0.0144995696951151,4,0,0,0,0,0
