,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Battery cap (kWh),19 Battery cost ($/kWh),20 Markup factor,21 Rare metal price,22 Engine density
1 Petrol Econ,13787.65,3088.46618950268,0.07108364137931035,0.03614,0.038,0.02,0.15,15,2.0250879375758783,14577,0.375,5.466375,0.1,147.93729762646632,4,-0.014499569695115089,4,0,0,0,0,0
2 Petrol Mid,15816.59,3317.42791083568,0.07520486815415824,0.03604150175371148,0.051,0.03,0.15,15,2.0615529073942778,14577,0.375,5.466375,0,165.17968186761144,4,-0.014499569695115089,4,0,0,0,0,0
3 Petrol Lux,35516.84,17513.5711022516,0.08523218390804599,0.06791081121001138,0.064,0.03,0.15,15,2.8346138016636444,14577,0.375,5.466375,-0.7,167.62000187741964,4,-0.014499569695115089,4,0,0,0,0,0
4 Adv Petrol Econ,13787.65,3088.46618950268,0.06238995862068966,0.026,0.038,0.02,0.15,15,1.8225791438182901,14577,0.375,5.466375,0,142.065,4,-0.07400058144377691,4,0,0,0,0,0
5 Adv Petrol Mid,15816.59,3317.42791083568,0.07057224827586209,0.026,0.051,0.03,0.15,15,1.8553976166548494,14577,0.375,5.466375,0,162.35999999999996,4,-0.07400058144377691,4,0,0,0,0,0
6 Adv Petrol Lux,35516.84,17513.5711022516,0.0869368275862069,0.052,0.064,0.03,0.15,15,2.5511524214972803,14577,0.375,5.466375,0,162.35999999999996,4,-0.07400058144377691,4,0,0,0,0,0
7 Diesel Econ,13463,1000,0.05688054339622642,0.06,0.038,0.02,0.15,15,2.31842961509434,14577,0.375,5.466375,0.8,110.53249999999998,4,-0.014499569695115089,4,0,0,0,0,0
8 Diesel Mid,22950,1000,0.06434028679245284,0,0.051,0.03,0.15,15,2.7048345509433958,14577,0.375,5.466375,0,113.80426200000001,4,-0.014499569695115089,4,0,0,0,0,0
9 Diesel Lux,23076.94,14076.4986206936,0.07925977358490567,0.1002,0.064,0.04,0.15,15,2.7301054337479242,14577,0.375,5.466375,-0.1,242.08777470872684,4,-0.014499569695115089,4,0,0,0,0,0
10 Adv Diesel Econ,13463,1000,0.04550443471698114,0.06,0.038,0,0.15,15,2.0865866535849054,14577,0.375,5.466375,0,110.53249999999998,4,-0.07400058144377691,4,0,0,0,0,0
