,1 Petrol Econ,2 Petrol Mid,3 Petrol Lux,4 Adv Petrol Econ,5 Adv Petrol Mid,6 Adv Petrol Lux,7 Diesel Econ,8 Diesel Mid,9 Diesel Lux,10 Adv Diesel Econ,11 Adv Diesel Mid,12 Adv Diesel Lux,13 CNG Econ,14 CNG Mid,15 CNG Lux,16 Hybrid Econ,17 Hybrid Mid,18 Hybrid Lux,19 Electric Econ,20 Electric Mid,21 Electric Lux,22 PHEV Econ,23 PHEV Mid,24 PHEV Lux,25 Hydrogen Econ,26 Hydrogen Mid,27 Hydrogen Lux,28 Bikes Econ,29 Bikes Lux,30 Bikes Adv Econ,31 Bikes Adv Lux
1 Petrol Econ,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Petrol Mid,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 Petrol Lux,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 Adv Petrol Econ,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 Adv Petrol Mid,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 Adv Petrol Lux,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 Diesel Econ,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 Diesel Mid,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9 Diesel Lux,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 Adv Diesel Econ,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11 Adv Diesel Mid,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 Adv Diesel Lux,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13 CNG Econ,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14 CNG Mid,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 CNG Lux,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16 Hybrid Econ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0
17 Hybrid Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0
18 Hybrid Lux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0
19 Electric Econ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,0,0,0,0,0,0,0
20 Electric Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,0,0,0,0,0,0,0
21 Electric Lux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,0,0,0,0,0,0,0
22 PHEV Econ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,0,0,0,0,0,0,0
23 PHEV Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,0,0,0,0,0,0,0
24 PHEV Lux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,0,0,0,0,0,0,0
25 Hydrogen Econ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
26 Hydrogen Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
27 Hydrogen Lux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
28 Bikes Econ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
29 Bikes Lux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
30 Bikes Adv Econ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
31 Bikes Adv Lux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
