,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Battery cap (kWh),19 Battery cost ($/kWh),20 Markup factor,21 Rare metal price,22 Engine density
1 Petrol Econ,14522.65,6204.05652817574,0.048179952325492735,0.011926357496120601,0.038,0.02,0.15,14,1.9385345523904136,23645,0.375,8.866875,0.3,131.50292870016838,4,-0.01449956969511509,4,0,0,0,0,0
2 Petrol Mid,19264.42,7765.75814322524,0.05267426285099701,0.00931618302381365,0.051,0.03,0.15,14,2.119364458240115,23645,0.375,8.866875,0.22,143.76975272272122,4,-0.01449956969511509,4,0,0,0,0,0
3 Petrol Lux,35872.85,14386.0479243481,0.06971681334877998,0.028072642972781,0.064,0.03,0.15,14,2.8050764900332656,23645,0.375,8.866875,-0.32,190.28589055196417,4,-0.01449956969511509,4,0,0,0,0,0
4 Adv Petrol Econ,17427.18,6204.05652817574,0.043361957092943444,0.010733721746508542,0.038,0.02,0.15,14,1.7446810971513718,23645,0.375,8.866875,0,118.35263583015151,4,-0.01449956969511509,4,0,0,0,0,0
5 Adv Petrol Mid,23117.3,7765.75814322524,0.047406836565897316,0.008384564721432284,0.051,0.03,0.15,14,1.9074280124161038,23645,0.375,8.866875,0,129.39277745044913,4,-0.01449956969511509,4,0,0,0,0,0
6 Adv Petrol Lux,43047.42,14386.0479243481,0.06274513201390197,0.0252653786755029,0.064,0.03,0.15,14,2.5245688410299385,23645,0.375,8.866875,0,171.25730149676775,4,-0.01449956969511509,4,0,0,0,0,0
7 Diesel Econ,17427.18,6204.05652817574,0.05726000603773584,0.001,0.038,0.02,0.15,14,2.5116320830188674,23645,0.375,8.866875,0.2,172.43069999999997,4,-0.01449956969511509,4,0,0,0,0,0
8 Diesel Mid,23117.3,7765.75814322524,0.0667813452458078,0.0405990820555392,0.051,0.03,0.15,14,2.9292726437365695,23645,0.375,8.866875,0.1,201.10291466067122,4,-0.01449956969511509,4,0,0,0,0,0
9 Diesel Lux,42800.58,30603.9767434338,0.08089912899825007,0.00963156092231257,0.064,0.04,0.15,14,3.5485299765141507,23645,0.375,8.866875,-0.35,243.6166952788212,4,-0.01449956969511509,4,0,0,0,0,0
10 Adv Diesel Econ,17427.18,6204.05652817574,0.05153400543396228,0.0009000000000000001,0.038,0,0.15,14,2.260468874716982,23645,0.375,8.866875,0,155.18763000000004,4,-0.01449956969511509,4,0,0,0,0,0
11 Adv Diesel Mid,23117.3,7765.75814322524,0.06010321072122703,0.03653917384998528,0.051,0,0.15,14,2.636345379362913,23645,0.375,8.866875,0,180.99262319460414,4,-0.01449956969511509,4,0,0,0,0,0
12 Adv Diesel Lux,42800.58,30603.9767434338,0.07280921609842506,0.008668404830081314,0.064,0,0.15,14,3.1936769788627353,23645,0.375,8.866875,0,219.25502575093907,4,-0.01449956969511509,4,0,0,0,0,0
13 CNG Econ,14522.65,6204.05652817574,0.039632976842105254,0.12,0.039,0.02,0.15,14,1.7148884210526312,23645,0.375,8.866875,0,148.10399999999998,4,-0.01449956969511509,4,0,0,0,0,0
14 CNG Mid,19264.42,7765.75814322524,0.04359627452631578,0.12,0.056,0.03,0.15,14,1.8863772631578941,23645,0.375,8.866875,0,162.91439999999997,4,-0.01449956969511509,4,0,0,0,0,0
15 CNG Lux,35872.85,14386.0479243481,0.05078084024469078,0.12419999999999999,0.066,0.04,0.15,14,2.1972478952029664,23645,0.375,8.866875,0,189.76231822207436,4,-0.01449956969511509,4,0,0,0,0,0
16 Hybrid Econ,20000,1000,0.032974137931034486,0.02,0.039,0.03,0.15,14,1.3267241379310346,23645,0.375,8.866875,0,90,4,-0.01449956969511509,4,0,0,0,0,0
17 Hybrid Mid,24194.21,5000,0.03614451546127251,0.005029391722723729,0.056,0.04,0.15,14,1.4542852103241413,23645,0.375,8.866875,-0.3,98.65326572959086,4,-0.0144995696951151,4,0,0,0,0,0
18 Hybrid Lux,30000,1000,0.05347629753701459,0.00767424678501104,0.066,0.04,0.15,14,2.151634559724587,23645,0.375,8.866875,-0.5,145.95883563043984,4,-0.0144995696951151,4,0,0,0,0,0
19 Electric Econ,35698.67172507861,12031,0.017499999999999998,0,0.019,0.04,0.15,14,0.63,23645,0.375,8.866875,-0.7,28.80304222474461,4,-0.23,4,18,150,1.05,1.00045,0.996
20 Electric Mid,45237.45285397313,6368,0.018611111111111113,0,0.0255,0.05,0.15,14,0.67,23645,0.375,8.866875,-1,40.32425911464245,4,-0.23,4,45.66,150,1.05,1.00045,0.996
