RTI,VTTI,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Belgium (BE),1 Petrol Econ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2581600844860077,0.24980124831199646,0.24296094477176666,0.232354536652565,0.14187046885490417,0.22807665169239044,0.23392373323440552,0.2387770712375641,0.24635645747184753,0.25724121928215027,0.272224485874176,0.2913450002670288,0.3096010982990265,0.30315104126930237,0.2988438606262207,0.28700414299964905,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056,0.2759099304676056
1 Belgium (BE),2 Petrol Mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15477560460567474,0.14127780497074127,0.13121448457241058,0.1195610761642456,0.19729723036289215,0.10665455460548401,0.10761485993862152,0.10629288852214813,0.10569489747285843,0.10780978202819824,0.11169689148664474,0.11961207538843155,0.13160373270511627,0.12886197865009308,0.1270311027765274,0.12199833989143372,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078,0.1172824576497078
1 Belgium (BE),3 Petrol Lux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03834259510040283,0.03531945124268532,0.03309564292430878,0.03083021380007267,0.02881457284092903,0.02661805972456932,0.0260027889162302,0.025482136756181717,0.025581710040569305,0.02617833763360977,0.026878736913204193,0.027458099648356438,0.027943409979343414,0.027361255139112473,0.02697250433266163,0.025903897359967232,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505,0.024902574717998505
1 Belgium (BE),4 Adv Petrol Econ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Belgium (BE),5 Adv Petrol Mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Belgium (BE),6 Adv Petrol Lux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Belgium (BE),7 Diesel Econ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044364992529153824,0.05288051813840866,0.0591827929019928,0.062412384897470474,0.028447506949305534,0.07201461493968964,0.07244372367858887,0.07045713812112808,0.06664863228797913,0.06157081201672554,0.055705491453409195,0.04950086399912834,0.043512552976608276,0.04356764256954193,0.042948633432388306,0.04288271814584732,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072,0.04122507572174072
1 Belgium (BE),8 Diesel Mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41313645243644714,0.42758241295814514,0.43822523951530457,0.4429023563861847,0.4927842319011688,0.4596173167228699,0.46905627846717834,0.46840783953666687,0.4648684859275818,0.4556645154953003,0.4403866231441498,0.4173222482204437,0.39208078384399414,0.3925771713256836,0.3869994282722473,0.38640549778938293,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939,0.3714688718318939
1 Belgium (BE),9 Diesel Lux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09073745459318161,0.09234359115362167,0.09422523528337479,0.09267862886190414,0.09194968640804291,0.08824069052934647,0.08768387138843536,0.0861259251832962,0.08488047122955322,0.08202725648880005,0.0778639167547226,0.07268095016479492,0.06732114404439926,0.06740637123584747,0.06644866615533829,0.0663466826081276,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388,0.06378203630447388
1 Belgium (BE),10 Adv Diesel Econ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
